ts,data
1775848800001680,42.5259
1775848800005532,42.5883
1775848800009150,42.6106
1775848800013878,42.5785
1775848800017827,42.5505
1775848800021230,42.5803
1775848800025143,42.5991
1775848800029179,42.5717
1775848800033125,42.5619
1775848800037170,42.5413
1775848800041090,42.6232
1775848800045142,42.5808
1775848800049170,42.5602
1775848800053145,42.5471
1775848800057290,42.5951
1775848800061499,42.5808
1775848800065147,42.5608
1775848800069165,42.5391
1775848800073767,42.5625
1775848800077566,42.5602
1775848800081188,42.4973
1775848800085208,42.479
1775848800089196,42.5162
1775848800093094,42.5242
1775848800097207,42.5064
1775848800101287,42.4475
1775848800105117,42.4881
1775848800109455,42.5064
1775848800113704,42.4635
1775848800117107,42.4629
1775848800121189,42.511
1775848800126369,42.4979
1775848800129094,42.495
1775848800133124,42.4784
1775848800137068,42.4675
1775848800141102,42.5442
1775848800145158,42.5379
1775848800149070,42.5207
1775848800153264,42.5419
1775848800157999,42.618
1775848800161174,42.6237
1775848800165146,42.6009
1775848800169132,42.6123
1775848800173073,42.6964
1775848800177081,42.6941
1775848800181330,42.6701
1775848800185194,42.6878
1775848800189132,42.7691
1775848800193095,42.7685
1775848800197255,42.7628
1775848800201099,42.7519
1775848800205117,42.8183
1775848800209075,42.8177
1775848800213145,42.8086
1775848800217088,42.7634
1775848800221319,42.8223
1775848800225143,42.8183
1775848800229139,42.8189
1775848800233116,42.7805
1775848800237222,42.7565
1775848800241105,42.7639
1775848800245076,42.7594
1775848800249109,42.7205
1775848800253088,42.6947
1775848800257273,42.6878
1775848800261118,42.6941
1775848800265123,42.6466
1775848800269119,42.6226
1775848800273187,42.6604
1775848800277067,42.6089
1775848800281117,42.5385
1775848804743322,42.5219
1775848804748729,42.5362
1775848804752612,42.5631
1775848804757766,42.5396
1775848804761290,42.5282
1775848804764368,42.5591
1775848804768452,42.5677
1775848804772229,42.5688
1775848804776254,42.578
1775848804780251,42.5402
1775848804784329,42.5877
1775848804788287,42.5768
1775848804792318,42.5682
1775848804796330,42.5265
1775848804800413,42.5677
1775848804804341,42.5413
1775848804808252,42.5179
1775848804812305,42.507
1775848804816387,42.5516
1775848804820420,42.5431
1775848804824322,42.4773
1775848804829435,42.4675
1775848804832963,42.5196
1775848804839139,42.4778
1775848804843862,42.4589
1775848804846571,42.4452
1775848804850268,42.4778
1775848804854234,42.4509
1775848804859874,42.4343
1775848804862455,42.4292
1775848804866278,42.4818
1775848804870288,42.4721
1775848804874954,42.4092
1775848804878472,42.424
1775848804882252,42.4784
1775848804887593,42.4641
1775848804890216,42.4229
1775848804894298,42.4223
1775848804898228,42.4698
1775848804903575,42.4692
1775848804906263,42.4664
1775848804910526,42.4567
1775848804915345,42.5093
1775848804918226,42.503
1775848804922230,42.5019
1775848804926454,42.4904
1775848804930247,42.491
1775848804934254,42.5116
1775848804938818,42.5116
1775848804942460,42.4956
1775848804946231,42.4927
1775848804950235,42.5442
1775848804954235,42.5122
1775848804958475,42.5047
1775848804962401,42.4904
1775848804967172,42.5345
1775848804970238,42.5259
1775848804974231,42.5013
1775848804978240,42.4927
1775848804982240,42.5259
1775848804986438,42.5007
1775848804991465,42.4904
1775848804994306,42.4715
1775848804998409,42.5276
1775848805002448,42.4853
1775848805006233,42.4807
1775848805010246,42.4395
1775848805014285,42.4996
1775848805018343,42.4681
1775848805022527,42.4658
1775848805026254,42.4498
1775848805030209,42.4498
1775848805034196,42.4612
1775848805039134,42.4521
1775848805042287,42.4286
1775848805046202,42.4509
1775848805050279,42.4784
1775848805054288,42.4732
1775848805058259,42.4492
1775848805062236,42.4795
1775848805066187,42.5391
1775848805070281,42.4956
1775848805074232,42.4721
1775848805078353,42.4938
1775848805082285,42.5694
1775848805086236,42.5207
1775848805090343,42.5064
1775848805094190,42.5219
1775848805098277,42.5637
1775848805102826,42.5459
1775848805106314,42.5511
1775848805111145,42.5185
1775848805114212,42.5848
1775848805118187,42.5585
1775848805122226,42.5642
1775848805126180,42.511
1775848805130394,42.5196
1775848805134575,42.5316
1775848805139008,42.5276
1775848805142220,42.4864
1775848805146189,42.5013
1775848805151386,42.5345
