ts,ts.1,lox_lower_celsius,lox_upper_celsius,gn2_external_celsius,gn2_internal_celsius
1775846403538340,3506044627,-83.25,33.1875,0,-83.4375
1775846408992208,3511492614,-83.0,35.4375,0,-83.1875
1775846422081726,3524571441,-83.0625,37.0625,0,-83.0625
1775846425350583,3527831900,-83.0625,36.8125,0,-83.0625
1775846427514705,3530006300,-83.0,36.5625,0,-83.0625
1775846430808446,3533260486,-83.0,36.375,0,-83.1875
1775846444905310,3547409426,-83.125,36.0,0,-83.1875
1775846445994231,3548505173,-83.125,36.0625,0,-83.0
1775846457935150,3560420714,-82.875,35.875,0,-82.625
1775846463387577,3565883714,-82.5625,36.0625,0,-82.5625
1775846471016767,3573521170,-82.6875,36.75,0,-82.5625
1775846476463939,3578962709,-82.9375,37.1875,0,-82.625
1775846478636002,3581132682,-82.75,37.625,0,-82.625
1775846480790419,3583303697,-82.6875,37.9375,0,-82.375
1775846481902209,3584398189,-82.5625,38.125,0,-82.375
1775846488446447,3590918686,-83.25,38.1875,0,-82.75
1775846490637540,3593108707,-83.1875,38.125,0,-82.625
1775846494942659,3597443694,-83.0,37.625,0,-82.5625
1775846499301144,3601806630,-82.875,37.4375,0,-82.5
1775846500422099,3602913208,-82.875,37.4375,0,-82.5
1775846502647014,3605104506,-82.8125,36.9375,0,-82.3125
1775846520048537,3622511238,-82.3125,22.4375,0,-24.125
1775846524400121,3626889680,-82.5625,13.5625,0,-36.9375
1775846526582664,3629067030,-82.8125,11.0625,0,-41.875
1775846527682176,3630149697,-82.875,10.0625,0,-43.6875
1775846528738890,3631241613,-82.75,9.5625,0,-45.0625
1775846533151010,3635562696,-82.6875,8.125,0,-50.125
1775846537456066,3639929580,-82.5625,7.6875,0,-51.375
1775846542860494,3645347700,-82.5625,7.0,0,-54.8125
1775846547191169,3649701703,-82.625,7.0625,0,-56.875
1775846558094389,3660534716,-82.6875,8.1875,0,-59.4375
1775846559147160,3661618684,-82.75,8.1875,0,-59.625
1775846561331163,3663784408,-82.625,8.4375,0,-59.875
1775846563474107,3665981216,-82.625,8.75,0,-60.0625
1775846565712595,3668141084,-82.5625,8.9375,0,-60.3125
1775846567815320,3670314163,-82.6875,9.125,0,-60.75
1775846578735128,3681188491,-82.8125,22.25,0,-62.125
1775846580909535,3683351697,-82.5625,26.8125,0,-62.375
1775846584238974,3686599754,-82.4375,33.25,0,-62.4375
1775846590629379,3693127517,-82.4375,37.4375,0,-62.875
1775846595050362,3697484809,-82.3125,37.875,0,-63.1875
1775846596115771,3698588546,-82.3125,38.1875,0,-63.3125
1775846598314339,3700768989,-82.3125,39.125,0,-63.3125
1775846599419483,3701861349,-82.1875,39.5625,0,-63.3125
1775846601562928,3704021649,-82.375,40.125,0,-63.25
1775846611431550,3713824700,-82.375,40.0,0,-62.25
1775846613579435,3716007200,-82.4375,39.375,0,-62.0625
1775846618948736,3721417697,-82.5625,36.875,0,-61.8125
1775846623294791,3725785223,-82.4375,37.75,0,-63.1875
1775846629803438,3732304504,-82.4375,37.6875,0,-64.0625
1775846644025008,3746401706,-82.5625,37.4375,0,-64.1875
1775846648287112,3750776737,-82.5625,37.375,0,-63.875
1775846655903205,3758396691,-82.4375,36.5625,0,-62.8125
1775846667939569,3770418683,-82.3125,34.1875,0,-61.25
1775846668981780,3771492656,-82.3125,34.0,0,-61.0625
1775846670103318,3772560980,-82.1875,33.6875,0,-60.875
1775846671296250,3773638550,-82.3125,33.5,0,-60.875
1775846673373053,3775803141,-82.1875,32.9375,0,-60.5
1775846679915930,3782328442,-81.875,31.75,0,-59.5
1775846693996807,3796478550,-82.375,29.0625,0,-60.5
1775846695081051,3797573709,-82.1875,28.9375,0,-60.75
1775846699461918,3801912708,-82.125,28.1875,0,-61.125
1775846704906060,3807359759,-81.9375,27.125,0,-60.875
1775846706041501,3808456636,-81.875,26.9375,0,-60.75
1775846707094752,3809555717,-81.8125,26.6875,0,-60.75
1775846708128565,3810641193,-81.9375,26.4375,0,-60.6875
1775846713661200,3816065204,-82.25,25.25,0,-60.3125
1775846721145664,3823627200,-82.4375,23.9375,0,-60.0
1775846722203537,3824713597,-82.4375,23.875,0,-60.3125
1775846724375193,3826872702,-82.5625,23.6875,0,-61.1875
1775846735259893,3837747692,-82.625,23.1875,0,-63.1875
1775846740675122,3843176011,-82.4375,23.0625,0,-63.5625
1775846752588385,3855091192,-82.3125,22.9375,0,-64.0
1775846753710879,3856173701,-82.4375,22.875,0,-63.9375
1775846754779162,3857269726,-82.4375,22.875,0,-64.0625
1775846759125167,3861618337,-82.0625,23.0,0,-63.9375
1775846760219124,3862705605,-82.1875,23.0,0,-64.0
1775846762385313,3864874713,-82.3125,23.0,0,-64.125
1775846766807975,3869242061,-82.1875,22.9375,0,-64.1875
1775846777601653,3880104199,-82.1875,22.875,0,-64.6875
1775846783047120,3885546128,-82.1875,22.875,0,-64.6875
1775846785225517,3887708659,-82.0625,22.875,0,-64.8125
1775846786306948,3888800516,-82.1875,22.9375,0,-64.75
1775846788460285,3890961482,-82.0,23.0,0,-64.8125
1775846792802892,3895306569,-82.0625,23.0,0,-64.875
1775846797126057,3899630600,-81.9375,23.125,0,-64.8125
1775846801465141,3903966722,-81.6875,23.1875,0,-64.6875
1775846805813225,3908313221,-81.75,23.1875,0,-64.75
1775846813422730,3915930099,-81.625,23.25,0,-65.0
1775846826550190,3929004200,-81.75,23.5625,0,-65.125
1775846831951465,3934443511,-81.5,25.5,0,-65.0625
1775846836347204,3938801710,-81.875,26.0,0,-65.25
1775846842861770,3945341702,-81.875,26.3125,0,-65.5625
1775846847182137,3949683697,-81.8125,26.625,0,-65.4375
1775846854805835,3957293705,-81.625,26.5,0,-65.4375
1775846855872875,3958371695,-81.625,26.6875,0,-65.4375
1775846860224041,3962711688,-81.375,26.6875,0,-65.3125
1775846866719639,3969200953,-81.125,26.625,0,-65.0625
1775846877563425,3980030907,-81.125,26.5625,0,-64.9375
1775846879757382,3982225754,-81.125,26.375,0,-64.9375
1775846880838199,3983322647,-81.25,26.3125,0,-64.9375
1775846881928233,3984404691,-81.125,26.375,0,-65.0625
1775846885161179,3987648235,-81.0625,26.3125,0,-64.9375
1775846890589691,3993075617,-81.1875,26.125,0,-64.8125
1775846891687627,3994158069,-80.9375,26.3125,0,-64.8125
1775846894962804,3997414268,-80.9375,27.625,0,-64.8125
1775846900341907,4002844427,-80.9375,29.0,0,-64.75
1775846901445232,4003944876,-80.875,29.0625,0,-64.6875
