ts,ts.1,lox_lower_celsius,lox_upper_celsius,gn2_external_celsius,gn2_internal_celsius
1775842954193199,56760135,19.6875,28.5625,0,22.3125
1775842955281905,57847026,19.6875,28.6875,0,22.25
1775842961816417,64380193,19.8125,28.6875,0,22.375
1775842966176608,68736601,19.875,28.875,0,22.5625
1775842991155429,93719126,20.6875,29.5625,0,23.125
1775842992259923,94797608,20.6875,29.5625,0,23.125
1775842995494370,98058215,20.8125,29.6875,0,23.3125
1775842999838803,102402064,20.875,29.875,0,23.375
1775843003113094,105675703,20.8125,29.8125,0,23.25
1775843004195555,106761261,20.8125,29.8125,0,23.125
1775843005298512,107854174,20.875,29.75,0,23.125
1775843009646245,112208280,20.875,29.875,0,23.3125
1775843015103186,117658972,20.75,29.6875,0,23.125
1775843017274711,119826660,20.8125,29.6875,0,23.1875
1775843025950724,128460696,20.875,29.8125,0,23.25
1775843032487459,134960592,20.6875,29.8125,0,23.0625
1775843033555981,136054499,20.75,29.6875,0,23.0625
1775843034620641,137158997,20.6875,29.75,0,23.0
1775843046549687,149100794,21.0,30.0,0,23.125
1775843059590430,162148699,21.25,30.25,0,23.5625
1775843069405764,171955039,21.375,30.1875,0,23.6875
1775843071608181,174158726,21.375,30.1875,0,23.8125
1775843080298884,182823731,21.5,30.25,0,23.875
1775843083569296,186088208,21.6875,30.375,0,23.875
1775843087872814,190425222,21.8125,30.5625,0,24.0
1775843102067492,204606738,22.1875,30.8125,0,24.5
1775843106431436,208943733,22.3125,30.9375,0,24.625
1775843110781998,213294011,22.3125,30.875,0,24.625
1775843111884737,214396065,22.375,30.9375,0,24.6875
1775843116274668,218756115,22.375,30.875,0,24.5
1775843117354429,219843700,22.375,30.9375,0,24.5
1775843124944190,227435875,22.5,31.125,0,24.75
1775843125998787,228535471,22.5,31.125,0,24.75
1775843128199119,230716710,22.5625,31.1875,0,24.875
1775843129254708,231797610,22.6875,31.1875,0,24.875
1775843134697213,237231232,22.6875,31.1875,0,24.8125
1775843138009642,240510105,22.6875,31.3125,0,24.8125
1775843144503612,247046263,22.75,31.3125,0,24.75
1775843149930912,252460235,23.0,31.375,0,24.875
1775843153196230,255710771,23.0625,31.4375,0,25.0625
1775843169531204,272025243,23.3125,31.5,0,25.375
1775843173867244,276370571,23.3125,31.625,0,25.375
1775843177100642,279621855,23.1875,31.5,0,25.25
1775843189097759,291580701,23.25,31.5625,0,25.1875
1775843192382211,294858626,23.1875,31.4375,0,25.1875
1775843197811551,300284182,23.3125,31.5625,0,25.1875
1775843198907974,301376862,23.3125,31.625,0,25.1875
1775843199931429,302464726,23.375,31.75,0,25.1875
1775843206445383,308985635,23.3125,31.6875,0,25.1875
1775843208651935,311157196,23.375,31.625,0,25.125
1775843211919655,314433874,23.4375,31.75,0,25.1875
1775843212993693,315513502,23.4375,31.8125,0,25.1875
1775843214088683,316595674,23.3125,31.75,0,25.125
1775843216225733,318760713,23.3125,31.625,0,25.1875
1775843217326931,319843615,23.375,31.625,0,25.0625
1775843218390468,320931722,23.4375,31.625,0,25.1875
1775843220562188,323096098,23.375,31.625,0,25.1875
1775843229238739,331782718,23.0625,31.4375,0,24.8125
1775843232510359,335038143,22.875,31.25,0,24.5625
1775843233638361,336142899,23.0,31.25,0,24.5625
1775843236815457,339354839,22.8125,31.1875,0,24.5625
1775843239021939,341531717,22.875,31.125,0,24.4375
1775843240104114,342637930,22.8125,31.125,0,24.5
1775843242385729,344901279,22.875,31.0,0,24.5
1775843255814644,358341718,23.375,31.5625,0,25.125
1775843267116068,369654976,22.9375,31.0625,0,24.6875
1775843269375444,371902720,22.75,30.9375,0,24.5
1775843277292229,379795493,22.875,31.0625,0,24.625
1775843286105090,388623638,22.875,31.0625,0,24.5625
