ts,run,state,depress,igniter,gn2_fill,lox_fill,gn2_drain,ereg_power,press_pilot,ms_since_boot,lox_disconnect
1774640400208825,False,"""STANDBY""",False,False,False,False,False,False,False,6654302,False
1774640401440167,False,"""STANDBY""",False,False,False,False,False,False,False,6655581,False
1774640403121098,False,"""STANDBY""",False,False,False,False,False,False,False,6657219,False
1774640403167099,False,"""STANDBY""",False,False,False,False,False,False,False,6657321,False
1774640403767609,False,"""STANDBY""",False,False,False,False,False,False,False,6657923,False
1774640405227664,False,"""STANDBY""",False,False,False,False,False,False,False,6659370,False
1774640406113161,False,"""STANDBY""",False,False,False,False,False,False,False,6660268,False
1774640406384511,False,"""STANDBY""",False,False,False,False,False,False,False,6660532,False
1774640406481419,False,"""STANDBY""",False,False,False,False,False,False,False,6660640,False
1774640406808566,False,"""STANDBY""",False,False,False,False,False,False,False,6660951,False
1774640406936259,False,"""STANDBY""",False,False,False,False,False,False,False,6661087,False
1774640407068837,False,"""STANDBY""",False,False,False,False,False,False,False,6661216,False
1774640407767814,False,"""STANDBY""",False,False,False,False,False,False,False,6661897,False
1774640408332161,False,"""STANDBY""",False,False,False,False,False,False,False,6662487,False
1774640408998656,False,"""STANDBY""",False,False,False,False,False,False,False,6663153,False
1774640409024064,False,"""STANDBY""",False,False,False,False,False,False,False,6663171,False
1774640409217552,False,"""STANDBY""",False,False,False,False,False,False,False,6663363,False
1774640410175169,False,"""CUSTOM""",False,False,True,False,False,False,False,6664310,False
1774640410531575,False,"""CUSTOM""",False,False,True,False,False,False,False,6664688,False
1774640411110344,False,"""CUSTOM""",False,False,True,False,False,False,False,6665249,False
1774640411436396,False,"""CUSTOM""",False,False,True,False,False,False,False,6665559,False
1774640411515057,False,"""CUSTOM""",False,False,True,False,False,False,False,6665671,False
1774640412634354,False,"""CUSTOM""",False,False,True,False,False,False,False,6666783,False
1774640413992755,False,"""CUSTOM""",False,False,True,False,False,False,False,6668147,False
1774640414024015,False,"""CUSTOM""",False,False,True,False,False,False,False,6668164,False
1774640414279076,False,"""CUSTOM""",False,False,True,False,False,False,False,6668408,False
1774640414752013,False,"""CUSTOM""",False,False,True,False,False,False,False,6668900,False
1774640415175563,False,"""CUSTOM""",False,False,True,False,False,False,False,6669323,False
1774640415193899,False,"""CUSTOM""",False,False,True,False,False,False,False,6669350,False
1774640415570970,False,"""CUSTOM""",False,False,True,False,False,False,False,6669723,False
1774640415672264,False,"""CUSTOM""",False,False,True,False,False,False,False,6669821,False
1774640416212071,False,"""CUSTOM""",False,False,True,False,False,False,False,6670349,False
1774640417815397,False,"""CUSTOM""",False,False,True,False,False,False,False,6671959,False
1774640418091596,False,"""CUSTOM""",False,False,True,False,False,False,False,6672223,False
1774640418254123,False,"""CUSTOM""",False,False,True,False,False,False,False,6672409,False
1774640419466150,False,"""CUSTOM""",False,False,False,False,False,False,False,6673621,False
1774640419573035,False,"""CUSTOM""",False,False,False,False,False,False,False,6673723,False
1774640419989741,False,"""CUSTOM""",False,False,False,False,False,False,False,6674083,False
1774640420264446,False,"""CUSTOM""",False,False,False,False,False,False,False,6674415,False
1774640420949050,False,"""CUSTOM""",False,False,False,False,False,False,False,6675071,False
1774640421390451,False,"""CUSTOM""",False,False,False,False,False,False,False,6675539,False
1774640422132370,False,"""CUSTOM""",False,False,False,False,False,False,False,6676289,False
1774640422290844,False,"""CUSTOM""",False,False,False,False,False,False,False,6676429,False
1774640422335602,False,"""CUSTOM""",False,False,False,False,False,False,False,6676491,False
1774640422368779,False,"""CUSTOM""",False,False,False,False,False,False,False,6676507,False
1774640422571464,False,"""CUSTOM""",False,False,False,False,False,False,False,6676711,False
1774640423013730,False,"""CUSTOM""",False,False,False,False,False,False,False,6677161,False
1774640423583331,False,"""CUSTOM""",False,False,False,False,False,False,False,6677736,False
1774640424333699,False,"""CUSTOM""",False,False,False,False,False,False,False,6678479,False
1774640425622407,False,"""CUSTOM""",False,False,False,False,False,False,False,6679717,False
1774640425931091,False,"""CUSTOM""",False,False,False,False,False,False,False,6680081,False
1774640426094794,False,"""CUSTOM""",False,False,False,False,False,False,False,6680244,False
1774640426502221,False,"""CUSTOM""",False,False,False,False,False,False,False,6680614,False
1774640426817010,False,"""CUSTOM""",False,False,False,False,False,False,False,6680844,False
1774640427258208,False,"""CUSTOM""",False,False,False,False,False,False,False,6681375,False
1774640427454179,False,"""CUSTOM""",False,False,False,False,False,False,False,6681604,False
1774640429009066,False,"""CUSTOM""",False,False,False,False,False,False,False,6683104,False
1774640431337091,False,"""CUSTOM""",False,False,False,False,False,False,False,6685448,False
1774640431789141,False,"""CUSTOM""",False,False,False,False,False,False,False,6685934,False
1774640435855154,False,"""CUSTOM""",False,False,False,False,False,False,False,6689994,False
1774640437122292,False,"""CUSTOM""",False,False,False,False,False,False,False,6691279,False
1774640437485089,False,"""CUSTOM""",False,False,False,False,False,False,False,6691637,False
1774640437876404,False,"""CUSTOM""",False,False,False,False,False,False,False,6692034,False
1774640438046594,False,"""CUSTOM""",False,False,False,False,False,False,False,6692184,False
1774640438932012,False,"""CUSTOM""",False,False,False,False,False,False,False,6693073,False
1774640439765469,False,"""CUSTOM""",False,False,False,False,False,False,False,6693916,False
1774640440053180,False,"""CUSTOM""",False,False,False,False,False,False,False,6694209,False
1774640440524036,False,"""CUSTOM""",False,False,False,False,False,False,False,6694681,False
1774640441123372,False,"""CUSTOM""",False,False,False,False,False,False,False,6695258,False
1774640442014218,False,"""CUSTOM""",False,False,False,False,False,False,False,6696091,False
1774640442223223,False,"""CUSTOM""",False,False,False,False,False,False,False,6696379,False
1774640444651137,False,"""CUSTOM""",False,False,False,False,False,False,False,6698795,False
1774640444815797,False,"""CUSTOM""",False,False,False,False,False,False,False,6698973,False
1774640444836509,False,"""CUSTOM""",False,False,False,False,False,False,False,6698988,False
1774640444886199,False,"""CUSTOM""",False,False,False,False,False,False,False,6699027,False
1774640445785427,False,"""CUSTOM""",False,False,False,False,False,False,False,6699926,False
1774640446103488,False,"""CUSTOM""",False,False,False,False,False,False,False,6700260,False
1774640446509172,False,"""CUSTOM""",False,False,False,False,False,False,False,6700665,False
1774640446698214,False,"""CUSTOM""",False,False,False,False,False,False,False,6700829,False
1774640446857648,False,"""CUSTOM""",False,False,False,False,False,False,False,6700990,False
1774640447931890,False,"""CUSTOM""",False,False,False,False,False,False,False,6702081,False
1774640448438433,False,"""STANDBY""",False,False,False,False,False,False,False,6702580,False
1774640450367158,False,"""STANDBY""",False,False,False,False,False,False,False,6704514,False
1774640450846183,False,"""STANDBY""",False,False,False,False,False,False,False,6704981,False
1774640450970596,False,"""STANDBY""",False,False,False,False,False,False,False,6705127,False
