ts,ts.1,lox_lower_celsius,lox_upper_celsius,gn2_external_celsius,gn2_internal_celsius
1775840406056164,411876512,-4.1875,31.125,0,9.9375
1775840409328871,415145990,-4.0625,31.0625,0,10.125
1775840412618094,418414937,-4.0,31.125,0,10.25
1775840418045577,423839616,-3.8125,31.25,0,10.375
1775840419119518,424930919,-3.75,31.25,0,10.375
1775840421308111,427114118,-3.6875,31.3125,0,10.5
1775840424539661,430351609,-3.75,31.25,0,10.4375
1775840432133305,437956427,-3.4375,31.3125,0,10.625
1775840437619570,443386104,-3.625,31.0625,0,10.375
1775840447371508,453191111,-3.375,31.125,0,10.75
1775840449542055,455346989,-3.125,31.375,0,11.0625
1775840450622769,456433009,-3.125,31.3125,0,11.0625
1775840468062385,473858454,-3.0,31.0625,0,11.1875
1775840471312041,477117679,-3.0625,30.875,0,11.0625
1775840472427471,478206111,-2.875,30.9375,0,11.1875
1775840485433684,491254889,-2.75,30.875,0,11.25
1775840490891520,496695839,-2.6875,30.8125,0,11.3125
1775840491980911,497781262,-2.75,30.8125,0,11.3125
1775840493041194,498853980,-2.625,30.75,0,11.375
1775840504935131,510754650,-2.3125,30.75,0,11.5625
1775840506036045,511852047,-2.3125,30.875,0,11.625
1775840507137437,512951148,-2.1875,31.0,0,11.6875
1775840522406105,528215916,-2.0,30.75,0,11.9375
1775840525652684,531462585,-2.1875,30.625,0,11.75
1775840527839448,533640114,-2.0,30.625,0,11.875
1775840530031572,535841392,-1.875,30.6875,0,11.875
1775840531132975,536949053,-1.8125,30.8125,0,12.0625
1775840532255566,538033959,-1.625,30.875,0,12.25
1775840533320380,539121685,-1.625,30.8125,0,12.125
1775840536600746,542384927,-1.4375,30.9375,0,12.3125
1775840539856011,545677102,-1.4375,30.9375,0,12.25
1775840548558931,554352115,-1.25,31.0625,0,12.3125
1775840552894613,558698131,-1.25,31.0625,0,12.25
1775840555094803,560873121,-1.3125,30.8125,0,12.0
1775840559446666,565230115,-1.5,30.625,0,11.875
1775840560506798,566312625,-1.4375,30.6875,0,11.9375
1775840565942391,571764476,-1.375,30.8125,0,12.0625
1775840567050854,572857918,-1.3125,30.8125,0,12.0625
1775840573608830,579397104,-1.25,30.875,0,12.0625
1775840577973335,583789928,-1.125,30.6875,0,12.125
1775840579092345,584884125,-1.25,30.6875,0,12.0
1775840584538237,590349552,-1.0,31.0,0,12.4375
1775840587796677,593615595,-0.9375,31.0,0,12.3125
1775840590005050,595796498,-0.75,31.125,0,12.4375
1775840591123718,596882675,-0.75,31.0625,0,12.5625
1775840595420411,601233174,-0.6875,30.8125,0,12.4375
1775840596508104,602317106,-0.875,30.9375,0,12.4375
1775840597586258,603387836,-0.5,31.0,0,12.5625
1775840612813456,618621336,-0.75,30.5,0,12.375
1775840613922428,619719554,-0.6875,30.5625,0,12.4375
1775840615014194,620813013,-0.75,30.5,0,12.375
1775840620449695,626270041,-0.625,30.5,0,12.4375
1775840625964016,631777609,-0.4375,30.5,0,12.625
1775840629341219,635146102,-0.375,30.5,0,12.625
1775840630475169,636275036,-0.5,30.5625,0,12.6875
1775840632727720,638544097,-0.5,30.4375,0,12.5625
1775840634956912,640774110,-0.375,30.4375,0,12.5
1775840640577991,646398655,-0.25,30.6875,0,12.5625
1775840649576986,655392811,-0.1875,30.375,0,12.5625
1775840650741365,656538099,-0.0625,30.4375,0,12.5625
1775840654167373,659953112,0.125,30.6875,0,12.875
1775840660872771,666692101,0.5625,31.0,0,13.375
1775840684602378,690416100,0.9375,30.875,0,13.3125
1775840687987221,693800649,1.125,31.0,0,13.375
1775840690188843,695994263,1.375,31.0,0,13.6875
1775840691301482,697100011,1.4375,31.0625,0,13.6875
1775840693579479,699382047,1.375,31.125,0,13.625
1775840696958756,702775630,1.5,31.0625,0,13.75
1775840704676626,710480400,1.6875,31.125,0,13.9375
1775840710225559,716032112,1.625,31.0625,0,13.8125
1775840712432725,718246106,1.5,30.9375,0,13.75
1775840737192904,743004115,1.875,31.4375,0,13.875
