ts,data
1773431400001538,-0.678764
1773431400005547,-0.670825
1773431400009645,-0.66402
1773431400013753,-0.671959
1773431400017589,-0.686703
1773431400021551,-0.687837
1773431400025557,-0.674227
1773431400029514,-0.680465
1773431400033582,-0.691806
1773431400037581,-0.693507
1773431400041535,-0.6833
1773431400045587,-0.685001
1773431400049979,-0.696343
1773431400053719,-0.69691
1773431400057606,-0.685001
1773431400062241,-0.678764
1773431400065976,-0.694074
1773431400069791,-0.697477
1773431400073557,-0.689538
1773431400077550,-0.682733
1773431400081957,-0.695775
1773431400085577,-0.698611
1773431400089532,-0.688971
1773431400093971,-0.67763
1773431400098000,-0.683867
1773431400101716,-0.694074
1773431400105529,-0.695208
1773431400109573,-0.676496
1773431400113569,-0.681599
1773431400117548,-0.690105
1773431400121533,-0.691239
1773431400125534,-0.66799
1773431400129534,-0.671392
1773431400137050,-0.681032
1773431400139558,-0.669691
1773431400143718,-0.661752
1773431400147573,-0.669691
1773431400151643,-0.678197
1773431400155477,-0.664587
1773431400159627,-0.656082
1773431400163482,-0.661752
1773431400167522,-0.669124
1773431400171522,-0.670825
1773431400175620,-0.64871
1773431400180204,-0.654948
1773431400183496,-0.665722
1773431400187504,-0.665155
1773431400191513,-0.653246
1773431400195708,-0.643039
1773431400199481,-0.658917
1773431400203953,-0.65835
1773431400207777,-0.643606
1773431400211455,-0.635668
1773431400216184,-0.645308
1773431400219537,-0.654948
1773431400223522,-0.644741
1773431400227504,-0.634534
1773431400231709,-0.63907
1773431400235519,-0.647576
1773431400239479,-0.636235
1773431400243547,-0.628863
1773431400247547,-0.637936
1773431400251907,-0.647009
1773431400255540,-0.647009
1773431400259533,-0.627729
1773431400263526,-0.635101
1773431400267470,-0.647576
1773431400271481,-0.647576
1773431400275491,-0.635668
1773431400279455,-0.632832
1773431400283859,-0.643039
1773431400287441,-0.647576
1773431400294010,-0.629997
1773431400297481,-0.636802
1773431400302048,-0.649844
1773431400307273,-0.645308
1773431400311449,-0.643039
1773431400316614,-0.643039
1773431400319521,-0.655515
1773431400323805,-0.647576
1773431400327857,-0.637936
1773431400332037,-0.661185
1773431400335937,-0.661185
1773431400339559,-0.649844
1773431400343451,-0.643606
1773431400348056,-0.650978
1773431400351655,-0.662886
1773431400355510,-0.653813
1773431400359450,-0.643606
1773431400363495,-0.650978
1773431400368384,-0.661185
1773431400371505,-0.663453
1773431400375488,-0.65438
1773431400380702,-0.655515
1773431400383435,-0.662886
1773431400387803,-0.662886
1773431400392105,-0.653246
1773431400395616,-0.648143
