ts,run,state,depress,igniter,gn2_fill,lox_fill,gn2_drain,ereg_power,press_pilot,ms_since_boot,lox_disconnect
1774635600528632,False,"""STANDBY""",False,False,False,False,False,False,False,1854708,False
1774635601557248,False,"""STANDBY""",False,False,False,False,False,False,False,1855735,False
1774635602969576,False,"""STANDBY""",False,False,False,False,False,False,False,1857118,False
1774635603073247,False,"""STANDBY""",False,False,False,False,False,False,False,1857251,False
1774635603148226,False,"""STANDBY""",False,False,False,False,False,False,False,1857328,False
1774635604579401,False,"""STANDBY""",False,False,False,False,False,False,False,1858749,False
1774635604619365,False,"""STANDBY""",False,False,False,False,False,False,False,1858796,False
1774635605924809,False,"""STANDBY""",False,False,False,False,False,False,False,1860100,False
1774635606485153,False,"""STANDBY""",False,False,False,False,False,False,False,1860551,False
1774635608029284,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1862190,False
1774635608345662,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1862529,False
1774635609313101,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1863494,False
1774635610014427,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1864171,False
1774635610503617,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1864676,False
1774635610681760,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1864814,False
1774635611440149,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1865597,False
1774635611786173,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1865969,False
1774635612421140,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1866538,False
1774635612542700,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1866645,False
1774635613012874,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1867196,False
1774635613172463,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1867329,False
1774635613526725,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1867695,False
1774635613598252,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1867771,False
1774635615827915,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1869955,False
1774635615903618,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1870053,False
1774635616272540,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1870457,False
1774635617397825,False,"""GN2_STANDBY""",True,False,False,False,False,False,False,1871579,False
1774635618355367,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1872536,False
1774635619127962,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1873308,False
1774635619218766,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1873398,False
1774635619394418,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1873573,False
1774635620969470,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1875150,False
1774635621301580,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1875485,False
1774635621322450,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1875501,False
1774635622291239,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1876467,False
1774635622467119,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1876620,False
1774635623274146,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1877453,False
1774635623622143,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1877805,False
1774635624190054,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1878367,False
1774635624263802,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1878449,False
1774635624387523,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1878558,False
1774635624558514,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,1878740,False
1774635627171708,False,"""GN2_STANDBY""",True,False,False,False,False,False,False,1881355,False
1774635627494813,False,"""GN2_STANDBY""",True,False,False,False,False,False,False,1881658,False
1774635627587557,False,"""GN2_STANDBY""",True,False,False,False,False,False,False,1881772,False
1774635631051972,False,"""CUSTOM""",True,False,False,True,False,False,False,1885157,False
