ts,data
1776450000003765,-361.867
1776450000007696,-361.986
1776450000011660,-361.775
1776450000015823,-361.602
1776450000019678,-361.959
1776450000023728,-362.079
1776450000027651,-361.851
1776450000031823,-361.695
1776450000035711,-361.745
1776450000039691,-362.147
1776450000043652,-361.942
1776450000047646,-361.789
1776450000051646,-361.824
1776450000055641,-362.122
1776450000059650,-361.999
1776450000063655,-361.832
1776450000067653,-361.875
1776450000071804,-362.159
1776450000075637,-362.268
1776450000079648,-361.864
1776450000083727,-361.867
1776450000087719,-362.15
1776450000091719,-362.235
1776450000095689,-362.014
1776450000099699,-361.873
1776450000103631,-362.153
1776450000107760,-362.242
1776450000111672,-361.999
1776450000116493,-361.814
1776450000119704,-362.121
1776450000123653,-362.167
1776450000127640,-361.926
1776450000131638,-361.762
1776450000135635,-361.781
1776450000139721,-362.1
1776450000143714,-361.864
1776450000147617,-361.682
1776450000152271,-361.696
1776450000155983,-361.965
1776450000159649,-361.79
1776450000163629,-361.656
1776450000167642,-361.649
1776450000171609,-361.923
1776450000175621,-362.001
1776450000179645,-361.587
1776450000183668,-361.62
1776450000187626,-361.908
1776450000191647,-362.027
1776450000195601,-361.771
1776450000199646,-361.648
1776450000203949,-361.934
1776450000207619,-362.022
1776450000211671,-361.785
1776450000215718,-361.642
1776450000219721,-361.987
1776450000223615,-362.054
1776450000227658,-361.841
1776450000231691,-361.681
1776450000235655,-361.742
1776450000239663,-362.136
1776450000243692,-361.898
1776450000247600,-361.769
1776450000251649,-361.822
1776450000255895,-362.129
1776450000259578,-361.988
1776450000263625,-361.836
1776450000267702,-361.902
1776450000272651,-362.185
1776450000276031,-362.297
1776450000279612,-361.914
1776450000284421,-361.957
1776450000287743,-362.243
1776450000291795,-362.108
1776450000295574,-362.108
1776450000300116,-362.018
1776450000304267,-362.295
1776450000307610,-362.382
1776450000311812,-362.117
1776450000315605,-361.969
1776450000320505,-362.268
1776450000323699,-362.369
1776450000328057,-362.131
1776450000331597,-361.952
1776450000336194,-361.992
1776450000340678,-362.324
1776450000345098,-362.067
1776450000347801,-361.886
1776450000352915,-361.93
1776450000355604,-362.185
1776450000359689,-362.003
1776450000363657,-361.818
1776450000367567,-361.868
1776450000371637,-362.126
1776450000375677,-362.196
1776450000379824,-361.756
1776450000384269,-361.785
1776450000387648,-362.048
1776450000391597,-362.128
1776450000395642,-361.88
1776450000399653,-361.765
1776450000403640,-362.016
1776450000407648,-362.104
1776450000411658,-361.843
1776450000415577,-361.67
1776450000419704,-362.016
1776450000423606,-362.1
1776450000427626,-361.843
1776450000431595,-361.684
1776450000435681,-361.735
1776450000439587,-362.108
1776450000443699,-361.88
1776450000447568,-361.724
1776450000451651,-361.794
1776450000455592,-362.154
1776450000459619,-361.916
1776450000463604,-361.763
1776450000467762,-361.828
1776450000471603,-362.114
1776450000476721,-362.229
1776450000479864,-362.011
1776450000483633,-361.923
1776450000487646,-362.187
1776450000491681,-362.302
1776450000495652,-362.07
1776450000499596,-362.01
1776450000503586,-362.298
1776450000507914,-362.4
1776450000511576,-362.171
1776450000515553,-362.018
1776450000519587,-362.32
1776450000523577,-362.421
1776450000527559,-362.189
1776450000531861,-362.045
1776450000535630,-362.107
1776450000539705,-362.467
1776450000543594,-362.198
1776450000547599,-362.036
1776450000551570,-362.089
1776450000555598,-362.365
1776450000559534,-362.191
1776450000563585,-362.033
1776450000567882,-362.084
1776450000572205,-362.324
1776450000575588,-362.398
1776450000579687,-361.981
1776450000583516,-362.04
1776450000587825,-362.296
1776450000591581,-362.38
1776450000595679,-362.122
1776450000599528,-361.986
1776450000603618,-362.236
1776450000607592,-362.315
1776450000611553,-362.071
1776450000615553,-361.895
1776450000619573,-362.197
1776450000623570,-362.291
1776450000627582,-362.018
1776450000631545,-361.853
1776450000635539,-361.897
1776450000639575,-362.167
1776450000643702,-362.003
1776450000647555,-361.845
1776450000651733,-361.887
1776450000655545,-362.134
1776450000659881,-361.986
1776450000663541,-361.833
1776450000667685,-361.888
1776450000672356,-362.163
1776450000675697,-362.255
1776450000680064,-361.998
1776450000683530,-361.895
1776450000688403,-362.162
1776450000692114,-362.262
1776450000695573,-362.027
1776450000700207,-361.938
1776450000703612,-362.186
1776450000707565,-362.285
1776450000711577,-362.045
1776450000715730,-361.905
1776450000719525,-362.218
1776450000723527,-362.303
1776450000727790,-362.077
1776450000731587,-361.936
1776450000735542,-362.003
1776450000739663,-362.332
1776450000743556,-362.085
1776450000747523,-361.943
1776450000751919,-361.997
1776450000755526,-362.378
1776450000759595,-362.125
1776450000763845,-361.955
1776450000768617,-362.015
1776450000771512,-362.282
1776450000775548,-362.369
1776450000780654,-362.092
1776450000783594,-361.986
1776450000787517,-362.25
1776450000791516,-362.344
1776450000795841,-362.113
1776450000799505,-361.952
1776450000804301,-362.223
1776450000807504,-362.307
1776450000811551,-362.044
1776450000816292,-361.889
1776450000819500,-362.185
1776450000823483,-362.289
1776450000827504,-362.018
1776450000831519,-361.855
1776450000835513,-361.906
1776450000839596,-362.243
1776450000843492,-361.982
1776450000849508,-361.897
1776450000853513,-362.118
1776450000857978,-362.188
1776450000861524,-361.914
1776450000865555,-361.761
1776450000870083,-361.807
1776450000873678,-362.162
1776450000877481,-361.901
1776450000881496,-361.74
1776450000885520,-361.788
1776450000890089,-362.029
1776450000893599,-361.861
1776450000897495,-361.706
1776450000901535,-361.766
1776450000905508,-362.01
1776450000909506,-361.837
1776450000913531,-361.692
1776450000917568,-361.748
1776450000921463,-361.995
1776450000925594,-361.828
1776450000929791,-361.677
1776450000933499,-361.743
1776450000939997,-362.086
1776450000943483,-361.841
1776450000947570,-361.686
1776450000951486,-361.763
1776450000955927,-362.022
1776450000959563,-361.883
1776450000963566,-361.736
1776450000967564,-361.778
1776450000971524,-362.049
1776450000976432,-362.144
1776450000980479,-361.752
1776450000983728,-361.821
1776450000987563,-362.065
1776450000991758,-362.203
1776450000996081,-361.952
1776450000999582,-361.866
1776450001003630,-362.119
1776450001008557,-362.208
1776450001012609,-361.962
1776450001015478,-361.81
1776450001019829,-361.882
1776450001023580,-362.239
1776450001027500,-361.979
1776450001031453,-361.844
1776450001035947,-361.893
1776450001039476,-362.125
1776450001043970,-361.984
1776450001048424,-361.838
1776450001051940,-361.903
1776450001055462,-362.13
1776450001059458,-361.964
1776450001063531,-361.807
1776450001067487,-361.862
1776450001071501,-362.1
1776450001075478,-362.206
1776450001079463,-361.787
1776450001083551,-361.845
1776450001087633,-362.075
1776450001091811,-362.175
1776450001096273,-361.926
1776450001099925,-361.765
1776450001103524,-362.051
1776450001108058,-362.132
1776450001111702,-361.886
1776450001115645,-361.737
1776450001119634,-361.816
1776450001123710,-362.128
1776450001127541,-361.885
1776450001131607,-361.732
1776450001135666,-361.79
1776450001139428,-362.054
1776450001143457,-361.913
1776450001147552,-361.758
1776450001151666,-361.824
1776450001155655,-362.037
1776450001159430,-361.929
1776450001163442,-361.761
1776450001167631,-361.823
1776450001171533,-362.073
1776450001175540,-362.164
1776450001179451,-361.784
1776450001183508,-361.832
1776450001187531,-362.073
1776450001191721,-362.181
1776450001195469,-361.94
1776450001199662,-361.854
1776450001203534,-362.082
1776450001207481,-362.196
1776450001211457,-361.954
1776450001215801,-361.815
1776450001219461,-361.884
1776450001223721,-362.21
1776450001227462,-361.962
1776450001231513,-361.828
1776450001235497,-361.88
1776450001239597,-362.224
1776450001243482,-361.99
1776450001247459,-361.846
1776450001251566,-361.897
1776450001255803,-362.12
1776450001259750,-362.246
1776450001263463,-361.857
1776450001267511,-361.901
1776450001271579,-362.128
1776450001275603,-362.245
1776450001279903,-362.029
1776450001283838,-361.917
1776450001287480,-362.138
1776450001291431,-362.245
1776450001295586,-361.991
1776450001299464,-361.844
1776450001303559,-362.138
1776450001307816,-362.256
1776450001311499,-361.998
1776450001315486,-361.84
1776450001319531,-361.873
1776450001323543,-362.2
1776450001327484,-361.974
1776450001333881,-361.858
1776450001337679,-362.077
1776450001342392,-362.189
1776450001345792,-361.948
1776450001349480,-361.796
1776450001353412,-362.053
1776450001357446,-362.18
1776450001361692,-361.94
1776450001365473,-361.777
1776450001369534,-362.039
1776450001373472,-362.164
1776450001377407,-361.928
1776450001381433,-361.754
1776450001385485,-361.796
1776450001389399,-362.015
1776450001393449,-361.903
1776450001397435,-361.73
1776450001402020,-361.76
1776450001405507,-361.994
1776450001409566,-362.114
1776450001413414,-361.722
1776450001417434,-361.771
1776450001421550,-362.0
1776450001425656,-362.13
1776450001430160,-361.74
1776450001434155,-361.786
1776450001437453,-362.001
1776450001441566,-362.15
1776450001445433,-361.769
1776450001449393,-361.769
1776450001453595,-362.066
1776450001457463,-362.182
1776450001461423,-361.957
1776450001465473,-361.8
1776450001469432,-362.103
1776450001473417,-362.232
1776450001477660,-362.009
1776450001481398,-361.853
1776450001485553,-361.904
1776450001489478,-362.125
1776450001493500,-362.02
1776450001497897,-361.895
1776450001501546,-361.946
1776450001505455,-362.175
1776450001509492,-362.3
1776450001514032,-361.923
1776450001517605,-361.985
1776450001521480,-362.2
1776450001525541,-362.322
1776450001529486,-362.089
1776450001533456,-361.987
1776450001537469,-362.214
1776450001541540,-362.363
1776450001545467,-362.13
1776450001549462,-361.983
1776450001553642,-362.233
1776450001557509,-362.348
1776450001561469,-362.089
1776450001565475,-361.909
1776450001569346,-361.998
1776450001573396,-362.383
1776450001577620,-362.139
1776450001581433,-361.935
1776450001587314,-362.162
1776450001591396,-362.294
1776450001595623,-362.086
1776450001599708,-361.984
1776450001603481,-362.188
1776450001609349,-362.277
1776450001613523,-361.795
1776450001617383,-361.887
1776450001621399,-362.129
1776450001625383,-362.264
1776450001629424,-362.021
1776450001633375,-361.802
1776450001637405,-362.009
1776450001641357,-362.098
1776450001645922,-361.881
1776450001649400,-361.752
1776450001653448,-362.011
1776450001657347,-362.123
1776450001661388,-361.828
1776450001667015,-361.638
1776450001669400,-361.705
1776450001673366,-362.07
1776450001677360,-361.84
1776450001682014,-361.641
1776450001685399,-361.701
1776450001689712,-361.934
1776450001693394,-361.795
1776450001697556,-361.615
1776450001701388,-361.663
1776450001705395,-361.929
1776450001709321,-362.06
1776450001713437,-361.629
1776450001717332,-361.684
1776450001721377,-361.908
1776450001725360,-362.056
1776450001729379,-361.801
1776450001733342,-361.732
1776450001737356,-361.969
1776450001741362,-362.085
1776450001745413,-361.848
1776450001749423,-361.665
1776450001753426,-361.968
1776450001757363,-362.107
1776450001761342,-361.876
1776450001765362,-361.802
1776450001769374,-362.036
1776450001773537,-362.147
1776450001777445,-361.888
1776450001781836,-361.725
1776450001785351,-361.81
1776450001789324,-362.052
1776450001793890,-361.947
1776450001797443,-361.751
1776450001801373,-361.803
1776450001805357,-362.073
1776450001810018,-362.181
1776450001813459,-361.765
1776450001818235,-361.829
1776450001821354,-362.086
1776450001825430,-362.201
