ts,data
1775843014413295,-5.43124
1775843014419507,-5.47321
1775843014423441,-5.53898
1775843014427516,-5.59909
1775843014431420,-5.64673
1775843014435561,-5.75276
1775843014439625,-5.82194
1775843014443464,-5.8588
1775843014449473,-5.93649
1775843014453520,-5.96995
1775843014457419,-6.01474
1775843014461425,-6.02665
1775843014465438,-6.05103
1775843014469453,-6.02608
1775843014474421,-6.00567
1775843014477417,-5.93933
1775843014481436,-5.83896
1775843014485618,-5.73462
1775843014489442,-5.42671
1775843014493462,-5.19989
1775843014497496,-4.68954
1775843014505481,-4.14403
1775843014509465,-3.88262
1775843014513601,-3.64616
1775843014517446,-3.4562
1775843014521476,-3.29629
1775843014525458,-3.19989
1775843014529486,-3.0791
1775843014533410,-3.11029
1775843014537426,-3.17097
1775843014541467,-3.24242
1775843014545447,-3.31613
1775843014549451,-3.49475
1775843014553485,-3.56167
1775843014557432,-3.63028
1775843014561408,-3.65296
1775843014565471,-3.6609
1775843014569579,-3.63595
1775843014573469,-3.61043
1775843014577429,-3.5594
1775843014581460,-3.52481
1775843014585451,-3.54522
1775843014589465,-3.62688
1775843014593457,-3.69266
1775843014597437,-3.78055
1775843014601660,-3.91324
1775843014605610,-4.18373
1775843014609513,-4.32549
1775843014613532,-4.47349
1775843014617396,-4.62489
1775843014621405,-4.7383
1775843014625403,-4.91976
1775843014629421,-4.98667
1775843014633464,-5.05302
1775843014637462,-5.07797
1775843014641447,-5.09725
1775843014645462,-5.02013
1775843014649418,-4.99518
1775843014653546,-4.94868
1775843014657476,-4.8761
1775843014661394,-4.75702
1775843014665373,-4.64701
1775843014669591,-4.37879
1775843014673423,-4.23363
1775843014677393,-4.05897
1775843014681385,-3.93422
1775843014685443,-3.83272
1775843014689476,-3.59739
1775843014693442,-3.47831
1775843014697438,-3.38191
1775843014701515,-3.35129
1775843014705480,-3.34959
1775843014709417,-3.34959
1775843014713395,-3.36944
1775843014717537,-3.38588
1775843014721463,-3.38248
1775843014725594,-3.3099
1775843014729885,-3.24582
1775843014733421,-3.16586
1775843014737484,-3.05982
1775843014741430,-2.93961
1775843014745486,-2.67763
1775843014750078,-2.57386
1775843014753433,-2.44911
1775843014757429,-2.32662
1775843014761420,-2.23533
1775843014765422,-2.26028
1775843014769447,-2.37029
1775843014773404,-2.4888
1775843014777853,-2.59881
1775843014781429,-2.72356
1775843014785384,-2.88404
1775843014789435,-3.18174
1775843014793434,-3.25886
1775843014797544,-3.31897
1775843014801398,-3.39042
1775843014805461,-3.46867
1775843014809439,-3.45393
1775843014813465,-3.43011
1775843014817468,-3.42331
1775843014821635,-3.41707
1775843014826409,-3.39609
1775843014829406,-3.32237
1775843014833951,-3.30309
1775843014837671,-3.26566
1775843014841419,-3.23675
1775843014845480,-3.40459
1775843014849764,-3.58322
1775843014853403,-3.66714
1775843014857374,-3.59059
1775843014861389,-3.48398
1775843014865432,-3.71194
1775843014869446,-3.88546
1775843014873398,-3.92798
1775843014877440,-3.87185
1775843014881420,-3.83102
1775843014885476,-3.87808
1775843014889498,-3.85654
1775843014893481,-3.69889
1775843014897402,-3.50269
1775843014901399,-3.34278
1775843014905443,-3.20783
1775843014909495,-3.07173
1775843014913408,-2.90559
1775843014917431,-2.7366
1775843014921447,-2.6351
1775843014925415,-2.58633
1775843014929411,-2.47122
1775843014933417,-2.37596
1775843014937456,-2.31585
1775843014943426,-2.28693
