ts,run,state,depress,igniter,gn2_fill,lox_fill,gn2_drain,ereg_power,press_pilot,ms_since_boot,lox_disconnect
1773429000042317,False,"""STANDBY""",False,False,False,False,False,False,False,8604439,False
1773429000192506,False,"""STANDBY""",False,False,False,False,False,False,False,8604589,False
1773429000293405,False,"""STANDBY""",False,False,False,False,False,False,False,8604690,False
1773429000389550,False,"""STANDBY""",False,False,False,False,False,False,False,8604790,False
1773429000646100,False,"""STANDBY""",False,False,False,False,False,False,False,8605044,False
1773429000745622,False,"""STANDBY""",False,False,False,False,False,False,False,8605158,False
1773429000982474,False,"""STANDBY""",False,False,False,False,False,False,False,8605387,False
1773429001115081,False,"""STANDBY""",False,False,False,False,False,False,False,8605516,False
1773429001224315,False,"""STANDBY""",False,False,False,False,False,False,False,8605632,False
1773429001339350,False,"""STANDBY""",False,False,False,False,False,False,False,8605749,False
1773429001437743,False,"""STANDBY""",False,False,False,False,False,False,False,8605844,False
1773429001650757,False,"""STANDBY""",False,False,False,False,False,False,False,8606053,False
1773429001866271,False,"""STANDBY""",False,False,False,False,False,False,False,8606270,False
1773429001990231,False,"""STANDBY""",False,False,False,False,False,False,False,8606389,False
1773429002111530,False,"""STANDBY""",False,False,False,False,False,False,False,8606516,False
1773429002214563,False,"""STANDBY""",False,False,False,False,False,False,False,8606608,False
1773429002314658,False,"""STANDBY""",False,False,False,False,False,False,False,8606722,False
1773429002428647,False,"""STANDBY""",False,False,False,False,False,False,False,8606832,False
1773429002528764,False,"""STANDBY""",False,False,False,False,False,False,False,8606935,False
1773429002623742,False,"""STANDBY""",False,False,False,False,False,False,False,8607028,False
1773429002724517,False,"""STANDBY""",False,False,False,False,False,False,False,8607122,False
1773429002829613,False,"""STANDBY""",False,False,False,False,False,False,False,8607212,False
1773429002924074,False,"""STANDBY""",False,False,False,False,False,False,False,8607322,False
1773429003022351,False,"""STANDBY""",False,False,False,False,False,False,False,8607421,False
1773429003239719,False,"""STANDBY""",False,False,False,False,False,False,False,8607638,False
1773429003382875,False,"""STANDBY""",False,False,False,False,False,False,False,8607778,False
1773429003494591,False,"""STANDBY""",False,False,False,False,False,False,False,8607891,False
1773429003605705,False,"""STANDBY""",False,False,False,False,False,False,False,8608008,False
1773429003742399,False,"""STANDBY""",False,False,False,False,False,False,False,8608145,False
1773429003845835,False,"""STANDBY""",False,False,False,False,False,False,False,8608255,False
1773429003994098,False,"""STANDBY""",False,False,False,False,False,False,False,8608383,False
1773429004105133,False,"""STANDBY""",False,False,False,False,False,False,False,8608514,False
1773429004202615,False,"""STANDBY""",False,False,False,False,False,False,False,8608601,False
1773429004415227,False,"""STANDBY""",False,False,False,False,False,False,False,8608815,False
1773429004528168,False,"""STANDBY""",False,False,False,False,False,False,False,8608927,False
1773429004644289,False,"""STANDBY""",False,False,False,False,False,False,False,8609049,False
1773429004869509,False,"""STANDBY""",False,False,False,False,False,False,False,8609271,False
1773429005074100,False,"""STANDBY""",False,False,False,False,False,False,False,8609476,False
1773429005276405,False,"""STANDBY""",False,False,False,False,False,False,False,8609681,False
1773429005380798,False,"""STANDBY""",False,False,False,False,False,False,False,8609791,False
1773429005479945,False,"""STANDBY""",False,False,False,False,False,False,False,8609884,False
1773429005574333,False,"""STANDBY""",False,False,False,False,False,False,False,8609980,False
1773429005675965,False,"""STANDBY""",False,False,False,False,False,False,False,8610077,False
1773429005920713,False,"""STANDBY""",False,False,False,False,False,False,False,8610296,False
1773429006046076,False,"""STANDBY""",False,False,False,False,False,False,False,8610453,False
1773429006259610,False,"""STANDBY""",False,False,False,False,False,False,False,8610662,False
1773429006460531,False,"""STANDBY""",False,False,False,False,False,False,False,8610863,False
1773429006574202,False,"""STANDBY""",False,False,False,False,False,False,False,8610974,False
1773429006711376,False,"""STANDBY""",False,False,False,False,False,False,False,8611116,False
1773429006812134,False,"""STANDBY""",False,False,False,False,False,False,False,8611210,False
1773429006912586,False,"""STANDBY""",False,False,False,False,False,False,False,8611319,False
1773429006986704,False,"""STANDBY""",False,False,False,False,False,False,False,8611385,False
1773429007054679,False,"""CUSTOM""",False,False,False,True,False,False,False,8611449,False
1773429007128751,False,"""CUSTOM""",False,False,False,True,False,False,False,8611528,False
1773429007201873,False,"""CUSTOM""",False,False,False,True,False,False,False,8611596,False
1773429007272591,False,"""CUSTOM""",False,False,False,True,False,False,False,8611670,False
1773429007349958,False,"""CUSTOM""",False,False,False,True,False,False,False,8611745,False
1773429007440367,False,"""CUSTOM""",False,False,False,True,False,False,False,8611839,False
1773429007536693,False,"""CUSTOM""",False,False,False,True,False,False,False,8611936,False
1773429007638581,False,"""CUSTOM""",False,False,False,True,False,False,False,8612041,False
1773429007742940,False,"""CUSTOM""",False,False,False,True,False,False,False,8612149,False
1773429007844026,False,"""CUSTOM""",False,False,False,True,False,False,False,8612247,False
1773429007955793,False,"""CUSTOM""",False,False,False,True,False,False,False,8612365,False
1773429008152522,False,"""CUSTOM""",False,False,False,True,False,False,False,8612557,False
1773429008309301,False,"""CUSTOM""",False,False,False,True,False,False,False,8612705,False
1773429008409324,False,"""CUSTOM""",False,False,False,True,False,False,False,8612814,False
1773429008557056,False,"""CUSTOM""",False,False,False,True,False,False,False,8612959,False
1773429008661101,False,"""CUSTOM""",False,False,False,True,False,False,False,8613069,False
1773429008779532,False,"""CUSTOM""",False,False,False,True,False,False,False,8613184,False
1773429008876306,False,"""CUSTOM""",False,False,False,True,False,False,False,8613274,False
1773429009004231,False,"""CUSTOM""",False,False,False,True,False,False,False,8613401,False
1773429009113621,False,"""CUSTOM""",False,False,False,True,False,False,False,8613517,False
1773429009216776,False,"""CUSTOM""",False,False,False,True,False,False,False,8613621,False
1773429009403771,False,"""CUSTOM""",False,False,False,True,False,False,False,8613767,False
1773429009490674,False,"""CUSTOM""",False,False,False,True,False,False,False,8613896,False
1773429009562896,False,"""CUSTOM""",False,False,False,True,False,False,False,8613970,False
1773429009633632,False,"""CUSTOM""",True,False,False,True,False,False,False,8614030,False
1773429009705456,False,"""CUSTOM""",True,False,False,True,False,False,False,8614107,False
1773429009779570,False,"""CUSTOM""",True,False,False,True,False,False,False,8614189,False
1773429009856491,False,"""CUSTOM""",True,False,False,True,False,False,False,8614265,False
1773429009929406,False,"""CUSTOM""",True,False,False,True,False,False,False,8614345,False
1773429010032586,False,"""CUSTOM""",True,False,False,True,False,False,False,8614430,False
1773429010365961,False,"""CUSTOM""",True,False,False,True,False,False,False,8614766,False
1773429010569295,False,"""CUSTOM""",True,False,False,True,False,False,False,8614978,False
1773429010819021,False,"""CUSTOM""",True,False,False,True,False,False,False,8615223,False
1773429010915561,False,"""CUSTOM""",True,False,False,True,False,False,False,8615322,False
1773429011019616,False,"""CUSTOM""",True,False,False,True,False,False,False,8615426,False
1773429011117738,False,"""CUSTOM""",True,False,False,True,False,False,False,8615521,False
1773429011227439,False,"""CUSTOM""",True,False,False,True,False,False,False,8615627,False
1773429011371859,False,"""CUSTOM""",True,False,False,True,False,False,False,8615772,False
1773429011598138,False,"""CUSTOM""",True,False,False,True,False,False,False,8615998,False
1773429011696204,False,"""CUSTOM""",True,False,False,True,False,False,False,8616088,False
1773429011826387,False,"""CUSTOM""",True,False,False,True,False,False,False,8616221,False
1773429011919463,False,"""CUSTOM""",True,False,False,True,False,False,False,8616327,False
1773429012040845,False,"""CUSTOM""",True,False,False,True,False,False,False,8616451,False
1773429012146677,False,"""CUSTOM""",True,False,False,True,False,False,False,8616552,False
1773429012256971,False,"""CUSTOM""",True,False,False,True,False,False,False,8616666,False
1773429012369858,False,"""CUSTOM""",True,False,False,True,False,False,False,8616774,False
1773429012469989,False,"""CUSTOM""",True,False,False,True,False,False,False,8616875,False
1773429012629480,False,"""CUSTOM""",True,False,False,True,False,False,False,8617039,False
1773429012734547,False,"""CUSTOM""",True,False,False,True,False,False,False,8617143,False
1773429012837380,False,"""CUSTOM""",True,False,False,True,False,False,False,8617241,False
1773429012937678,False,"""CUSTOM""",True,False,False,True,False,False,False,8617344,False
1773429013031815,False,"""CUSTOM""",True,False,False,True,False,False,False,8617435,False
1773429013132601,False,"""CUSTOM""",True,False,False,True,False,False,False,8617527,False
1773429013291540,False,"""CUSTOM""",False,False,False,True,False,False,False,8617690,False
1773429013361208,False,"""CUSTOM""",False,False,False,True,False,False,False,8617760,False
1773429013435530,False,"""CUSTOM""",False,False,False,True,False,False,False,8617833,False
1773429013509781,False,"""CUSTOM""",False,False,False,True,False,False,False,8617909,False
1773429013583404,False,"""CUSTOM""",False,False,False,True,False,False,False,8617986,False
1773429013658071,False,"""CUSTOM""",False,False,False,True,False,False,False,8618060,False
1773429013861424,False,"""CUSTOM""",False,False,False,True,False,False,False,8618265,False
1773429013972117,False,"""CUSTOM""",False,False,False,True,False,False,False,8618380,False
1773429014066595,False,"""CUSTOM""",False,False,False,True,False,False,False,8618471,False
1773429014188143,False,"""CUSTOM""",False,False,False,True,False,False,False,8618587,False
1773429014297265,False,"""CUSTOM""",False,False,False,True,False,False,False,8618702,False
1773429014561008,False,"""CUSTOM""",False,False,False,True,False,False,False,8618936,False
1773429014675430,False,"""CUSTOM""",False,False,False,True,False,False,False,8619078,False
1773429014860965,False,"""CUSTOM""",False,False,False,True,False,False,False,8619267,False
1773429014993704,False,"""CUSTOM""",False,False,False,True,False,False,False,8619394,False
