ts,run,state,depress,igniter,gn2_fill,lox_fill,gn2_drain,ereg_power,press_pilot,ms_since_boot,lox_disconnect
1775245200310184,False,"""STANDBY""",False,False,False,True,False,False,False,2337634,False
1775245202103421,False,"""STANDBY""",False,False,False,True,False,False,False,2339453,False
1775245202194067,False,"""STANDBY""",False,False,False,True,False,False,False,2339557,False
1775245202513937,False,"""STANDBY""",False,False,False,True,False,False,False,2339889,False
1775245203056334,False,"""STANDBY""",False,False,False,True,False,False,False,2340428,False
1775245206461416,False,"""STANDBY""",False,False,False,True,False,False,False,2343825,False
1775245208428827,False,"""STANDBY""",False,False,False,True,False,False,False,2345805,False
1775245209762858,False,"""STANDBY""",False,False,False,True,False,False,False,2347138,False
1775245210919192,False,"""STANDBY""",False,False,False,True,False,False,False,2348213,False
1775245211310243,False,"""STANDBY""",False,False,False,True,False,False,False,2348687,False
1775245211771935,False,"""STANDBY""",False,False,False,True,False,False,False,2349144,False
1775245212443040,False,"""STANDBY""",False,False,False,True,False,False,False,2349810,False
1775245212639958,False,"""STANDBY""",False,False,False,True,False,False,False,2350014,False
1775245212850575,False,"""STANDBY""",False,False,False,True,False,False,False,2350178,False
1775245213127803,False,"""STANDBY""",False,False,False,True,False,False,False,2350423,False
1775245213511230,False,"""STANDBY""",False,False,False,True,False,False,False,2350866,False
1775245213610963,False,"""STANDBY""",False,False,False,True,False,False,False,2350979,False
1775245213896461,False,"""STANDBY""",False,False,False,True,False,False,False,2351271,False
1775245214843656,False,"""STANDBY""",False,False,False,True,False,False,False,2352190,False
1775245215205454,False,"""STANDBY""",False,False,False,True,False,False,False,2352575,False
1775245215402572,False,"""STANDBY""",False,False,False,True,False,False,False,2352769,False
1775245215591172,False,"""STANDBY""",False,False,False,True,False,False,False,2352945,False
1775245215625849,False,"""STANDBY""",False,False,False,True,False,False,False,2352999,False
1775245215949604,False,"""STANDBY""",False,False,False,True,False,False,False,2353323,False
1775245216102573,False,"""STANDBY""",False,False,False,True,False,False,False,2353464,False
1775245216686952,False,"""STANDBY""",False,False,False,True,False,False,False,2354054,False
1775245216729728,False,"""STANDBY""",False,False,False,True,False,False,False,2354097,False
1775245216786426,False,"""STANDBY""",False,False,False,True,False,False,False,2354162,False
1775245217129639,False,"""STANDBY""",False,False,False,True,False,False,False,2354477,False
1775245217328650,False,"""STANDBY""",False,False,False,True,False,False,False,2354694,False
1775245217718003,False,"""STANDBY""",False,False,False,True,False,False,False,2355094,False
1775245218454653,False,"""STANDBY""",False,False,False,True,False,False,False,2355829,False
1775245218963645,False,"""STANDBY""",False,False,False,True,False,False,False,2356264,False
1775245220006076,False,"""STANDBY""",False,False,False,True,False,False,False,2357382,False
1775245221907691,False,"""STANDBY""",False,False,False,True,False,False,False,2359270,False
1775245222509509,False,"""STANDBY""",False,False,False,True,False,False,False,2359885,False
1775245222872916,False,"""STANDBY""",False,False,False,True,False,False,False,2360243,False
1775245222946813,False,"""STANDBY""",False,False,False,True,False,False,False,2360315,False
1775245223002505,False,"""STANDBY""",False,False,False,True,False,False,False,2360373,False
1775245223719860,False,"""STANDBY""",False,False,False,True,False,False,False,2361066,False
1775245224736886,False,"""STANDBY""",False,False,False,True,False,False,False,2362111,False
1775245226265674,False,"""STANDBY""",False,False,False,True,False,False,False,2363626,False
1775245226414263,False,"""STANDBY""",False,False,False,True,False,False,False,2363747,False
1775245227092222,False,"""STANDBY""",False,False,False,True,False,False,False,2364449,False
1775245227580079,False,"""STANDBY""",False,False,False,True,False,False,False,2364931,False
1775245227724880,False,"""STANDBY""",False,False,False,True,False,False,False,2365083,False
1775245228147108,False,"""STANDBY""",False,False,False,True,False,False,False,2365468,False
1775245229365806,False,"""STANDBY""",False,False,False,True,False,False,False,2366714,False
1775245229558621,False,"""STANDBY""",False,False,False,True,False,False,False,2366922,False
1775245229575027,False,"""STANDBY""",False,False,False,True,False,False,False,2366949,False
1775245230139356,False,"""STANDBY""",False,False,False,True,False,False,False,2367492,False
1775245230670913,False,"""STANDBY""",False,False,False,True,False,False,False,2368045,False
1775245230747858,False,"""STANDBY""",False,False,False,True,False,False,False,2368120,False
1775245230939660,False,"""STANDBY""",False,False,False,True,False,False,False,2368284,False
1775245232192765,False,"""STANDBY""",False,False,False,True,False,False,False,2369551,False
1775245232716624,False,"""STANDBY""",False,False,False,True,False,False,False,2370088,False
1775245232767911,False,"""STANDBY""",False,False,False,True,False,False,False,2370139,False
1775245233146532,False,"""STANDBY""",False,False,False,True,False,False,False,2370519,False
