ts,ts.1,lox_lower_celsius,lox_upper_celsius,gn2_external_celsius,gn2_internal_celsius
1775845201319308,2303818691,-81.4375,36.75,0,-81.5
1775845208910802,2311432024,-81.375,36.0625,0,-81.5625
1775845215588357,2317985504,-81.25,35.3125,0,-81.5625
1775845216674166,2319085008,-81.3125,35.1875,0,-81.5625
1775845220961327,2323430174,-81.4375,34.625,0,-81.6875
1775845229683722,2332141667,-81.4375,34.0,0,-81.75
1775845231802618,2334330640,-81.5,33.6875,0,-81.75
1775845240597453,2343091296,-81.75,32.8125,0,-81.875
1775845253655864,2356168702,-81.5,32.25,0,-81.625
1775845255837666,2358344705,-81.375,32.125,0,-81.4375
1775845256935022,2359421188,-81.5,32.0625,0,-81.625
1775845260178324,2362680496,-81.5625,31.75,0,-81.75
1775845262404104,2364865750,-81.625,31.5,0,-81.75
1775845266682663,2369197709,-81.75,31.375,0,-81.875
1775845274331487,2376809601,-81.5625,31.0625,0,-81.75
1775845276472238,2378985708,-81.5,30.875,0,-81.6875
1775845277548264,2380075694,-81.625,30.875,0,-81.5
1775845278652580,2381170042,-81.5625,30.9375,0,-81.625
1775845283047779,2385522193,-81.6875,30.75,0,-81.5
1775845285196358,2387718742,-81.875,30.5,0,-81.75
1775845290616914,2393122451,-81.625,30.5,0,-81.625
1775845298246882,2400749167,-81.75,30.1875,0,-81.625
1775845302591688,2405114485,-81.625,30.0625,0,-81.625
1775845305855005,2408378700,-81.5625,30.125,0,-81.5625
1775845309123884,2411649697,-81.3125,30.125,0,-81.375
1775845312406942,2414914512,-81.375,30.125,0,-81.3125
1775845322150274,2424662626,-81.0,30.0625,0,-81.1875
1775845323234908,2425759112,-81.0625,30.0625,0,-81.3125
1775845334181993,2436618706,-81.1875,29.75,0,-81.1875
1775845336280516,2438797725,-81.25,29.6875,0,-81.25
1775845338526442,2440984488,-81.1875,29.6875,0,-81.3125
1775845340650434,2443150562,-81.25,29.6875,0,-81.125
1775845378611937,2481137198,-80.875,29.3125,0,-80.9375
1775845381893158,2484419699,-80.875,29.3125,0,-80.875
1775845384063034,2486576072,-80.5625,29.3125,0,-80.9375
1775845394920737,2497440681,-80.8125,29.3125,0,-80.8125
1775845399312360,2501812518,-80.8125,29.25,0,-80.8125
1775845404735768,2507240687,-80.6875,29.25,0,-80.625
1775845408028204,2510508569,-80.625,29.25,0,-80.5625
1775845410171711,2512697656,-80.8125,29.1875,0,-80.5625
1775845411288158,2513791872,-80.75,29.0625,0,-80.5625
1775845412366186,2514887495,-80.625,29.125,0,-80.6875
1775845415657081,2518147307,-80.6875,29.125,0,-80.5
1775845416745860,2519244189,-80.6875,29.125,0,-80.5
1775845418917022,2521413641,-80.6875,29.125,0,-80.5
1775845422190942,2524673391,-80.8125,29.0,0,-80.6875
1775845427620553,2530119183,-80.75,29.125,0,-80.5
1775845430889047,2533385705,-80.6875,29.0,0,-80.5625
1775845436311502,2538825042,-80.625,29.0625,0,-80.4375
1775845440680343,2543206698,-80.9375,28.875,0,-80.6875
1775845449410149,2551933150,-81.0,28.6875,0,-81.0
1775845453776812,2556284699,-81.0625,28.6875,0,-80.9375
1775845455950975,2558468224,-81.25,28.625,0,-81.0
1775845457045386,2559567714,-81.3125,28.5625,0,-81.0
1775845469044790,2571523701,-81.375,28.5625,0,-81.0
1775845473368290,2575874703,-81.375,28.5,0,-81.0625
1775845474464347,2576960691,-81.375,28.5,0,-81.0625
1775845480990653,2583469206,-81.375,28.5,0,-80.875
1775845484253622,2586697608,-81.375,28.5,0,-80.75
1775845486385120,2588887267,-81.375,28.5,0,-80.75
1775845488553748,2591076077,-81.125,28.5625,0,-80.6875
1775845491813611,2594341236,-81.25,28.6875,0,-80.5625
1775845492961071,2595428833,-81.0625,28.75,0,-80.4375
1775845496165800,2598683586,-81.0625,28.625,0,-80.375
1775845499439115,2601969725,-81.25,28.4375,0,-80.5625
1775845500520599,2603046639,-81.1875,28.4375,0,-80.5625
1775845505989500,2608509645,-81.1875,28.5,0,-80.625
1775845510376719,2612866703,-80.9375,28.5,0,-80.4375
1775845516906210,2619407205,-81.25,28.3125,0,-80.5625
1775845520218635,2622668441,-81.125,28.3125,0,-80.4375
1775845525576654,2628095703,-81.25,28.25,0,-80.4375
1775845528837493,2631348373,-80.9375,28.375,0,-80.25
1775845532143627,2634629911,-81.0625,28.3125,0,-80.3125
1775845539811262,2642258468,-81.125,28.25,0,-80.3125
1775845544170576,2646623726,-81.1875,28.125,0,-80.1875
1775845549578993,2652059252,-81.5,28.0,0,-80.5625
1775845560379721,2662910693,-81.9375,37.0625,0,-80.8125
1775845562605680,2665085707,-81.75,38.5625,0,-80.9375
1775845576751619,2679208510,-81.75,44.9375,0,-80.625
1775845577888777,2680299703,-81.75,44.8125,0,-80.6875
1775845588742617,2691155166,-81.375,42.9375,0,-80.9375
1775845596287172,2698754192,-81.4375,40.9375,0,-81.75
1775845602878450,2705310480,-81.25,39.8125,0,-81.75
1775845604022332,2706395219,-81.5,39.4375,0,-81.9375
1775845606313767,2708576200,-81.5625,39.0625,0,-82.0625
1775845610607103,2712923065,-81.75,38.25,0,-82.3125
1775845621456221,2723835234,-81.5,37.0625,0,-81.875
1775845623574262,2726006056,-81.4375,36.8125,0,-81.875
1775845625726189,2728186876,-81.5625,36.6875,0,-82.0
1775845626834381,2729274512,-81.75,36.4375,0,-82.0
1775845633301435,2735809189,-81.5,36.125,0,-81.6875
1775845639863616,2742328636,-81.5,35.1875,0,-81.5
1775845646545135,2748865014,-81.875,34.1875,0,-81.625
1775845647619747,2749961731,-81.8125,34.0,0,-81.6875
1775845648667400,2751059703,-81.875,33.8125,0,-81.6875
1775845657234746,2759747702,-82.0625,32.6875,0,-81.875
1775845673618050,2776135242,-82.1875,31.0,0,-82.125
1775845674735901,2777236135,-82.1875,30.875,0,-82.1875
1775845682361141,2784841719,-82.0,30.3125,0,-82.1875
1775845684500919,2787028359,-82.0625,30.3125,0,-82.0625
1775845692185224,2794684706,-82.4375,29.6875,0,-82.4375
1775845693266757,2795772690,-82.1875,29.625,0,-82.375
1775845700935133,2803367431,-82.25,29.25,0,-82.5
1775845705435625,2807697186,-82.3125,28.9375,0,-82.5
1775845706552547,2808773506,-82.4375,28.9375,0,-82.625
