ts,ts.1,lox_lower_celsius,lox_upper_celsius,gn2_external_celsius,gn2_internal_celsius
1776447607965308,1056272533,-81.75,34.3125,0,30.3125
1776447612294541,1060604508,-81.5625,34.1875,0,30.25
1776447613366141,1061686428,-81.625,34.125,0,30.25
1776447617770392,1065989467,-81.75,33.9375,0,30.1875
1776447619950975,1068176466,-81.8125,33.875,0,30.1875
1776447628798751,1076825468,-81.75,33.625,0,30.25
1776447630920345,1078974357,-81.75,33.625,0,30.25
1776447638433729,1086539931,-81.875,33.375,0,30.3125
1776447644977680,1093070911,-81.625,33.1875,0,30.25
1776447650400161,1098457480,-81.75,33.1875,0,30.3125
1776447659035396,1107107481,-81.5625,33.25,0,30.5625
1776447663340786,1111434720,-81.5,33.1875,0,30.5625
1776447666582700,1114668466,-81.5,33.1875,0,30.5
1776447668743631,1116834779,-81.625,33.0625,0,30.4375
1776447671900358,1120078459,-81.6875,33.0,0,30.4375
1776447674009248,1122230491,-81.75,32.9375,0,30.375
1776447678228249,1126536835,-81.75,32.9375,0,30.3125
1776447682646091,1130873801,-81.625,32.9375,0,30.3125
1776447684833937,1133021470,-81.75,32.875,0,30.3125
1776447691291767,1139523650,-81.5625,32.9375,0,30.4375
1776447703201017,1151452248,-81.4375,33.0,0,30.625
1776447723665128,1171997661,-81.3125,33.1875,0,30.9375
1776447725842099,1174154464,-81.1875,33.6875,0,30.875
1776447738937486,1187097472,-81.5625,36.1875,0,30.75
1776447764008701,1211983467,-81.75,37.0,0,30.5625
1776447771371683,1219517463,-81.625,35.5625,0,30.625
1776447774522368,1222742956,-81.6875,36.3125,0,30.5625
1776447777865639,1226009657,-81.8125,36.6875,0,30.5625
1776447780037599,1228177463,-81.8125,36.6875,0,30.5625
1776447789587137,1237926277,-81.875,37.5625,0,30.4375
1776447791769051,1240090243,-81.75,37.5,0,30.4375
1776447809045224,1257329469,-81.75,36.8125,0,30.4375
1776447813336902,1261668266,-81.8125,36.625,0,30.4375
1776447818727958,1267067388,-81.625,36.5,0,30.5
1776447820923558,1269250878,-81.625,36.375,0,30.4375
1776447832814805,1281155513,-81.8125,35.8125,0,30.375
1776447835011139,1283315455,-81.8125,35.75,0,30.3125
1776447838230764,1286555454,-81.875,35.625,0,30.25
1776447839331374,1287642039,-81.875,35.5,0,30.25
1776447841462833,1289789470,-81.875,35.5,0,30.25
1776447842550164,1290865486,-81.6875,35.4375,0,30.3125
1776447844704494,1293027657,-81.875,35.4375,0,30.25
1776447845758912,1294093700,-81.75,35.4375,0,30.3125
1776447856603010,1304899868,-81.9375,35.125,0,30.25
1776447857660038,1305979473,-81.875,35.0625,0,30.1875
1776447863063478,1311390065,-82.0,34.9375,0,30.125
1776447865206092,1313542465,-82.1875,35.375,0,30.125
1776447869571276,1317864325,-82.0625,35.75,0,29.9375
1776447871683211,1320019592,-82.0625,35.875,0,29.9375
1776447876003298,1324332893,-82.125,36.0,0,29.875
1776447887959363,1336231378,-82.25,35.9375,0,29.8125
1776447895453295,1343790622,-82.1875,35.8125,0,29.8125
1776447899842351,1348114823,-82.3125,35.6875,0,29.75
1776447909524139,1357865464,-82.25,35.4375,0,29.75
1776447914980822,1363258324,-82.25,35.3125,0,29.6875
1776447919277085,1367608195,-82.25,35.125,0,29.625
1776447920380951,1368704950,-82.4375,35.125,0,29.625
1776447922525690,1370857738,-82.375,35.0625,0,29.625
1776447935518860,1383848461,-82.3125,34.875,0,29.5625
1776447947541000,1395749958,-82.375,34.625,0,29.5625
1776447950786392,1398995488,-82.375,34.5625,0,29.5625
1776447953001379,1401169311,-82.4375,34.5,0,29.5625
1776447958281326,1406593940,-82.375,34.4375,0,29.5625
1776447959360766,1407682468,-82.375,34.375,0,29.5625
1776447963701672,1411987405,-82.625,34.375,0,29.4375
1776447970162563,1418488637,-82.625,34.1875,0,29.375
1776447973494449,1421713469,-82.5,34.25,0,29.375
1776447977854796,1426034274,-82.625,34.125,0,29.25
1776447981127574,1429275819,-82.5625,34.0625,0,29.3125
1776447987602852,1435732383,-82.5,34.125,0,29.375
1776447999448248,1447637934,-82.375,34.0625,0,29.3125
1776448008139706,1456328014,-82.5,34.0625,0,29.25
1776448009214257,1457409991,-82.625,34.0,0,29.3125
1776448014672020,1462797949,-82.5,33.9375,0,29.25
1776448016825808,1464938638,-82.5,33.9375,0,29.3125
1776448017942701,1466018740,-82.5,33.9375,0,29.3125
1776448021217143,1469271453,-82.4375,33.9375,0,29.3125
1776448025492287,1473595487,-82.25,34.0,0,29.4375
1776448031910206,1480096944,-82.3125,34.0625,0,29.4375
1776448036213484,1484400804,-82.3125,34.0,0,29.5
1776448053520836,1501712705,-82.5,33.6875,0,29.375
1776448054601952,1502792513,-82.375,33.6875,0,29.375
1776448055683528,1503874461,-82.4375,33.6875,0,29.375
1776448064304290,1512550390,-82.375,33.625,0,29.375
1776448065339369,1513641485,-82.5,33.5625,0,29.4375
1776448068603581,1516893311,-82.3125,33.5625,0,29.375
1776448070704351,1519049482,-82.375,33.5625,0,29.375
1776448072921327,1521223775,-82.375,33.5625,0,29.375
1776448075140469,1523369994,-82.375,33.5625,0,29.375
1776448079412567,1527688415,-82.3125,33.5,0,29.375
1776448092470475,1540654458,-82.6875,33.25,0,29.0625
1776448102129565,1550364459,-82.625,33.0625,0,29.0
1776448112886462,1561185464,-82.6875,33.0,0,28.8125
1776448116258463,1564460699,-82.5625,32.9375,0,28.8125
1776448134622850,1582824480,-82.1875,33.125,0,29.0625
1776448141059165,1589295891,-82.125,33.1875,0,29.125
1776448142140278,1590394480,-82.125,33.1875,0,29.1875
1776448145281903,1593605334,-82.25,33.1875,0,29.125
1776448147517721,1595768795,-82.25,33.125,0,29.125
1776448149610899,1597936521,-82.1875,33.125,0,29.1875
1776448157214347,1605513628,-82.1875,33.0625,0,29.1875
1776448162609048,1610919613,-82.1875,33.0,0,29.25
1776448169136807,1617424581,-82.125,32.875,0,29.1875
1776448175610431,1623892610,-82.3125,32.6875,0,29.0625
1776448177718898,1626054515,-82.4375,32.625,0,28.875
1776448182128841,1630362457,-82.5625,32.375,0,28.75
1776448192869129,1641195467,-82.4375,32.375,0,28.6875
1776448195091342,1643370478,-82.375,32.375,0,28.8125
1776448205967755,1654151442,-82.375,32.0625,0,28.5
1776448208081249,1656332457,-82.3125,32.0625,0,28.5625
1776448213472511,1661731469,-82.625,31.75,0,28.1875
1776448217881005,1666085043,-82.5,31.5625,0,28.0625
1776448220024790,1668244354,-82.4375,31.625,0,28.0625
1776448224240744,1672544321,-82.375,31.5,0,27.9375
1776448230722334,1679026030,-82.4375,31.4375,0,27.875
1776448242612698,1690904487,-82.375,31.3125,0,27.625
1776448246889883,1695212469,-82.375,31.125,0,27.4375
1776448249055757,1697385477,-82.25,31.125,0,27.4375
1776448251254546,1699553468,-82.3125,31.0625,0,27.375
1776448257745513,1706032768,-82.3125,30.875,0,27.25
1776448258819246,1707123458,-82.4375,30.75,0,27.0625
1776448268639935,1716858479,-82.5,30.3125,0,26.4375
1776448273969030,1722277519,-82.6875,30.0,0,26.0625
1776448277196471,1725525967,-82.8125,29.8125,0,25.875
1776448282690140,1730916077,-82.5,29.875,0,25.75
1776448283723662,1731994712,-82.4375,29.8125,0,25.75
1776448287999376,1736290860,-82.125,29.875,0,25.75
1776448292307992,1740610934,-81.9375,29.8125,0,25.8125
1776448293368664,1741700463,-81.8125,29.875,0,25.75
1776448296623397,1744937959,-81.875,29.75,0,25.625
1776448299938963,1748179461,-81.75,29.625,0,25.5
1776448301055156,1749260826,-81.9375,29.625,0,25.4375
1776448305406271,1753584978,-81.5625,29.625,0,25.375
1776448308649432,1756821962,-81.5,29.5,0,25.25
1776448318486012,1766567455,-81.5,29.0625,0,24.75
1776448320603013,1768749924,-81.625,29.0625,0,24.6875
1776448322679973,1770917468,-81.25,29.0,0,24.6875
