ts,run,state,depress,igniter,gn2_fill,lox_fill,gn2_drain,ereg_power,press_pilot,ms_since_boot,lox_disconnect
1773427800185049,False,"""STANDBY""",False,False,False,False,False,False,False,7404576,False
1773427800283329,False,"""STANDBY""",False,False,False,False,False,False,False,7404695,False
1773427800405395,False,"""STANDBY""",False,False,False,False,False,False,False,7404787,False
1773427800610928,False,"""STANDBY""",False,False,False,False,False,False,False,7405016,False
1773427800713096,False,"""STANDBY""",False,False,False,False,False,False,False,7405106,False
1773427800818563,False,"""STANDBY""",False,False,False,False,False,False,False,7405229,False
1773427801027678,False,"""STANDBY""",False,False,False,False,False,False,False,7405431,False
1773427801133612,False,"""STANDBY""",False,False,False,False,False,False,False,7405533,False
1773427801254718,False,"""STANDBY""",False,False,False,False,False,False,False,7405639,False
1773427801359775,False,"""STANDBY""",False,False,False,False,False,False,False,7405751,False
1773427801457222,False,"""STANDBY""",False,False,False,False,False,False,False,7405867,False
1773427801563692,False,"""STANDBY""",False,False,False,False,False,False,False,7405971,False
1773427801654623,False,"""STANDBY""",False,False,False,False,False,False,False,7406056,False
1773427801964779,False,"""STANDBY""",False,False,False,False,False,False,False,7406378,False
1773427802096617,False,"""STANDBY""",False,False,False,False,False,False,False,7406494,False
1773427802202636,False,"""STANDBY""",False,False,False,False,False,False,False,7406606,False
1773427802303324,False,"""STANDBY""",False,False,False,False,False,False,False,7406705,False
1773427802409433,False,"""STANDBY""",False,False,False,False,False,False,False,7406810,False
1773427802608677,False,"""STANDBY""",False,False,False,False,False,False,False,7407025,False
1773427802757834,False,"""STANDBY""",False,False,False,False,False,False,False,7407167,False
1773427802864365,False,"""STANDBY""",False,False,False,False,False,False,False,7407281,False
1773427802979388,False,"""STANDBY""",False,False,False,False,False,False,False,7407386,False
1773427803180679,False,"""STANDBY""",False,False,False,False,False,False,False,7407579,False
1773427803355493,False,"""STANDBY""",False,False,False,False,False,False,False,7407682,False
1773427803563389,False,"""STANDBY""",False,False,False,False,False,False,False,7407974,False
1773427803660603,False,"""STANDBY""",False,False,False,False,False,False,False,7408060,False
1773427803998405,False,"""STANDBY""",False,False,False,False,False,False,False,7408403,False
1773427804101144,False,"""STANDBY""",False,False,False,False,False,False,False,7408512,False
1773427804226239,False,"""STANDBY""",False,False,False,False,False,False,False,7408604,False
1773427804392568,False,"""STANDBY""",False,False,False,False,False,False,False,7408794,False
1773427804490744,False,"""STANDBY""",False,False,False,False,False,False,False,7408889,False
1773427804583502,False,"""STANDBY""",False,False,False,False,False,False,False,7408987,False
1773427804682428,False,"""STANDBY""",False,False,False,False,False,False,False,7409097,False
1773427804844696,False,"""STANDBY""",False,False,False,False,False,False,False,7409189,False
1773427804952536,False,"""STANDBY""",False,False,False,False,False,False,False,7409356,False
1773427805052427,False,"""STANDBY""",False,False,False,False,False,False,False,7409458,False
1773427805155821,False,"""STANDBY""",False,False,False,False,False,False,False,7409553,False
1773427805260363,False,"""STANDBY""",False,False,False,False,False,False,False,7409665,False
1773427805354356,False,"""STANDBY""",False,False,False,False,False,False,False,7409760,False
1773427805490699,False,"""STANDBY""",False,False,False,False,False,False,False,7409899,False
1773427805598844,False,"""STANDBY""",False,False,False,False,False,False,False,7410007,False
1773427805711166,False,"""STANDBY""",False,False,False,False,False,False,False,7410126,False
1773427805819376,False,"""STANDBY""",False,False,False,False,False,False,False,7410221,False
1773427805955905,False,"""STANDBY""",False,False,False,False,False,False,False,7410352,False
1773427806116919,False,"""STANDBY""",False,False,False,False,False,False,False,7410524,False
1773427806227837,False,"""STANDBY""",False,False,False,False,False,False,False,7410630,False
