ts,ts.1,lox_lower_celsius,lox_upper_celsius,gn2_external_celsius,gn2_internal_celsius
1775847603423567,410857425,-82.6875,38.25,0,-82.0625
1775847613051157,420588636,-82.6875,36.5625,0,-52.1875
1775847614179552,421671403,-82.6875,35.625,0,-46.75
1775847639155104,446704345,-82.3125,10.625,0,-45.5
1775847643507163,451033354,-82.375,10.0,0,-47.25
1775847652196193,459725221,-82.3125,14.0,0,-53.125
1775847657735230,465151392,-82.5,19.75,0,-55.5
1775847666429188,473841311,-82.4375,23.625,0,-57.9375
1775847675107929,482544326,-82.5,25.375,0,-60.0
1775847684872476,492328472,-82.3125,29.875,0,-61.8125
1775847690274005,497741470,-82.25,35.25,0,-62.8125
1775847700064210,507525769,-82.3125,38.625,0,-64.4375
1775847703288400,510788409,-82.1875,39.0,0,-64.875
1775847706550003,514079407,-82.1875,39.0,0,-65.1875
1775847707633650,515161387,-82.125,39.0625,0,-65.375
1775847708770268,516244419,-82.1875,38.875,0,-65.5625
1775847712060970,519512395,-81.9375,38.8125,0,-65.875
1775847715270438,522766363,-81.875,38.75,0,-66.0625
1775847717403936,524917524,-81.875,38.625,0,-66.375
1775847718533540,526009334,-81.875,38.5625,0,-66.5625
1775847722845005,530382377,-81.875,38.1875,0,-67.0625
1775847723972298,531470749,-81.9375,38.0625,0,-67.0625
1775847729390193,536919411,-81.6875,37.625,0,-67.5
1775847731608449,539103698,-81.5,37.5,0,-67.6875
1775847732667695,540186387,-81.625,37.3125,0,-67.6875
1775847737091450,544536994,-81.625,37.0,0,-68.3125
1775847749017914,556560398,-81.9375,35.5625,0,-69.75
1775847751253044,558743050,-81.6875,35.6875,0,-69.8125
1775847752389372,559822216,-81.6875,35.75,0,-69.875
1775847756701328,564203342,-81.75,35.75,0,-69.9375
1775847758839039,566375770,-81.625,35.75,0,-70.0
1775847764277500,571805479,-81.5,35.75,0,-70.375
1775847769777068,577268407,-81.5,36.3125,0,-70.875
1775847771909730,579457920,-81.5,37.0625,0,-71.0625
1775847779549227,587081734,-81.5625,37.3125,0,-71.4375
1775847786060807,593602196,-81.625,36.875,0,-71.9375
1775847797989010,605529413,-82.25,36.25,0,-73.125
1775847800193245,607725418,-82.1875,36.375,0,-73.0625
1775847804555569,612088597,-82.3125,36.3125,0,-73.4375
1775847806722812,614260413,-82.4375,36.4375,0,-73.5625
1775847809966327,617509358,-82.1875,36.625,0,-73.6875
1775847812136421,619673717,-82.1875,36.625,0,-73.6875
1775847813227873,620775795,-82.1875,36.625,0,-73.5625
1775847814349820,621862200,-82.1875,36.625,0,-73.6875
1775847815430168,622952414,-82.1875,36.5,0,-73.6875
1775847822028824,629517738,-82.25,36.875,0,-74.0
1775847827435790,634958944,-82.4375,36.5625,0,-74.375
1775847831823212,639329597,-82.375,36.5,0,-74.4375
1775847832919207,640427588,-82.4375,36.3125,0,-74.5625
1775847839397833,646943412,-82.375,36.1875,0,-74.5
1775847848056680,655607212,-82.5625,36.0625,0,-74.9375
1775847850269179,657782316,-82.4375,35.9375,0,-75.0625
1775847856800019,664331719,-82.375,36.1875,0,-75.0
1775847864445959,671951387,-82.625,35.4375,0,-75.25
1775847878642683,686052410,-82.6875,31.125,0,-75.5
1775847881979215,689323332,-82.625,29.5,0,-75.4375
1775847883089638,690406375,-82.5625,29.1875,0,-75.4375
1775847887366595,694743232,-82.5,28.125,0,-75.4375
1775847889528347,696913396,-82.4375,27.75,0,-75.4375
1775847902453198,709984366,-82.6875,27.0,0,-75.5625
1775847931938041,739430407,-82.875,27.3125,0,-76.125
1775847933058626,740517917,-83.0,27.25,0,-76.1875
1775847935271652,742702910,-83.25,27.0625,0,-76.4375
1775847936340353,743811409,-83.25,27.125,0,-76.375
1775847937392116,744900427,-83.3125,27.0625,0,-76.4375
1775847948324997,755807321,-83.5,27.1875,0,-76.625
1775847949429423,756895407,-83.625,27.125,0,-76.75
1775847952614898,760143617,-83.5625,27.25,0,-76.6875
1775847962349260,769895627,-83.375,27.625,0,-76.1875
1775847975377440,782907288,-83.125,27.8125,0,-75.875
1775847976476952,783999870,-83.125,27.8125,0,-75.875
1775847987394240,794911897,-83.125,29.125,0,-75.75
1775847989614465,797109412,-83.0625,29.125,0,-75.75
1775847990732515,798200390,-83.125,28.9375,0,-75.75
1775848000467714,808015897,-83.0625,28.4375,0,-75.375
1775848004860728,812379121,-82.9375,28.375,0,-75.375
1775848009211018,816707395,-83.0,28.375,0,-75.25
1775848011386246,818908255,-83.0,28.5,0,-75.1875
1775848017949476,825426304,-82.8125,28.5625,0,-75.125
1775848019075225,826517941,-82.8125,28.625,0,-75.0
1775848030972634,838495379,-82.6875,28.9375,0,-74.75
1775848035342605,842828984,-82.875,28.8125,0,-74.75
1775848037448840,844996424,-82.8125,29.0,0,-74.6875
1775848048360327,855860729,-82.8125,29.0625,0,-74.6875
1775848050539510,858035935,-82.75,29.1875,0,-74.5625
1775848053788481,861301902,-82.8125,29.25,0,-74.5625
1775848059322789,866712907,-82.6875,29.375,0,-74.4375
1775848065923375,873234912,-82.8125,29.375,0,-74.4375
1775848068058257,875390914,-82.8125,29.3125,0,-74.4375
1775848073354651,880829379,-82.75,29.5,0,-74.25
1775848078919838,886262972,-82.8125,29.6875,0,-73.9375
1775848095056180,902572427,-82.4375,30.0625,0,-73.375
1775848104865621,912355211,-82.5625,30.125,0,-73.4375
1775848105952563,913444301,-82.625,30.0625,0,-73.5
1775848109208728,916728976,-82.5625,30.125,0,-73.375
1775848119004723,926506127,-82.5,30.25,0,-73.0625
1775848121142467,928679169,-82.875,30.0625,0,-73.375
1775848130932779,938470319,-83.125,29.875,0,-73.3125
1775848136468035,943924663,-82.9375,29.9375,0,-73.0
1775848145158477,952662396,-83.125,30.0,0,-72.8125
1775848149495400,957004761,-83.0625,29.9375,0,-72.9375
1775848157146840,964602581,-82.8125,30.1875,0,-72.6875
1775848158235199,965691394,-82.9375,30.25,0,-72.6875
1775848161423451,968944845,-82.6875,30.4375,0,-72.5
1775848162516786,970032525,-82.6875,30.4375,0,-72.5
1775848163635886,971123943,-82.9375,30.4375,0,-72.625
1775848165792689,973306294,-82.75,30.4375,0,-72.375
1775848177745472,985223330,-83.0,30.5,0,-72.375
1775848196171648,1003712943,-82.75,30.8125,0,-71.875
1775848203769555,1011309404,-82.9375,30.875,0,-71.8125
1775848214681407,1022201985,-82.5625,31.1875,0,-71.375
1775848217912223,1025450414,-82.75,31.0625,0,-71.5625
1775848220116659,1027631410,-82.5625,31.0625,0,-71.4375
1775848238607510,1046154254,-82.75,31.25,0,-71.25
1775848240779857,1048317398,-82.75,31.1875,0,-71.25
1775848247296610,1054837285,-83.0625,31.0,0,-71.5
1775848248394868,1055919418,-83.25,30.9375,0,-71.625
1775848257178448,1064678232,-83.125,31.0625,0,-71.4375
1775848264823812,1072332398,-82.8125,31.3125,0,-70.9375
1775848266978272,1074506668,-82.875,31.375,0,-70.875
1775848269125891,1076670367,-83.125,31.1875,0,-70.875
1775848271321177,1078858618,-83.25,31.1875,0,-70.9375
1775848281079111,1088612419,-83.3125,31.125,0,-70.9375
1775848290877649,1098408629,-83.0,31.375,0,-70.5
1775848298494655,1106025413,-82.8125,31.5625,0,-70.3125
1775848300721977,1108208661,-82.9375,31.5,0,-70.3125
1775848303997616,1111489428,-83.0625,31.4375,0,-70.375
1775848308297785,1115838328,-83.5,31.1875,0,-70.5
1775848312683058,1120188420,-83.9375,30.8125,0,-70.6875
1775848315955459,1123456618,-84.1875,30.75,0,-70.625
1775848325770691,1133292286,-84.625,30.5625,0,-70.875
1775848327980321,1135458401,-84.5625,30.5625,0,-70.8125
1775848329038338,1136554750,-84.5,30.625,0,-70.8125
1775848350760554,1158281321,-85.0625,30.375,0,-70.75
1775848356204074,1163753911,-85.3125,30.125,0,-70.875
1775848362765312,1170280874,-85.3125,30.375,0,-70.8125
1775848364901058,1172441397,-85.125,30.375,0,-70.75
1775848372596825,1180064403,-84.9375,30.5625,0,-70.5625
1775848385567467,1193056710,-84.9375,30.6875,0,-70.25
1775848388784501,1196315846,-84.9375,30.6875,0,-70.1875
1775848395363372,1202850844,-84.875,30.6875,0,-70.125
1775848398594839,1206110497,-84.875,30.6875,0,-70.1875
1775848399682268,1207199476,-84.875,30.8125,0,-69.9375
1775848402925650,1210463215,-84.75,30.875,0,-69.8125
1775848406202542,1213730411,-84.625,30.9375,0,-69.6875
1775848418132336,1225663402,-84.5,31.125,0,-69.4375
1775848419222762,1226761446,-84.5,31.125,0,-69.3125
1775848430149452,1237692406,-84.25,31.4375,0,-68.875
1775848432358307,1239871396,-84.125,31.4375,0,-68.75
1775848433446777,1240967858,-84.125,31.4375,0,-68.75
1775848437788737,1245329868,-84.125,31.4375,0,-68.75
1775848442172071,1249679337,-84.125,31.4375,0,-68.5625
1775848443253136,1250776412,-84.125,31.4375,0,-68.5625
1775848444333031,1251867411,-84.0625,31.5,0,-68.5625
1775848448739824,1256210385,-83.9375,31.5625,0,-68.4375
1775848455243369,1262773274,-83.8125,31.5625,0,-68.1875
1775848457414708,1264960792,-83.8125,31.75,0,-68.125
1775848470496938,1278021409,-83.4375,32.0625,0,-67.5
1775848483585302,1291045325,-83.25,32.1875,0,-67.0
1775848492185509,1299728340,-83.125,32.375,0,-66.5
1775848498783859,1306274857,-83.375,32.3125,0,-66.5
1775848504219734,1311710388,-83.375,32.25,0,-66.3125
