ts,run,state,depress,igniter,gn2_fill,lox_fill,gn2_drain,ereg_power,press_pilot,ms_since_boot,lox_disconnect
1775246400013054,False,"""STANDBY""",False,False,False,False,False,False,False,3537385,False
1775246400372587,False,"""STANDBY""",False,False,False,False,False,False,False,3537732,False
1775246400429164,False,"""STANDBY""",False,False,False,False,False,False,False,3537797,False
1775246400595159,False,"""STANDBY""",False,False,False,False,False,False,False,3537956,False
1775246400812184,False,"""STANDBY""",False,False,False,False,False,False,False,3538183,False
1775246400839261,False,"""STANDBY""",False,False,False,False,False,False,False,3538199,False
1775246400857371,False,"""STANDBY""",False,False,False,False,False,False,False,3538228,False
1775246401013840,False,"""STANDBY""",False,False,False,False,False,False,False,3538353,False
1775246401300141,False,"""STANDBY""",False,False,False,False,False,False,False,3538666,False
1775246402199067,False,"""STANDBY""",False,False,False,False,False,False,False,3539532,False
1775246403003046,False,"""STANDBY""",False,False,False,False,False,False,False,3540360,False
1775246403134984,False,"""STANDBY""",False,False,False,False,False,False,False,3540474,False
1775246403618181,False,"""STANDBY""",False,False,False,False,False,False,False,3540973,False
1775246404133371,False,"""STANDBY""",False,False,False,False,False,False,False,3541479,False
1775246404196413,False,"""STANDBY""",False,False,False,False,False,False,False,3541520,False
1775246404305671,False,"""STANDBY""",False,False,False,False,False,False,False,3541678,False
1775246404617199,False,"""STANDBY""",False,False,False,False,False,False,False,3541984,False
1775246404636076,False,"""STANDBY""",False,False,False,False,False,False,False,3542007,False
1775246405320794,False,"""STANDBY""",False,False,False,False,False,False,False,3542678,False
1775246406747326,False,"""STANDBY""",False,False,False,False,False,False,False,3544107,False
1775246406991665,False,"""STANDBY""",False,False,False,False,False,False,False,3544360,False
1775246407509999,False,"""STANDBY""",False,False,False,False,False,False,False,3544878,False
1775246408450519,False,"""STANDBY""",False,False,False,False,False,False,False,3545798,False
1775246408603415,False,"""STANDBY""",False,False,False,False,False,False,False,3545966,False
1775246408688766,False,"""STANDBY""",False,False,False,False,False,False,False,3546049,False
1775246408882054,False,"""STANDBY""",False,False,False,False,False,False,False,3546243,False
1775246408901398,False,"""STANDBY""",False,False,False,False,False,False,False,3546270,False
1775246409654081,False,"""STANDBY""",False,False,False,False,False,False,False,3547021,False
1775246409954011,False,"""STANDBY""",False,False,False,False,False,False,False,3547317,False
1775246410011666,False,"""STANDBY""",False,False,False,False,False,False,False,3547372,False
1775246410339912,False,"""STANDBY""",False,False,False,False,False,False,False,3547709,False
1775246410908154,False,"""STANDBY""",False,False,False,False,False,False,False,3548224,False
1775246411662213,False,"""STANDBY""",False,False,False,False,False,False,False,3549031,False
1775246411774400,False,"""STANDBY""",False,False,False,False,False,False,False,3549141,False
1775246412057239,False,"""STANDBY""",False,False,False,False,False,False,False,3549412,False
1775246412206173,False,"""STANDBY""",False,False,False,False,False,False,False,3549570,False
1775246412245778,False,"""STANDBY""",False,False,False,False,False,False,False,3549601,False
1775246412325091,False,"""STANDBY""",False,False,False,False,False,False,False,3549692,False
1775246412414008,False,"""STANDBY""",False,False,False,False,False,False,False,3549782,False
1775246413812569,False,"""STANDBY""",False,False,False,False,False,False,False,3551182,False
1775246414208244,False,"""STANDBY""",False,False,False,False,False,False,False,3551578,False
1775246415240907,False,"""STANDBY""",False,False,False,False,False,False,False,3552607,False
1775246415341963,False,"""STANDBY""",False,False,False,False,False,False,False,3552697,False
1775246415693327,False,"""STANDBY""",False,False,False,False,False,False,False,3553061,False
1775246416117990,False,"""STANDBY""",False,False,False,False,False,False,False,3553482,False
1775246416542840,False,"""STANDBY""",False,False,False,False,False,False,False,3553900,False
1775246416645450,False,"""STANDBY""",False,False,False,False,False,False,False,3554013,False
1775246416781390,False,"""STANDBY""",False,False,False,False,False,False,False,3554152,False
1775246417425119,False,"""STANDBY""",False,False,False,False,False,False,False,3554790,False
1775246417610568,False,"""STANDBY""",False,False,False,False,False,False,False,3554981,False
1775246418146175,False,"""STANDBY""",False,False,False,False,False,False,False,3555507,False
1775246419289022,False,"""STANDBY""",False,False,False,False,False,False,False,3556650,False
1775246419307100,False,"""STANDBY""",False,False,False,False,False,False,False,3556678,False
1775246420482666,False,"""STANDBY""",False,False,False,False,False,False,False,3557850,False
1775246420981335,False,"""STANDBY""",False,False,False,False,False,False,False,3558347,False
1775246421511337,False,"""STANDBY""",False,False,False,False,False,False,False,3558879,False
1775246422110196,False,"""STANDBY""",False,False,False,False,False,False,False,3559463,False
1775246422527073,False,"""STANDBY""",False,False,False,False,False,False,False,3559864,False
1775246422568569,False,"""STANDBY""",False,False,False,False,False,False,False,3559936,False
1775246423608371,False,"""STANDBY""",False,False,False,False,False,False,False,3560979,False
1775246423901170,False,"""STANDBY""",False,False,False,False,False,False,False,3561268,False
1775246424326423,False,"""STANDBY""",False,False,False,False,False,False,False,3561693,False
1775246424493526,False,"""STANDBY""",False,False,False,False,False,False,False,3561839,False
1775246424736009,False,"""STANDBY""",False,False,False,False,False,False,False,3562097,False
1775246424822971,False,"""STANDBY""",False,False,False,False,False,False,False,3562193,False
1775246424986874,False,"""STANDBY""",False,False,False,False,False,False,False,3562354,False
1775246425240054,False,"""STANDBY""",False,False,False,False,False,False,False,3562601,False
1775246425642968,False,"""STANDBY""",False,False,False,False,False,False,False,3562995,False
1775246425962051,False,"""STANDBY""",False,False,False,False,False,False,False,3563273,False
1775246426302235,False,"""STANDBY""",False,False,False,False,False,False,False,3563672,False
1775246427205153,False,"""STANDBY""",False,False,False,False,False,False,False,3564576,False
1775246427440930,False,"""STANDBY""",False,False,False,False,False,False,False,3564784,False
1775246427994329,False,"""STANDBY""",False,False,False,False,False,False,False,3565364,False
1775246428574140,False,"""STANDBY""",False,False,False,False,False,False,False,3565945,False
1775246429440277,False,"""STANDBY""",False,False,False,False,False,False,False,3566791,False
1775246429724712,False,"""STANDBY""",False,False,False,False,False,False,False,3567095,False
1775246429913220,False,"""STANDBY""",False,False,False,False,False,False,False,3567261,False
1775246431981984,False,"""STANDBY""",False,False,False,False,False,False,False,3569352,False
1775246432144494,False,"""STANDBY""",False,False,False,False,False,False,False,3569508,False
1775246432160551,False,"""STANDBY""",False,False,False,False,False,False,False,3569532,False
1775246432340482,False,"""STANDBY""",False,False,False,False,False,False,False,3569712,False
1775246432453769,False,"""STANDBY""",False,False,False,False,False,False,False,3569816,False
1775246432748043,False,"""STANDBY""",False,False,False,False,False,False,False,3570093,False
1775246432767976,False,"""STANDBY""",False,False,False,False,False,False,False,3570134,False
1775246434215646,False,"""STANDBY""",False,False,False,False,False,False,False,3571564,False
1775246435026105,False,"""STANDBY""",False,False,False,False,False,False,False,3572357,False
1775246435762324,False,"""STANDBY""",False,False,False,False,False,False,False,3573128,False
1775246435916835,False,"""STANDBY""",False,False,False,False,False,False,False,3573276,False
1775246436251025,False,"""STANDBY""",False,False,False,False,False,False,False,3573617,False
1775246436635811,False,"""STANDBY""",False,False,False,False,False,False,False,3573994,False
1775246436871546,False,"""STANDBY""",False,False,False,False,False,False,False,3574241,False
1775246436897364,False,"""STANDBY""",False,False,False,False,False,False,False,3574262,False
