ts,ts.1,board_temp,cap_fill_base,cap_fill_actual
1775848800021551,3086539190,21,100,118.8630599975586
1775848800047595,3086569190,22,100,118.8630599975586
1775848800089705,3086599188,22,100,118.8630599975586
1775848800119801,3086629189,21,100,118.8630599975586
1775848800143471,3086659174,21,100,118.8630599975586
1775848800179573,3086689191,22,100,118.8630599975586
1775848800233504,3086719186,21,100,118.8630599975586
1775848800253934,3086749189,21,100,118.8630599975586
1775848800288743,3086779189,21,100,118.8630599975586
1775848800309597,3086809189,21,100,118.8630599975586
1775848800337174,3086839189,22,100,118.8630599975586
1775848800382407,3086869183,22,100,118.8630599975586
1775848800407487,3086899190,22,100,118.8630599975586
1775848800434038,3086929159,21,100,118.8630599975586
1775848800457914,3086959224,22,100,118.8630599975586
1775848800481997,3086989188,21,100,118.8630599975586
1775848800525565,3087018194,22,100,118.8630599975586
1775848800551046,3087048175,21,100,118.8630599975586
1775848800583333,3087078187,22,100,118.8630599975586
1775848800609235,3087108189,21,100,118.8630599975586
1775848800634593,3087138189,21,100,118.8630599975586
1775848800661835,3087168189,21,100,118.8630599975586
1775848800685639,3087198189,21,100,118.8630599975586
1775848800710426,3087228189,21,100,118.8630599975586
1775848800738337,3087258162,21,100,118.8630599975586
1775848800789932,3087288190,21,100,118.8630599975586
1775848800813384,3087318185,22,100,118.8630599975586
1775848800841936,3087348191,21,100,118.8630599975586
1775848800865113,3087378167,22,100,118.8630599975586
1775848800891120,3087408187,21,100,118.8630599975586
1775848800941817,3087438190,21,100,118.8630599975586
1775848800972033,3087468179,21,100,118.8630599975586
1775848800997270,3087498189,21,100,118.8630599975586
1775848801020661,3087528189,21,100,118.8630599975586
1775848801046891,3087558190,22,100,118.8630599975586
1775848801085330,3087588174,21,100,118.8630599975586
1775848801108952,3087618190,21,100,118.8630599975586
1775848801138108,3087648190,22,100,118.8630599975586
1775848801161387,3087678190,21,100,118.8630599975586
1775848801206168,3087708190,22,100,118.8630599975586
1775848801231601,3087738190,21,100,118.8630599975586
1775848801253706,3087768190,22,100,118.8630599975586
1775848801281572,3087798190,21,100,118.8630599975586
1775848801321261,3087828190,21,100,118.8630599975586
1775848804764214,3091277189,21,100,118.8630599975586
1775848804788924,3091307189,21,100,118.8630599975586
1775848804815704,3091337190,21,100,118.8630599975586
1775848804851539,3091367174,21,100,118.8630599975586
1775848804875921,3091397190,21,100,118.8630599975586
1775848804919901,3091427190,21,100,118.8630599975586
1775848804948810,3091457190,21,100,118.8630599975586
1775848804978362,3091487190,21,100,118.8630599975586
1775848805001683,3091517190,21,100,118.8630599975586
1775848805050614,3091547190,21,100,118.8630599975586
1775848805069976,3091577190,21,100,118.8630599975586
1775848805093730,3091607190,21,100,118.8630599975586
1775848805119983,3091637189,21,100,118.8630599975586
1775848805147229,3091667189,21,100,118.8630599975586
1775848805183734,3091697174,21,100,118.8630599975586
1775848805210372,3091727191,21,100,118.8630599975586
1775848805255444,3091757186,21,100,118.8630599975586
1775848805282246,3091787189,21,100,118.8630599975586
1775848805310071,3091817217,21,100,118.8630599975586
1775848805337615,3091847189,21,100,118.8630599975586
1775848805362630,3091877189,21,100,118.8630599975586
1775848805393861,3091907183,21,100,118.8630599975586
1775848805417282,3091937190,21,100,118.8630599975586
1775848805447519,3091967196,21,100,118.8630599975586
1775848805503033,3091997198,21,100,118.8630599975586
1775848805525259,3092027190,21,100,118.8630599975586
1775848805553502,3092057197,21,100,118.8630599975586
1775848805573538,3092087167,21,100,118.8630599975586
1775848805597814,3092117187,21,100,118.8630599975586
1775848805632978,3092147189,21,100,118.8630599975586
1775848805658762,3092177189,21,100,118.8630599975586
1775848805686711,3092207189,21,100,118.8630599975586
1775848805735208,3092237189,21,100,118.8630599975586
1775848805755793,3092267189,21,100,118.8630599975586
1775848805779266,3092297162,21,100,118.8630599975586
1775848805814558,3092327190,21,100,118.8630599975586
1775848805855236,3092357185,21,100,118.8630599975586
1775848805879173,3092387190,21,100,118.8630599975586
1775848805905192,3092417167,21,100,118.8630599975586
1775848805927079,3092447188,21,100,118.8630599975586
1775848805971352,3092477190,21,100,118.8630599975586
1775848805996131,3092507179,21,100,118.8630599975586
1775848806021486,3092537189,21,100,118.8630599975586
1775848806048003,3092567189,21,100,118.8630599975586
1775848806076957,3092597190,21,100,118.8630599975586
1775848806114517,3092627174,21,100,118.8630599975586
1775848806169203,3092657190,21,100,118.8630599975586
1775848806204242,3092688245,21,100,118.8630599975586
1775848806254466,3092746035,21,100,118.8630599975586
1775848806292653,3092777190,21,100,118.8630599975586
1775848810385910,3096882189,21,100,118.8630599975586
1775848810413552,3096912189,21,100,118.8630599975586
1775848810438781,3096942183,21,100,118.8630599975586
1775848810486063,3096972226,21,100,118.8630599975586
1775848810507468,3097002165,21,100,118.8630599975586
1775848810530987,3097032196,21,100,118.8630599975586
1775848810559948,3097062190,21,100,118.8630599975586
1775848810590480,3097092190,21,100,118.8630599975586
1775848810623868,3097122166,21,100,118.8630599975586
1775848810646301,3097152187,21,100,118.8630599975586
1775848810671367,3097182189,21,100,118.8630599975586
1775848810693421,3097212189,21,100,118.8630599975586
1775848810718637,3097242217,21,100,118.8630599975586
1775848810776201,3097272189,21,100,118.8630599975586
1775848810806226,3097302189,21,100,118.8630599975586
1775848810829180,3097332162,21,100,118.8630599975586
1775848810851686,3097362190,21,100,118.8630599975586
1775848810875452,3097392185,21,100,118.8630599975586
1775848810912247,3097422191,21,100,118.8630599975586
1775848810938611,3097452167,21,100,118.8630599975586
1775848810965223,3097482188,21,100,118.8630599975586
1775848811000513,3097512190,21,100,118.8630599975586
1775848811025505,3097542179,21,100,118.8630599975586
1775848811063128,3097572189,21,100,118.8630599975586
1775848811089539,3097602189,21,100,118.8630599975586
1775848811117436,3097632190,21,100,118.8630599975586
1775848811143336,3097662174,21,100,118.8630599975586
1775848811180537,3097692190,21,100,118.8630599975586
1775848811205132,3097722190,21,100,118.8630599975586
1775848812779016,3099279191,21,100,118.8630599975586
1775848812828058,3099309187,21,100,118.8630599975586
1775848812843211,3099339189,21,100,118.8630599975586
1775848812872898,3099369189,21,100,118.8630599975586
1775848812894256,3099399189,21,100,118.8630599975586
1775848812915399,3099429189,21,100,118.8630599975586
1775848812957235,3099459182,21,100,118.8630599975586
1775848812981876,3099489190,21,100,118.8630599975586
1775848813002676,3099519158,21,100,118.8630599975586
1775848813034638,3099549189,21,100,118.8630599975586
1775848813060916,3099579181,21,100,118.8630599975586
1775848813096956,3099609190,21,100,118.8630599975586
1775848813130979,3099639167,21,100,118.8630599975586
1775848813162814,3099669187,21,100,118.8630599975586
