ts,run,state,depress,igniter,gn2_fill,lox_fill,gn2_drain,ereg_power,press_pilot,ms_since_boot,lox_disconnect
1773426600026606,False,"""CUSTOM""",False,False,False,False,False,False,False,6204439,False
1773426600133034,False,"""CUSTOM""",False,False,False,False,False,False,False,6204547,False
1773426600239480,False,"""CUSTOM""",False,False,False,False,False,False,False,6204660,False
1773426600341645,False,"""CUSTOM""",False,False,False,False,False,False,False,6204760,False
1773426600444372,False,"""CUSTOM""",False,False,False,False,False,False,False,6204860,False
1773426600611188,False,"""CUSTOM""",False,False,False,False,False,False,False,6205036,False
1773426600716130,False,"""CUSTOM""",False,False,False,False,False,False,False,6205134,False
1773426600821823,False,"""CUSTOM""",False,False,False,False,False,False,False,6205237,False
1773426600933333,False,"""CUSTOM""",False,False,False,False,False,False,False,6205341,False
1773426601030985,False,"""CUSTOM""",False,False,False,False,False,False,False,6205453,False
1773426601123321,False,"""CUSTOM""",False,False,False,False,False,False,False,6205535,False
1773426601222024,False,"""CUSTOM""",False,False,False,False,False,False,False,6205631,False
1773426601343912,False,"""CUSTOM""",False,False,False,False,False,False,False,6205746,False
1773426601445073,False,"""CUSTOM""",False,False,False,False,False,False,False,6205859,False
1773426601561290,False,"""CUSTOM""",False,False,False,False,False,False,False,6205964,False
1773426601668058,False,"""CUSTOM""",False,False,False,False,False,False,False,6206077,False
1773426601817817,False,"""CUSTOM""",False,False,False,False,False,False,False,6206223,False
1773426601913308,False,"""CUSTOM""",False,False,False,False,False,False,False,6206338,False
1773426602120767,False,"""CUSTOM""",False,False,False,False,False,False,False,6206530,False
1773426602254833,False,"""CUSTOM""",False,False,False,False,False,False,False,6206675,False
1773426602377791,False,"""CUSTOM""",False,False,False,False,False,False,False,6206785,False
1773426602489823,False,"""CUSTOM""",False,False,False,False,False,False,False,6206908,False
1773426602588370,False,"""CUSTOM""",False,False,False,False,False,False,False,6207002,False
1773426602715006,False,"""CUSTOM""",False,False,False,False,False,False,False,6207127,False
1773426602813605,False,"""CUSTOM""",False,False,False,False,False,False,False,6207233,False
1773426602917014,False,"""CUSTOM""",False,False,False,False,False,False,False,6207327,False
1773426603040050,False,"""CUSTOM""",False,False,False,False,False,False,False,6207437,False
1773426603246259,False,"""CUSTOM""",False,False,False,False,False,False,False,6207669,False
1773426603341604,False,"""CUSTOM""",False,False,False,False,False,False,False,6207752,False
1773426603466358,False,"""CUSTOM""",False,False,False,False,False,False,False,6207884,False
1773426603789091,False,"""CUSTOM""",False,False,False,False,False,False,False,6208212,False
1773426603894301,False,"""CUSTOM""",False,False,False,False,False,False,False,6208306,False
1773426603984928,False,"""CUSTOM""",False,False,False,False,False,False,False,6208402,False
1773426604179160,False,"""CUSTOM""",False,False,False,False,False,False,False,6208606,False
1773426604282084,False,"""CUSTOM""",False,False,False,False,False,False,False,6208703,False
1773426604383164,False,"""CUSTOM""",False,False,False,False,False,False,False,6208803,False
1773426604489796,False,"""CUSTOM""",False,False,False,False,False,False,False,6208907,False
1773426604583584,False,"""CUSTOM""",False,False,False,False,False,False,False,6209003,False
1773426604771582,False,"""CUSTOM""",False,False,False,False,False,False,False,6209192,False
1773426604879759,False,"""CUSTOM""",False,False,False,False,False,False,False,6209296,False
1773426605085805,False,"""CUSTOM""",False,False,False,False,False,False,False,6209497,False
1773426605202667,False,"""CUSTOM""",False,False,False,False,False,False,False,6209622,False
1773426605308414,False,"""CUSTOM""",False,False,False,False,False,False,False,6209730,False
1773426605518892,False,"""CUSTOM""",False,False,False,False,False,False,False,6209935,False
1773426605640890,False,"""CUSTOM""",False,False,False,False,False,False,False,6210057,False
1773426605733933,False,"""CUSTOM""",False,False,False,False,False,False,False,6210157,False
1773426605834675,False,"""CUSTOM""",False,False,False,False,False,False,False,6210250,False
1773426605927842,False,"""CUSTOM""",False,False,False,False,False,False,False,6210349,False
1773426606166305,False,"""CUSTOM""",False,False,False,False,False,False,False,6210571,False
1773426606264536,False,"""CUSTOM""",False,False,False,False,False,False,False,6210676,False
1773426606363015,False,"""CUSTOM""",False,False,False,False,False,False,False,6210791,False
1773426606898171,False,"""CUSTOM""",False,False,False,False,False,False,False,6211318,False
1773426606991703,False,"""CUSTOM""",False,False,False,False,False,False,False,6211407,False
