ts,data
1775848800001922,29.8582
1775848800005911,29.8571
1775848800009946,29.8282
1775848800013973,29.8282
1775848800017939,29.8106
1775848800021961,29.818
1775848800028039,29.8049
1775848800031886,29.7959
1775848800035928,29.8044
1775848800040923,29.8259
1775848800043911,29.8219
1775848800047928,29.8072
1775848800052020,29.7987
1775848800055958,29.835
1775848800059924,29.8407
1775848800064134,29.8424
1775848800067944,29.8588
1775848800071938,29.8962
1775848800075982,29.9189
1775848800079930,29.9337
1775848800083939,29.9365
1775848800087929,29.9785
1775848800092023,29.9909
1775848800095899,29.9977
1775848800099964,29.9943
1775848800104065,30.0045
1775848800107935,30.0578
1775848800111940,30.0646
1775848800116261,30.0567
1775848800119893,30.059
1775848800123972,30.1043
1775848800127932,30.1253
1775848800131898,30.1208
1775848800135916,30.1106
1775848800139941,30.131
1775848800143878,30.131
1775848800147886,30.0958
1775848800151884,30.0975
1775848800155883,30.1196
1775848800159896,30.1083
1775848800163982,30.0527
1775848800167916,30.0646
1775848800171950,30.0924
1775848800177794,30.0522
1775848800181999,30.0323
1775848800185979,30.0442
1775848800191360,30.0726
1775848800193878,30.0539
1775848800197860,30.0
1775848800201896,30.0068
1775848800205884,30.0363
1775848800209879,30.0068
1775848800213883,30.0079
1775848800217887,29.9569
1775848800221909,29.9909
1775848800225898,29.9921
1775848800229853,30.0011
1775848800233922,29.9932
1775848800237931,30.0164
1775848800241889,30.0091
1775848800245906,30.0284
1775848800249903,30.0272
1775848800253852,30.0079
1775848800257846,30.0335
1775848800261903,30.0601
1775848800265891,30.0488
1775848800269865,30.0533
1775848800273903,30.0794
1775848800277906,30.0607
1775848800281885,30.0635
1775848804742316,29.9665
1775848804746440,29.9688
1775848804749073,29.9688
1775848804753160,29.983
1775848804757137,29.9881
1775848804761204,29.9915
1775848804765132,30.0119
1775848804769197,30.0023
1775848804773236,30.0108
1775848804777049,29.9966
1775848804781121,30.0244
1775848804785034,30.0454
1775848804789226,30.0386
1775848804793049,30.0204
1775848804797076,30.0176
1775848804801071,30.0686
1775848804805039,30.0754
1775848804809068,30.0669
1775848804813037,30.0533
1775848804817185,30.0873
1775848804821325,30.0766
1775848804825056,30.0618
1775848804829033,30.072
1775848804833114,30.0947
1775848804837362,30.0902
1775848804841024,30.076
1775848804845046,30.0709
1775848804849225,30.0981
1775848804854094,30.0879
1775848804857061,30.0777
1775848804861164,30.059
1775848804865026,30.0862
1775848804869015,30.0743
1775848804873003,30.0573
1775848804877062,30.0284
1775848804880988,30.0329
1775848804885059,30.0227
1775848804889122,30.0113
1775848804893036,29.9779
1775848804897028,29.9665
1775848804901908,29.9716
1775848804905088,29.9518
1775848804909017,29.9263
1775848804913045,29.9359
1775848804917000,29.9416
1775848804921110,29.8951
1775848804924993,29.8758
1775848804929166,29.852
1775848804933227,29.8713
1775848804937014,29.8605
1775848804941574,29.8373
1775848804945098,29.827
1775848804949249,29.848
1775848804953047,29.8497
1775848804957135,29.8463
1775848804962266,29.8395
1775848804965044,29.8679
1775848804969049,29.8475
1775848804972992,29.8554
1775848804977010,29.8458
1775848804981007,29.8991
1775848804985069,29.903
1775848804989015,29.9081
1775848804993055,29.8894
1775848804997040,29.8968
1775848805000984,29.9138
1775848805005009,29.928
1775848805009076,29.9393
1775848805013862,29.9558
1775848805017139,29.9994
1775848805021571,29.9972
1775848805024974,29.9977
