ts,ts.1,lox_lower_celsius,lox_upper_celsius,gn2_external_celsius,gn2_internal_celsius
1775844001344504,1103868387,26.9375,34.1875,0,27.25
1775844003510932,1106045041,27.0,34.25,0,27.3125
1775844006805761,1109317768,26.9375,34.25,0,27.125
1775844008943233,1111480589,26.8125,34.3125,0,27.1875
1775844011175907,1113665607,26.5625,34.1875,0,27.0
1775844013282636,1115823906,26.375,34.1875,0,26.8125
1775844019828365,1122356886,25.0625,34.1875,0,26.0625
1775844025315886,1127856526,23.1875,34.1875,0,25.0625
1775844027505981,1130035515,22.375,34.1875,0,24.5
1775844037282516,1139811674,16.4375,34.0625,0,20.8125
1775844044963259,1147491641,1.625,34.1875,0,7.75
1775844049377578,1151881418,-7.375,34.3125,0,-1.5625
1775844052657618,1155194699,-13.0625,34.1875,0,-7.5
1775844054897515,1157406707,-18.4375,34.125,0,-14.625
1775844058144294,1160683031,-26.25,34.3125,0,-24.625
1775844060339520,1162879936,-30.875,34.25,0,-30.8125
1775844062560960,1165083122,-33.4375,34.25,0,-32.9375
1775844063652110,1166189683,-34.1875,34.1875,0,-33.8125
1775844064759897,1167298143,-35.8125,34.125,0,-36.0
1775844071449843,1173989637,-47.8125,33.9375,0,-50.375
1775844073665580,1176204689,-50.5,33.875,0,-54.0625
1775844074783410,1177310694,-52.0625,33.875,0,-55.1875
1775844080239991,1182783690,-55.3125,33.75,0,-58.25
1775844081397144,1183876689,-56.3125,33.75,0,-59.4375
1775844083543574,1186060705,-58.875,33.75,0,-62.25
1775844092271778,1194815219,-66.125,33.5,0,-69.8125
1775844095539691,1198063285,-67.5,33.375,0,-71.1875
1775844097720190,1200243696,-68.4375,33.5,0,-72.0
1775844103139688,1205665701,-70.1875,35.375,0,-73.5625
1775844109677898,1212209640,-73.1875,40.3125,0,-80.0
1775844116196421,1218736325,-80.1875,41.375,0,-80.4375
1775844117280762,1219818734,-80.125,41.375,0,-80.4375
1775844124916545,1227419505,-80.5,40.375,0,-80.5625
1775844125954318,1228493723,-80.5,40.25,0,-80.5
1775844132508006,1235040701,-80.75,39.5,0,-80.6875
1775844135776804,1238305500,-80.6875,39.0625,0,-80.75
1775844137947458,1240488191,-80.6875,38.75,0,-80.8125
1775844139049240,1241584696,-80.75,38.6875,0,-80.75
1775844147742491,1250272234,-80.8125,38.0,0,-81.0625
1775844148857951,1251368263,-80.9375,37.8125,0,-81.125
1775844152139682,1254653696,-81.0625,37.375,0,-81.1875
1775844156459487,1258979984,-81.0625,37.125,0,-81.0625
1775844158621528,1261159094,-81.125,37.125,0,-81.125
1775844167384022,1269908787,-81.25,36.5,0,-81.25
1775844169543879,1272087583,-81.25,36.5,0,-81.375
1775844174992716,1277518907,-81.5625,35.9375,0,-81.75
1775844184797003,1287319114,-81.25,35.6875,0,-81.4375
1775844195673421,1298187268,-81.0,35.5625,0,-81.0
1775844197892543,1300337699,-81.0625,35.5,0,-81.0625
1775844202176140,1304697703,-81.0,35.5625,0,-81.125
1775844213078559,1315613701,-81.125,36.1875,0,-81.25
1775844220739357,1323242154,-81.1875,42.125,0,-81.5625
1775844237047108,1339586606,-81.1875,42.375,0,-81.8125
1775844238149046,1340682693,-81.25,42.3125,0,-81.625
1775844241433992,1343962005,-80.9375,41.75,0,-81.625
1775844242521204,1345055683,-81.125,41.6875,0,-81.5
1775844245803628,1348329701,-80.8125,41.25,0,-81.375
1775844246918806,1349424892,-80.9375,41.0625,0,-81.25
1775844254554005,1357056707,-80.875,40.125,0,-81.25
1775844259967683,1362499019,-80.625,39.625,0,-81.125
1775844263237376,1365754058,-80.5,39.3125,0,-80.9375
1775844265421825,1367931695,-80.4375,39.125,0,-80.9375
1775844268698387,1371184228,-80.5625,38.8125,0,-80.9375
1775844275190529,1377712138,-80.3125,38.4375,0,-80.6875
1775844277373908,1379880710,-80.3125,38.3125,0,-80.8125
1775844285038523,1387485981,-80.5,37.75,0,-80.6875
1775844286044070,1388576966,-80.6875,37.625,0,-80.8125
1775844303506826,1405992302,-80.5625,36.4375,0,-81.125
1775844310009720,1412525492,-80.6875,36.0,0,-81.5
1775844315445941,1417986620,-81.125,35.625,0,-81.625
1775844316560606,1419080765,-81.25,35.625,0,-81.625
1775844320934213,1423427690,-81.625,35.3125,0,-81.625
1775844322073827,1424523339,-81.8125,35.25,0,-81.75
1775844326534925,1428887714,-82.0,35.0625,0,-81.6875
1775844327552960,1429965696,-81.8125,35.0625,0,-81.6875
1775844340470039,1443011207,-83.125,34.5,0,-82.1875
1775844343771718,1446280632,-83.3125,34.375,0,-82.125
1775844352547652,1455010693,-83.5625,34.125,0,-82.5625
1775844354708445,1457195042,-83.375,34.1875,0,-82.5
1775844359066608,1461577154,-83.125,34.1875,0,-82.4375
1775844361238974,1463751722,-83.25,34.1875,0,-82.4375
1775844362316383,1464844699,-83.25,34.1875,0,-82.3125
1775844363458998,1465943704,-83.0625,34.1875,0,-82.3125
1775844367754965,1470286046,-83.0,34.0625,0,-82.3125
1775844371108902,1473551591,-83.125,34.0,0,-82.375
1775844372194845,1474650214,-83.1875,34.0625,0,-82.4375
1775844373265434,1475726181,-83.125,34.0,0,-82.5
1775844376573493,1478975722,-82.9375,34.1875,0,-82.3125
1775844380987258,1483329904,-82.8125,34.3125,0,-82.125
1775844384174878,1486617211,-82.875,34.125,0,-82.125
1775844385225016,1487704683,-82.8125,34.125,0,-82.1875
1775844389533788,1492057085,-82.8125,34.1875,0,-81.9375
1775844393861535,1496389705,-82.5625,34.25,0,-81.6875
1775844400437054,1502926567,-82.625,34.375,0,-81.5
1775844402559622,1505097846,-82.6875,34.375,0,-81.5
1775844412362099,1514883515,-83.3125,41.625,0,-82.0625
1775844413511152,1515993276,-83.3125,42.25,0,-82.125
