ts,ts.1,board_temp,cap_fill_base,cap_fill_actual
1775839200009528,2076438759,13,100,118.297248840332
1775839200036875,2076468780,13,100,118.297248840332
1775839200062456,2076498782,13,100,118.297248840332
1775839200090913,2076528771,14,100,118.297248840332
1775839200134376,2076558781,13,100,118.297248840332
1775839200154596,2076588782,13,100,118.297248840332
1775839200200787,2076618782,14,100,118.297248840332
1775839200219486,2076648766,13,100,118.297248840332
1775839200242276,2076678782,14,100,118.297248840332
1775839200271402,2076708783,13,100,118.297248840332
1775839200296104,2076738783,14,100,118.297248840332
1775839200349813,2076768782,14,100,118.297248840332
1775839200401220,2076798782,13,100,118.297248840332
1775839200441813,2076828782,14,100,118.297248840332
1775839200479642,2076858782,13,100,118.297248840332
1775839200507765,2076888819,14,100,118.297248840332
1775839200560124,2076918786,13,100,118.297248840332
1775839200582898,2076947785,14,100,118.297248840332
1775839200606900,2076977775,13,100,118.297248840332
1775839200635854,2077007783,14,100,118.297248840332
1775839200677655,2077037779,14,100,118.297248840332
1775839200702977,2077067782,14,100,118.297248840332
1775839200730140,2077097782,14,100,118.297248840332
1775839200758340,2077127782,14,100,118.297248840332
1775839200780698,2077157782,14,100,118.297248840332
1775839200824908,2077187775,13,100,118.297248840332
1775839200853685,2077217782,14,100,118.297248840332
1775839200881771,2077247752,13,100,118.297248840332
1775839200908559,2077277781,13,100,118.297248840332
1775839200929890,2077307773,13,100,118.297248840332
1775839200971322,2077337782,14,100,118.297248840332
1775839200993242,2077367759,14,100,118.297248840332
1775839201017979,2077397779,14,100,118.297248840332
1775839201042120,2077427782,13,100,118.297248840332
1775839201065990,2077457781,14,100,118.297248840332
1775839201096216,2077487782,14,100,118.297248840332
1775839201121008,2077517782,14,100,118.297248840332
1775839201145363,2077547782,14,100,118.297248840332
1775839201171481,2077577754,14,100,118.297248840332
1775839201197674,2077607782,13,100,118.297248840332
1775839201235698,2077637778,14,100,118.297248840332
1775839201256994,2077667783,14,100,118.297248840332
1775839201274993,2077697760,14,100,118.297248840332
