ts,ts.1,lox_lower_celsius,lox_upper_celsius,gn2_external_celsius,gn2_internal_celsius
1776450000890848,3449152751,-44.8125,31.1875,0,30.5625
1776450004200183,3452405359,-45.0,30.0,0,30.6875
1776450007333940,3455634944,-44.375,28.375,0,30.5625
1776450018361207,3466448973,-44.25,24.75,0,30.75
1776450025769467,3474016507,-44.125,25.4375,0,30.9375
1776450026887527,3475088949,-43.4375,26.125,0,30.9375
1776450029138153,3477240471,-43.3125,26.5,0,31.0
1776450032353885,3480470376,-43.375,26.375,0,31.125
1776450036694295,3484788478,-43.5,25.5,0,31.0625
1776450038813091,3486937923,-43.4375,25.125,0,31.0625
1776450046305149,3494517031,-42.8125,24.5,0,31.125
1776450049557662,3497747252,-42.375,24.4375,0,31.25
1776450051752158,3499896114,-42.125,24.625,0,31.3125
1776450052843806,3500980743,-42.5625,24.5,0,31.3125
1776450055027217,3503134446,-42.5625,24.5625,0,31.3125
1776450056097226,3504203140,-41.875,24.5625,0,31.3125
1776450064651806,3512844955,-41.5,24.75,0,31.5625
1776450068877688,3517166499,-41.4375,24.625,0,31.5
1776450075372302,3523686016,-41.8125,24.5,0,31.5625
1776450077539087,3525848465,-41.0625,24.6875,0,31.625
1776450080797488,3529103466,-41.3125,24.75,0,31.5625
1776450082985943,3531287236,-41.375,24.75,0,31.625
1776450086197375,3534511860,-40.875,24.8125,0,31.625
1776450098108377,3546408466,-40.6875,24.625,0,31.625
1776450105755651,3554025467,-40.5,24.8125,0,31.625
1776450107960156,3556195104,-40.25,24.8125,0,31.5625
1776450112241082,3560526112,-39.75,24.625,0,31.5
1776450113299076,3561605468,-40.5,24.75,0,31.5
1776450114400421,3562700568,-39.875,24.75,0,31.5
1776450118752288,3567035473,-40.1875,24.75,0,31.5
1776450127491262,3575717437,-39.25,24.875,0,31.5
1776450130686196,3578981473,-38.9375,24.8125,0,31.4375
1776450137147073,3585442975,-39.0,24.9375,0,31.375
1776450138241179,3586520463,-38.5625,25.0625,0,31.4375
1776450141471960,3589762030,-38.25,25.125,0,31.5
1776450152249081,3600559941,-37.8125,25.25,0,31.4375
1776450157689750,3605967419,-37.5625,25.375,0,31.5625
1776450159859042,3608144764,-37.5,25.4375,0,31.5
1776450169613188,3617859993,-37.75,25.625,0,31.5
1776450172906022,3621107461,-37.375,25.625,0,31.5625
1776450176185612,3624348844,-37.0625,25.75,0,31.5625
1776450180374805,3628644200,-36.75,25.75,0,31.5625
1776450181463999,3629729581,-37.1875,25.75,0,31.625
1776450197716362,3646004951,-35.875,26.0,0,31.8125
1776450206334388,3654611414,-35.6875,26.125,0,31.875
1776450215071695,3663270552,-35.3125,26.3125,0,32.0
1776450234436510,3682747463,-34.25,26.625,0,32.1875
1776450237721423,3685980825,-34.625,26.625,0,32.25
1776450238848722,3687070473,-34.375,26.75,0,32.375
1776450244263675,3692467392,-34.0625,26.9375,0,32.4375
1776450246399655,3694624368,-34.0625,26.9375,0,32.5625
1776450251767445,3700030889,-33.8125,27.125,0,32.625
1776450254030176,3702206971,-34.1875,27.125,0,32.625
1776450257199685,3705457791,-33.75,27.0625,0,32.5625
1776450263668389,3711965448,-33.3125,27.125,0,32.5625
1776450266934413,3715203871,-33.0625,27.0625,0,32.625
1776450270244767,3718453410,-33.625,27.0,0,32.5625
1776450280113219,3728153289,-32.5625,27.0625,0,32.4375
1776450282255042,3730298988,-32.8125,27.125,0,32.5
1776450283362894,3731371887,-32.5,27.1875,0,32.5625
1776450291866878,3740025491,-32.75,27.25,0,32.4375
1776450305867216,3754095459,-32.25,27.3125,0,32.5
1776450306921980,3755173262,-31.5625,27.3125,0,32.5
1776450308034826,3756260449,-31.375,27.375,0,32.5625
1776450318922909,3767046934,-31.3125,27.5625,0,32.5625
1776450323260191,3771342454,-30.9375,27.5625,0,32.625
1776450324414946,3772421934,-31.625,27.6875,0,32.5625
1776450325501220,3773492896,-31.125,27.6875,0,32.5625
1776450344798692,3792974718,-30.3125,28.0,0,32.625
1776450349028857,3797302477,-30.0,28.0625,0,32.6875
1776450353327075,3801622642,-30.3125,28.0625,0,32.625
1776450354406133,3802709479,-30.0625,28.125,0,32.6875
1776450357658143,3805943469,-29.875,28.1875,0,32.75
1776450358735221,3807025465,-29.8125,28.0625,0,32.75
1776450364147595,3812426464,-29.625,28.3125,0,32.875
1776450365243314,3813502353,-29.375,28.25,0,32.875
1776450372754055,3821045955,-29.5625,28.5,0,33.0
1776450382512950,3830764749,-28.875,28.75,0,33.125
1776450394405839,3842612341,-28.8125,28.875,0,33.4375
1776450398640007,3846934936,-28.0,29.0625,0,33.5
1776450399734772,3848020607,-27.6875,29.0625,0,33.5
1776450401893108,3850184760,-27.875,29.0625,0,33.5625
1776450413822449,3862134921,-27.375,29.4375,0,33.75
1776450414916395,3863212451,-27.125,29.3125,0,33.75
1776450418186529,3866481477,-26.875,29.4375,0,33.875
1776450421465845,3869719206,-27.1875,29.4375,0,33.9375
1776450422534478,3870795759,-27.0,29.5,0,33.875
1776450430044735,3878350956,-26.875,29.75,0,34.125
1776450432199586,3880505477,-26.25,29.625,0,34.125
