ts,data
1773431400001501,-13.7413
1773431400004551,-13.2612
1773431400008834,-12.6672
1773431400013036,-12.8664
1773431400016828,-13.5245
1773431400020619,-13.703
1773431400024750,-13.1187
1773431400030117,-12.8372
1773431400034018,-13.4833
1773431400037603,-13.6464
1773431400040617,-12.5024
1773431400047058,-12.733
1773431400051293,-13.3837
1773431400054764,-12.9482
1773431400058576,-12.3845
1773431400062603,-13.2698
1773431400069295,-13.477
1773431400072550,-12.9339
1773431400076617,-12.4177
1773431400081957,-13.3436
1773431400086411,-13.5376
1773431400091544,-12.9454
1773431400095347,-12.4052
1773431400099949,-13.3076
1773431400102599,-13.525
1773431400106657,-13.0031
1773431400110592,-12.5225
1773431400114614,-12.8046
1773431400118604,-13.7196
1773431400123347,-12.5946
1773431400128568,-12.8475
1773431400134103,-13.5439
1773431400140325,-13.2767
1773431400144568,-12.8378
1773431400148552,-13.8529
1773431400152549,-14.0612
1773431400156841,-13.489
1773431400160657,-12.9848
1773431400164559,-13.2401
1773431400170289,-14.1677
1773431400175490,-13.1731
1773431400178789,-13.4421
1773431400183010,-14.1345
1773431400187674,-14.3428
1773431400191432,-13.7671
1773431400194549,-13.5691
1773431400198569,-14.2461
1773431400204002,-14.4343
1773431400206541,-13.8489
1773431400210740,-13.3494
1773431400214898,-13.6372
1773431400219503,-14.5928
1773431400222559,-14.0446
1773431400228205,-13.5325
1773431400232013,-13.7705
1773431400234580,-14.3708
1773431400238801,-13.9788
1773431400242847,-13.4684
1773431400247644,-13.6961
1773431400250948,-14.3136
1773431400254837,-14.4732
1773431400260614,-13.3991
1773431400265167,-13.6893
1773431400269597,-14.5511
1773431400273880,-13.9433
1773431400278546,-13.6103
1773431400282568,-14.2484
1773431400286528,-14.4338
1773431400290526,-13.2853
1773431400294518,-13.2853
1773431400299657,-14.1888
1773431400303276,-14.3405
1773431400306559,-13.7242
1773431400311147,-13.1319
1773431400315142,-13.3185
1773431400319390,-14.0818
1773431400322578,-13.4815
1773431400326659,-12.9322
1773431400330534,-13.1634
1773431400335165,-13.7705
1773431400338566,-13.2864
1773431400343013,-12.7519
1773431400346553,-13.0346
1773431400350536,-13.6996
1773431400354550,-13.8821
1773431400358623,-12.7651
1773431400362559,-12.9928
1773431400366563,-13.6235
1773431400370527,-13.7894
1773431400374556,-13.232
