ts,ts.1,lox_lower_celsius,lox_upper_celsius,gn2_external_celsius,gn2_internal_celsius
1776446403872285,4147137773,-28.8125,28.875,0,24.25
1776446406052494,4149307172,-28.0,28.875,0,24.3125
1776446408183256,4151474257,-27.25,28.9375,0,24.3125
1776446412522601,4155813756,-26.9375,28.9375,0,24.375
1776446414652947,4157972268,-26.625,29.0,0,24.4375
1776446415750665,4159069762,-25.9375,29.0625,0,24.5625
1776446420151303,4163406054,-25.4375,29.0625,0,24.5625
1776446428751826,4172064755,-23.5625,29.125,0,24.875
1776446436340279,4179650303,-47.6875,29.125,0,25.0
1776446438518363,4181816688,-52.5625,29.125,0,25.0625
1776446439593451,4182894691,-53.25,29.125,0,25.125
1776446442987925,4186177425,-56.125,29.125,0,25.1875
1776446463602295,4206701626,-64.5,28.5625,0,25.0625
1776446466718372,4209942579,-63.25,28.5625,0,25.125
1776446470037324,4213181023,-62.8125,28.5,0,25.0625
1776446471084387,4214261216,-63.625,28.5,0,25.0
1776446472196529,4215345762,-62.5,28.5,0,25.0625
1776446480807372,4224004245,-61.6875,28.6875,0,25.3125
1776446485021158,4228333042,-61.8125,28.6875,0,25.375
1776446488249247,4231568132,-61.125,28.625,0,25.375
1776446493701965,4236978831,-61.0625,28.6875,0,25.5
1776446503398030,4246658023,-75.25,28.6875,0,25.6875
1776446506624100,4249899689,-76.5625,28.5625,0,25.6875
1776446511045090,4254242702,-77.1875,28.75,0,25.75
1776446515291174,4258564760,-77.6875,28.625,0,25.875
1776446524960018,4268279123,-77.625,28.625,0,26.0
1776446527167337,4270436224,-78.0,28.5625,0,26.0625
1776446528205524,4271514754,-76.9375,28.625,0,26.125
1776446530351576,4273672388,-77.375,28.625,0,26.125
1776446534738352,4277985326,-76.6875,28.6875,0,26.25
1776446537916276,4281215244,-76.6875,28.625,0,26.25
1776446557416428,5685762,-77.625,28.375,0,26.3125
1776446559512791,7839677,-77.0625,28.3125,0,26.3125
1776446562759922,11106766,-77.3125,28.4375,0,26.375
1776446565979944,14321458,-77.875,28.4375,0,26.4375
1776446586661888,34836861,-78.375,28.5625,0,26.8125
1776446599539657,47775922,-78.0,28.4375,0,26.8125
1776446601743356,49938002,-78.875,28.5,0,26.9375
1776446631901319,80233475,-78.875,28.5,0,27.1875
1776446636215059,84528971,-78.6875,28.5625,0,27.25
1776446638359425,86686650,-78.6875,28.4375,0,27.1875
1776446642661064,90996403,-79.1875,28.4375,0,27.1875
1776446654519458,102856796,-78.75,28.5625,0,27.4375
1776446659872797,108211484,-78.9375,28.5625,0,27.5
1776446666470839,114755270,-79.5625,28.5625,0,27.5
1776446670727159,119043459,-79.0625,28.5625,0,27.5625
1776446672904624,121221458,-79.0625,28.5625,0,27.5625
1776446677266590,125568775,-79.0625,28.5625,0,27.625
1776446678335145,126659341,-79.6875,28.5625,0,27.6875
1776446680475329,128810340,-79.125,28.625,0,27.6875
1776446681569829,129896476,-79.3125,28.625,0,27.75
1776446682660134,130995472,-79.0,28.5625,0,27.6875
1776446683738492,132074458,-79.5625,28.5625,0,27.6875
1776446684821925,133173398,-79.0625,28.5625,0,27.6875
1776446688096024,136417945,-79.3125,28.625,0,27.8125
1776446690226831,138576277,-78.9375,28.625,0,27.8125
1776446701093247,149401772,-79.375,28.6875,0,28.0625
1776446704305206,152646474,-79.0,28.6875,0,28.0
1776446705401946,153734762,-78.5,28.6875,0,28.0
1776446706487458,154821772,-79.125,28.6875,0,28.125
1776446720557839,168839465,-78.25,28.6875,0,28.25
1776446730198662,178540920,-78.6875,28.625,0,28.375
1776446737905885,186136470,-79.125,28.6875,0,28.4375
1776446741148883,189382421,-80.0,28.75,0,28.4375
1776446744331435,192633811,-79.875,28.6875,0,28.4375
1776446748632752,196965469,-79.75,28.75,0,28.4375
1776446750829665,199134945,-79.75,28.625,0,28.375
1776446751900076,200215478,-80.125,28.5625,0,28.375
1776446754070990,202378043,-80.0,28.6875,0,28.4375
1776446757327914,205623506,-79.75,28.5625,0,28.5
1776446758425287,206727322,-79.75,28.5,0,28.5
1776446760588364,208897863,-79.0625,28.625,0,28.4375
1776446762739959,211046521,-79.3125,28.75,0,28.5
1776446772514416,220824279,-79.625,28.625,0,28.5
1776446774691551,222988014,-79.5,28.5625,0,28.4375
1776446777958947,226240989,-79.625,28.5,0,28.5
1776446782245786,230561335,-79.5625,28.4375,0,28.375
1776446783345927,231650340,-79.75,28.5,0,28.4375
1776446798592426,246780694,-79.625,28.4375,0,28.5
1776446822513278,270480481,-80.5,28.375,0,28.5625
1776446833036526,281266803,-80.75,28.25,0,28.5625
1776446834109141,282348098,-80.9375,28.125,0,28.5625
1776446838415203,286663476,-80.6875,28.25,0,28.6875
1776446840554712,288840478,-80.9375,28.25,0,28.625
1776446847026468,295323831,-81.125,28.25,0,28.6875
1776446848079060,296416006,-81.0625,28.25,0,28.6875
1776446849175734,297507482,-80.9375,28.1875,0,28.6875
1776446858920733,307243408,-81.0625,28.3125,0,28.75
1776446860000378,308316487,-81.1875,28.1875,0,28.6875
1776446862217852,310481478,-81.1875,28.1875,0,28.6875
1776446868705552,316964478,-81.375,28.1875,0,28.875
1776446876325065,324531475,-81.375,28.25,0,28.875
1776446877384731,325617969,-81.3125,28.1875,0,28.9375
1776446884915269,333226195,-81.3125,28.1875,0,28.8125
1776446890359577,338627248,-81.375,28.125,0,28.8125
1776446894721479,342939999,-81.3125,28.0625,0,28.875
1776446895780186,344022466,-81.375,27.9375,0,28.8125
1776446905496607,353734461,-81.6875,27.6875,0,28.625
1776446910911868,359136958,-81.875,27.625,0,28.4375
1776446912012816,360221467,-81.8125,27.625,0,28.4375
1776446918527991,366715462,-81.9375,27.625,0,28.375
1776446928302238,376419744,-81.9375,27.5,0,28.3125
1776446929422374,377500369,-82.125,27.5,0,28.375
1776446937895142,386125198,-82.1875,27.3125,0,28.4375
1776446943169045,391518634,-82.1875,27.375,0,28.375
1776446948633210,396900731,-82.1875,27.375,0,28.375
1776446952901378,401219457,-82.25,27.25,0,28.375
1776446961483001,409811457,-82.25,27.25,0,28.375
1776446963670985,411978482,-82.3125,27.125,0,28.3125
1776446968999487,417346451,-82.4375,27.125,0,28.3125
1776446985374791,433640946,-82.6875,26.875,0,28.0
1776446989662774,438000934,-82.6875,26.75,0,27.875
1776446995162604,443400485,-82.75,26.9375,0,27.75
1776446997252006,445583937,-82.8125,27.4375,0,27.5625
1776447001598179,449921544,-82.8125,27.8125,0,27.5625
1776447009194901,457539500,-82.9375,27.9375,0,27.4375
1776447013550296,461863031,-82.875,28.1875,0,27.5
1776447016764029,465077951,-82.9375,28.125,0,27.5
1776447028668488,476982478,-82.8125,28.0625,0,27.4375
1776447029717937,478053959,-82.6875,28.125,0,27.375
1776447033089807,481288644,-82.8125,28.0,0,27.3125
1776447035267573,483449958,-82.6875,27.9375,0,27.3125
1776447040824935,488859466,-82.25,27.8125,0,27.3125
1776447047259549,495290749,-82.125,27.75,0,27.25
1776447048343002,496371393,-82.3125,27.75,0,27.25
1776447049407412,497436382,-82.3125,27.6875,0,27.1875
1776447054771094,502832760,-82.875,27.625,0,27.1875
1776447059144988,507130405,-82.8125,27.625,0,27.1875
1776447061264511,509294877,-83.0625,27.5625,0,27.1875
1776447062322908,510374950,-82.9375,27.5625,0,27.1875
1776447064501993,512501465,-82.9375,27.5,0,27.1875
1776447067743613,515749895,-82.9375,27.5,0,27.1875
1776447075271623,523267397,-82.875,27.4375,0,27.1875
1776447084967846,532984402,-83.0,27.375,0,27.25
1776447090250549,538385993,-83.0625,27.375,0,27.25
1776447091337479,539473446,-82.9375,27.375,0,27.25
1776447095633807,543791461,-83.0,27.25,0,27.375
1776447098974776,547023039,-82.9375,27.3125,0,27.3125
1776447103312118,551333622,-83.0625,27.25,0,27.4375
1776447107609412,555640458,-83.0,27.25,0,27.4375
1776447114036332,562126579,-82.9375,27.25,0,27.5625
1776447122647255,570784019,-82.75,27.25,0,27.75
1776447129006779,577291465,-82.6875,27.25,0,27.875
1776447132249463,580548959,-82.75,27.3125,0,27.9375
1776447133373651,581632468,-82.75,27.25,0,27.875
1776447141990012,590327726,-82.75,27.1875,0,28.0
1776447144173567,592498745,-82.75,27.1875,0,28.0
1776447146338183,594649015,-82.875,27.125,0,27.9375
1776447155030905,603253463,-82.75,27.25,0,28.0625
1776447170248467,618424993,-82.6875,27.125,0,28.3125
1776447176749582,624886974,-82.75,27.25,0,28.375
1776447184305544,632441453,-82.8125,27.1875,0,28.4375
1776447185375264,633530466,-82.875,27.1875,0,28.4375
1776447186462665,634619509,-82.8125,27.25,0,28.375
1776447188607486,636784486,-82.8125,27.25,0,28.5625
1776447212248145,660547686,-82.6875,27.3125,0,28.9375
1776447213281477,661631795,-82.625,27.3125,0,28.875
1776447215441776,663772491,-82.625,27.3125,0,28.9375
1776447223081948,671315793,-82.5625,27.375,0,29.0625
1776447228544210,676708026,-82.375,27.375,0,29.1875
1776447230761591,678881507,-82.4375,27.3125,0,29.1875
1776447239447888,687486021,-82.375,27.375,0,29.3125
1776447240569440,688565455,-82.5,27.3125,0,29.375
1776447245977731,693984696,-82.3125,27.3125,0,29.375
1776447248174133,696156961,-82.375,27.3125,0,29.4375
1776447254623057,702621484,-82.3125,27.3125,0,29.5625
1776447255694759,703704763,-82.4375,27.25,0,29.5625
1776447259950186,708030478,-82.4375,27.25,0,29.5625
1776447263123440,711293761,-82.4375,27.25,0,29.5
1776447270732822,718878440,-82.375,27.1875,0,29.5625
1776447273897974,722138786,-82.4375,27.1875,0,29.5625
1776447281546761,729692259,-82.4375,27.1875,0,29.5625
1776447282613352,730764994,-82.5,27.125,0,29.5625
1776447288149951,736165465,-82.4375,27.0,0,29.5
1776447294551752,742620470,-82.625,26.9375,0,29.3125
1776447299918864,748033985,-82.625,26.875,0,29.375
1776447315036873,763169792,-82.8125,26.625,0,29.1875
1776447316172278,764248633,-82.8125,26.6875,0,29.125
1776447318316173,766406740,-82.625,26.75,0,29.125
1776447319378115,767486068,-82.75,26.75,0,29.1875
1776447322670685,770726486,-82.5625,26.75,0,29.1875
1776447324835502,772882638,-82.6875,26.6875,0,29.125
1776447329162608,777208840,-82.625,26.75,0,29.1875
1776447336777878,784802971,-82.5625,26.75,0,29.1875
1776447338943323,786975998,-82.4375,26.75,0,29.25
1776447345352857,793448536,-82.4375,26.75,0,29.25
1776447361372183,809661597,-82.4375,26.75,0,29.25
1776447362468779,810762382,-82.375,26.75,0,29.25
1776447372160795,820477476,-82.3125,26.8125,0,29.3125
1776447376471651,824804470,-82.3125,26.8125,0,29.3125
1776447385187703,833475470,-82.5,26.6875,0,29.25
1776447388406245,836738726,-82.375,26.6875,0,29.3125
1776447390587914,838915939,-82.25,26.6875,0,29.25
1776447395004887,843211935,-82.125,26.6875,0,29.25
1776447406747236,855096350,-81.75,29.625,0,29.4375
1776447416478550,864824415,-81.5625,30.0,0,29.5625
1776447424075550,872406940,-81.6875,32.4375,0,29.75
1776447426225356,874562736,-81.75,34.6875,0,29.75
1776447427319920,875640512,-81.6875,35.8125,0,29.8125
1776447433812140,882138454,-81.8125,38.625,0,29.875
1776447440315192,888633456,-81.75,38.625,0,30.0
1776447446843163,895135497,-81.75,38.0,0,30.0625
1776447449004602,897290713,-81.625,37.75,0,30.0625
1776447450110116,898379970,-81.6875,37.625,0,30.1875
1776447458713764,907035687,-81.75,36.5,0,30.1875
1776447461944405,910262686,-81.75,35.8125,0,30.25
1776447475963909,924273925,-81.75,38.0625,0,30.4375
1776447516024444,964354584,-81.625,37.625,0,30.5625
1776447518216121,966512727,-81.75,37.5625,0,30.5625
1776447520398205,968681840,-81.75,37.3125,0,30.5625
1776447522561688,970866809,-81.6875,37.125,0,30.5
1776447525765537,974104888,-81.8125,36.8125,0,30.5625
1776447539867724,988154313,-82.0,35.6875,0,30.25
1776447549608987,997908367,-81.75,35.75,0,30.25
1776447551770467,1000077470,-81.75,36.5625,0,30.25
1776447553926722,1002246774,-81.6875,36.875,0,30.1875
1776447558262186,1006568484,-81.75,36.125,0,30.3125
1776447570300179,1018451648,-81.375,36.25,0,30.5
