ts,run,state,depress,igniter,gn2_fill,lox_fill,gn2_drain,ereg_power,press_pilot,ms_since_boot,lox_disconnect
1774638000679492,False,"""STANDBY""",False,False,False,False,False,False,False,4254837,False
1774638000914370,False,"""STANDBY""",False,False,False,False,False,False,False,4255067,False
1774638002632989,False,"""STANDBY""",False,False,False,False,False,False,False,4256776,False
1774638002672728,False,"""STANDBY""",False,False,False,False,False,False,False,4256808,False
1774638003791108,False,"""STANDBY""",False,False,False,False,False,False,False,4257906,False
1774638004016784,False,"""STANDBY""",False,False,False,False,False,False,False,4258154,False
1774638006587919,False,"""STANDBY""",False,False,False,False,False,False,False,4260739,False
1774638007632150,False,"""STANDBY""",False,False,False,False,False,False,False,4261778,False
1774638008228308,False,"""STANDBY""",False,False,False,False,False,False,False,4262347,False
1774638011350710,False,"""STANDBY""",False,False,False,False,False,False,False,4265492,False
1774638011546714,False,"""STANDBY""",False,False,False,False,False,False,False,4265666,False
1774638011695800,False,"""STANDBY""",False,False,False,False,False,False,False,4265835,False
1774638012151084,False,"""STANDBY""",False,False,False,False,False,False,False,4266269,False
1774638012706124,False,"""STANDBY""",False,False,False,False,False,False,False,4266859,False
1774638012918313,False,"""STANDBY""",False,False,False,False,False,False,False,4267069,False
1774638013209963,False,"""STANDBY""",False,False,False,False,False,False,False,4267306,False
1774638013906761,False,"""STANDBY""",False,False,False,False,False,False,False,4268057,False
1774638014287080,False,"""STANDBY""",False,False,False,False,False,False,False,4268417,False
1774638015162429,False,"""STANDBY""",False,False,False,False,False,False,False,4269317,False
1774638017282021,False,"""STANDBY""",False,False,False,False,False,False,False,4271436,False
1774638017483151,False,"""STANDBY""",False,False,False,False,False,False,False,4271633,False
1774638017564278,False,"""STANDBY""",False,False,False,False,False,False,False,4271700,False
1774638017714135,False,"""STANDBY""",False,False,False,False,False,False,False,4271851,False
1774638018145960,False,"""STANDBY""",False,False,False,False,False,False,False,4272294,False
1774638021114501,False,"""STANDBY""",False,False,False,False,False,False,False,4275271,False
1774638021501751,False,"""STANDBY""",False,False,False,False,False,False,False,4275644,False
1774638021918601,False,"""STANDBY""",False,False,False,False,False,False,False,4276065,False
1774638022293596,False,"""STANDBY""",False,False,False,False,False,False,False,4276424,False
1774638022720835,False,"""STANDBY""",False,False,False,False,False,False,False,4276859,False
1774638022989280,False,"""STANDBY""",False,False,False,False,False,False,False,4277121,False
1774638024233243,False,"""STANDBY""",False,False,False,False,False,False,False,4278373,False
1774638024385110,False,"""STANDBY""",False,False,False,False,False,False,False,4278520,False
1774638024508809,False,"""STANDBY""",False,False,False,False,False,False,False,4278638,False
1774638027147889,False,"""STANDBY""",False,False,False,False,False,False,False,4281300,False
1774638027357037,False,"""STANDBY""",False,False,False,False,False,False,False,4281508,False
1774638028684941,False,"""STANDBY""",False,False,False,False,False,False,False,4282844,False
1774638028981878,False,"""STANDBY""",False,False,False,False,False,False,False,4283135,False
1774638029468480,False,"""STANDBY""",False,False,False,False,False,False,False,4283626,False
1774638029786732,False,"""STANDBY""",False,False,False,False,False,False,False,4283901,False
1774638031782356,False,"""STANDBY""",False,False,False,False,False,False,False,4285927,False
1774638032043881,False,"""STANDBY""",False,False,False,False,False,False,False,4286183,False
1774638032303160,False,"""STANDBY""",False,False,False,False,False,False,False,4286433,False
1774638032349806,False,"""STANDBY""",False,False,False,False,False,False,False,4286507,False
1774638032414696,False,"""STANDBY""",False,False,False,False,False,False,False,4286527,False
1774638032612811,False,"""STANDBY""",False,False,False,False,False,False,False,4286772,False
1774638034768688,False,"""STANDBY""",False,False,False,False,False,False,False,4288926,False
1774638035141786,False,"""STANDBY""",False,False,False,False,False,False,False,4289297,False
1774638035328208,False,"""STANDBY""",False,False,False,False,False,False,False,4289472,False
1774638036413588,False,"""STANDBY""",False,False,False,False,False,False,False,4290462,False
1774638037874363,False,"""STANDBY""",False,False,False,False,False,False,False,4291944,False
1774638038008953,False,"""STANDBY""",False,False,False,False,False,False,False,4292162,False
1774638038485061,False,"""STANDBY""",False,False,False,False,False,False,False,4292640,False
1774638038989655,False,"""STANDBY""",False,False,False,False,False,False,False,4293097,False
1774638039277921,False,"""STANDBY""",False,False,False,False,False,False,False,4293435,False
1774638040317055,False,"""STANDBY""",False,False,False,False,False,False,False,4294454,False
1774638041724834,False,"""STANDBY""",False,False,False,False,False,False,False,4295843,False
1774638042765876,False,"""STANDBY""",False,False,False,False,False,False,False,4296912,False
1774638043381516,False,"""STANDBY""",False,False,False,False,False,False,False,4297522,False
1774638043455617,False,"""STANDBY""",False,False,False,False,False,False,False,4297602,False
1774638044503407,False,"""STANDBY""",False,False,False,False,False,False,False,4298652,False
1774638044864710,False,"""STANDBY""",False,False,False,False,False,False,False,4298999,False
1774638045003242,False,"""STANDBY""",False,False,False,False,False,False,False,4299125,False
1774638045922089,False,"""STANDBY""",False,False,False,False,False,False,False,4300064,False
1774638046134040,False,"""STANDBY""",False,False,False,False,False,False,False,4300285,False
1774638046245656,False,"""STANDBY""",False,False,False,False,False,False,False,4300385,False
1774638047243983,False,"""STANDBY""",False,False,False,False,False,False,False,4301397,False
1774638048360340,False,"""STANDBY""",False,False,False,False,False,False,False,4302497,False
1774638048730159,False,"""STANDBY""",False,False,False,False,False,False,False,4302876,False
1774638049557923,False,"""STANDBY""",False,False,False,False,False,False,False,4303657,False
