ts,data
1775842592143340,1.40372
1775842592147427,1.48441
1775842592151364,1.60057
1775842592155394,1.73562
1775842592159415,1.802
1775842592163373,1.84664
1775842592167363,1.92618
1775842592171569,1.95193
1775842592175373,1.93476
1775842592179325,1.92389
1775842592183314,1.92446
1775842592187450,1.89986
1775842592191344,1.84092
1775842592195384,1.74306
1775842592199330,1.7299
1775842592203337,1.6784
1775842592207324,1.61144
1775842592211457,1.54449
1775842592215348,1.45236
1775842592219305,1.402
1775842592223301,1.32761
1775842592227321,1.25436
1775842592231303,1.18569
1775842592235292,1.07468
1775842592239276,0.994564
1775842592243299,0.911016
1775842592247279,0.85093
1775842592251275,0.793133
1775842592255273,0.644921
1775842592259283,0.584835
1775842592263773,0.542489
1775842592267340,0.528755
1775842592271430,0.484692
1775842592275320,0.454363
1775842592279350,0.432618
1775842592283370,0.468097
1775842592287315,0.493276
1775842592291350,0.495565
1775842592295314,0.595136
1775842592299347,0.663805
1775842592303359,0.706724
1775842592311069,0.81774
1775842592315328,1.00544
1775842592319346,1.07926
1775842592323319,1.13476
1775842592331144,1.27096
1775842592335337,1.44607
1775842592340088,1.49928
1775842592343298,1.53019
1775842592347292,1.58684
1775842592351294,1.67554
1775842592355366,1.73448
1775842592359612,1.7299
1775842592363727,1.75451
1775842592367350,1.8186
1775842592373645,1.82146
1775842592377830,1.80486
1775842592381380,1.81173
1775842592385317,1.85408
1775842592389295,1.85064
1775842592393884,1.81631
1775842592397570,1.80143
1775842592402327,1.7196
1775842592408699,1.67382
1775842592412576,1.58226
1775842592416277,1.45579
1775842592419348,1.33562
1775842592423491,1.24292
1775842592427519,1.13133
1775842592431375,1.06381
1775842592436202,0.965951
1775842592441122,0.906438
1775842592446868,0.620887
1775842592450173,0.618598
1775842592453604,0.648927
1775842592457449,0.723319
1775842592461303,0.666094
1775842592465313,0.465808
1775842592470008,0.454363
1775842592473315,0.530472
1775842592477291,0.572246
1775842592481353,0.573391
1775842592485292,0.513305
1775842592489710,0.59113
1775842592493286,0.686123
1775842592497662,0.74907
1775842592501400,0.759371
1775842592505598,0.804578
1775842592509324,0.90701
1775842592513329,1.00658
1775842592517329,1.07983
1775842592522259,1.07697
1775842592525927,1.17654
1775842592529285,1.25379
1775842592533350,1.34649
1775842592537409,1.36309
1775842592541478,1.41288
1775842592545360,1.5319
1775842592549301,1.61888
1775842592553312,1.64807
1775842592557900,1.70587
1775842592561274,1.79971
1775842592565274,1.87697
1775842592569255,1.85522
1775842592573526,1.83577
1775842592577324,1.79227
1775842592581343,1.802
1775842592585336,1.74936
1775842592589612,1.67954
1775842592593307,1.59027
1775842592597523,1.5485
1775842592601581,1.51702
1775842592605300,1.37511
1775842592609262,1.24921
1775842592614086,1.1834
1775842592618064,1.17253
1775842592621378,1.09585
1775842592626488,0.974535
1775842592630367,0.9402
1775842592633345,0.913305
1775842592637479,0.837196
1775842592641288,0.806295
1775842592645300,0.699857
1775842592649314,0.611731
1775842592655230,0.587697
1775842592659232,0.53505
1775842592663331,0.560801
1775842592667391,0.58598
1775842592671965,0.548784
1775842592675299,0.586552
1775842592679257,0.648355
1775842592683285,0.695279
1775842592687243,0.680401
1775842592691799,0.722747
1775842592695244,0.826323
1775842592699688,0.919599
1775842592703255,0.939628
1775842592707495,0.997997
1775842592711273,1.03462
1775842592715252,1.24177
1775842592719250,1.30186
1775842592723267,1.38255
1775842592727249,1.41917
1775842592731394,1.52504
1775842592735261,1.68011
1775842592741476,1.75565
1775842592745349,1.83119
1775842592752617,1.86781
1775842592755273,1.8804
1775842592759257,1.83805
1775842592763296,1.81803
1775842592767272,1.82318
1775842592772657,1.7814
1775842592775519,1.69614
1775842592779234,1.67554
1775842592783265,1.64349
1775842592787307,1.5731
1775842592791274,1.52961
1775842592795254,1.45351
1775842592799275,1.42203
1775842592803854,1.33391
1775842592807331,1.19199
1775842592813457,1.14793
1775842592818242,1.07754
1775842592821300,0.971674
1775842592825262,0.808011
