ts,ts.1,lox_lower_celsius,lox_upper_celsius,gn2_external_celsius,gn2_internal_celsius
1775841606905900,1612701929,13.25,31.375,0,18.375
1775841613732215,1619532076,13.25,31.3125,0,18.3125
1775841626292459,1632084093,13.25,31.3125,0,18.4375
1775841637730220,1643528104,13.375,31.375,0,18.4375
1775841638885813,1644677019,13.5,31.375,0,18.5
1775841653722298,1659513007,13.6875,31.4375,0,18.5
1775841665077960,1670889015,13.75,31.375,0,18.5625
1775841672998461,1678777924,13.75,31.375,0,18.5625
1775841674126244,1679925216,13.8125,31.3125,0,18.5
1775841681911538,1687719031,13.75,31.3125,0,18.5625
1775841685267946,1691061221,13.8125,31.3125,0,18.625
1775841688610998,1694410115,13.9375,31.3125,0,18.5625
1775841689730235,1695532096,13.8125,31.3125,0,18.5
1775841698761797,1704546336,13.875,31.25,0,18.5
1775841707611106,1713405997,13.9375,31.3125,0,18.5
1775841708713301,1714505103,13.875,31.125,0,18.4375
1775841709824091,1715622094,13.75,31.1875,0,18.3125
1775841710949450,1716751916,13.75,31.0625,0,18.375
1775841713166597,1718974621,13.625,31.0,0,18.25
1775841715414910,1721205914,13.6875,30.9375,0,18.25
1775841719788400,1725580450,13.75,30.9375,0,18.25
1775841723114874,1728907106,13.75,31.0,0,18.25
1775841724250185,1730045125,13.75,31.0,0,18.1875
1775841725374107,1731180282,13.875,31.0625,0,18.375
1775841734406953,1740214496,14.125,31.25,0,18.5625
1775841736715628,1742514170,14.1875,31.25,0,18.625
1775841742384983,1748175921,14.1875,31.125,0,18.5
1775841743569624,1749301636,14.1875,31.125,0,18.625
1775841747969820,1753762902,14.3125,31.1875,0,18.5625
1775841749057416,1754862567,14.25,31.1875,0,18.5625
1775841752478093,1758257513,14.375,31.25,0,18.6875
1775841753585100,1759379101,14.3125,31.25,0,18.5625
1775841759238789,1765028208,14.5625,31.4375,0,18.875
1775841772680289,1778471606,14.3125,31.0625,0,18.5625
1775841786111025,1791887081,14.3125,30.875,0,18.4375
1775841791721055,1797530735,14.25,30.6875,0,18.4375
1775841792880194,1798666100,14.3125,30.6875,0,18.5625
1775841794031939,1799797717,14.4375,30.75,0,18.625
1775841795129010,1800907111,14.5,30.875,0,18.6875
1775841806230750,1812033131,14.375,30.625,0,18.625
1775841810784823,1816559203,14.4375,30.6875,0,18.5625
1775841815203551,1821005076,14.625,30.9375,0,18.6875
1775841819705714,1825488126,14.5625,30.8125,0,18.6875
1775841826485216,1832282269,14.625,30.6875,0,18.625
1775841836600784,1842398111,14.875,31.0,0,18.9375
1775841838831760,1844618885,15.0,31.25,0,19.0
1775841844294657,1850097116,15.0625,31.25,0,18.875
1775841846653670,1852370097,15.0,31.1875,0,19.0
1775841873380400,1879161284,15.125,31.0625,0,19.0625
