ts,data
1775840800633344,-3.01049
1775840800636622,-3.01049
1775840800640859,-2.99631
1775840800646605,-2.98951
1775840800650557,-3.00369
1775840800655582,-3.00085
1775840800658716,-2.981
1775840800662783,-2.97306
1775840800666542,-2.97533
1775840800670505,-2.97987
1775840800674579,-2.96853
1775840800678673,-2.95605
1775840800682822,-2.95038
1775840800687181,-2.9725
1775840800691121,-2.94982
1775840800694749,-2.96513
1775840800698882,-2.97306
1775840800702735,-2.97136
1775840800706636,-3.00028
1775840800710581,-2.97987
1775840800714621,-3.00652
1775840800719247,-3.02467
1775840800723148,-3.01049
1775840800727054,-3.00085
1775840800730619,-3.0275
1775840800734704,-3.03941
1775840800738578,-3.04395
1775840800742651,-3.03544
1775840800746714,-3.04848
1775840800750561,-3.07117
1775840800754579,-3.07513
1775840800759117,-3.06776
1775840800762971,-3.074
1775840800766552,-3.09271
1775840800770551,-3.10746
1775840800774580,-3.08931
1775840800778541,-3.09612
1775840800783047,-3.10632
1775840800786532,-3.10179
1775840800790544,-3.074
1775840800794587,-3.08477
1775840800798533,-3.09895
1775840800802696,-3.09668
1775840800806780,-3.08648
1775840800810571,-3.06493
1775840800814492,-3.06606
1775840800818548,-3.06549
1775840800822750,-3.06549
1775840800826567,-3.0689
1775840800830687,-3.04451
1775840800834789,-3.04508
1775840800839204,-3.04395
1775840800842758,-3.0241
1775840800846780,-2.99858
1775840800850547,-3.00822
1775840800854589,-3.00425
1775840800858539,-2.98157
1775840800862541,-2.99858
1775840800866582,-2.99178
1775840800870698,-2.98441
1775840800874622,-2.95605
1775840800878552,-2.95492
1775840800882547,-2.96626
1775840800887339,-2.98781
1775840800890698,-2.95265
1775840800894521,-2.9776
1775840800898537,-2.98044
1775840800902589,-2.98554
1775840800908284,-2.96229
1775840800913567,-2.98611
1775840800916501,-2.99858
1775840800920555,-3.01503
1775840800924667,-2.99234
1775840800928498,-3.00595
1775840800932515,-3.01389
1775840800936519,-3.03544
1775840800940498,-3.02467
1775840800944851,-3.04678
1775840800948542,-3.05585
1775840800952529,-3.07967
1775840800956819,-3.06323
1775840800960765,-3.05189
1775840800964509,-3.05415
1775840800968503,-3.0706
1775840800973025,-3.06606
1775840800976533,-3.07513
1775840800980526,-3.07797
1775840800984486,-3.09158
1775840800988548,-3.08591
1775840800992521,-3.07627
1775840800996515,-3.08648
1775840801000672,-3.0774
1775840801004744,-3.06946
1775840801009149,-3.06209
1775840801012744,-3.06379
1775840801016524,-3.07627
1775840801020972,-3.05756
1775840801024528,-3.03261
1775840801028509,-3.03998
1775840801032723,-3.03657
1775840801036806,-3.05018
1775840801040714,-3.02183
1775840801044542,-3.03544
1775840801048561,-3.0275
1775840801053088,-3.03941
1775840801056657,-3.01389
1775840801060510,-3.03034
1775840801065128,-3.02126
1775840801068737,-3.03034
1775840801073556,-3.02523
1775840801076608,-3.02126
1775840801080992,-3.0173
1775840801084641,-3.03034
1775840801088507,-3.02353
1775840801092728,-3.01389
1775840801096950,-3.02807
1775840801100505,-3.05018
1775840801105158,-3.04735
1775840801108658,-3.03657
