ts,data
1776450000001697,366.771
1776450000005695,366.009
1776450000009862,366.374
1776450000013662,366.784
1776450000017635,366.892
1776450000021811,366.357
1776450000025790,366.471
1776450000029709,366.902
1776450000033887,366.968
1776450000037675,366.423
1776450000041813,366.204
1776450000045752,367.012
1776450000049919,367.086
1776450000053693,366.528
1776450000057764,366.287
1776450000061835,366.639
1776450000065761,367.123
1776450000069839,366.541
1776450000073727,366.352
1776450000077866,366.728
1776450000081701,367.102
1776450000085846,366.595
1776450000089644,366.338
1776450000093680,366.674
1776450000097662,367.075
1776450000101729,367.158
1776450000106075,366.315
1776450000109713,366.67
1776450000113741,367.066
1776450000117709,367.095
1776450000121694,366.49
1776450000125724,366.57
1776450000129828,366.996
1776450000133792,367.043
1776450000137708,366.407
1776450000141705,366.185
1776450000145713,366.876
1776450000150151,366.945
1776450000153892,366.331
1776450000157727,366.102
1776450000161758,366.446
1776450000165694,366.883
1776450000169896,366.254
1776450000173788,366.028
1776450000177709,366.377
1776450000181739,366.758
1776450000186330,366.212
1776450000189743,366.02
1776450000193638,366.398
1776450000197648,366.759
1776450000201720,366.824
1776450000205651,366.012
1776450000210055,366.414
1776450000213655,366.797
1776450000217689,366.878
1776450000221701,366.306
1776450000225671,366.088
1776450000229693,366.858
1776450000233622,366.921
1776450000237953,366.34
1776450000241694,366.14
1776450000245779,366.552
1776450000250370,367.024
1776450000253658,366.469
1776450000257662,366.253
1776450000261719,366.641
1776450000265888,367.112
1776450000269604,366.553
1776450000273718,366.349
1776450000277610,366.773
1776450000281684,367.144
1776450000285631,367.186
1776450000289635,366.417
1776450000293613,366.795
1776450000297652,367.206
1776450000301647,367.264
1776450000305643,366.725
1776450000309605,366.846
1776450000313968,367.229
1776450000317905,367.256
1776450000321615,366.701
1776450000325622,366.838
1776450000329602,367.233
1776450000333598,367.24
1776450000337616,366.668
1776450000341633,366.421
1776450000345647,367.175
1776450000349665,367.152
1776450000353602,366.599
1776450000357617,366.369
1776450000362504,366.723
1776450000365620,367.102
1776450000370324,366.517
1776450000373734,366.266
1776450000377598,366.631
1776450000381645,367.009
1776450000385600,367.008
1776450000390162,366.236
1776450000393633,366.593
1776450000397621,366.977
1776450000401647,366.98
1776450000406560,366.402
1776450000409640,366.518
1776450000413633,366.913
1776450000417624,366.933
1776450000421616,366.369
1776450000425684,366.157
1776450000429625,366.911
1776450000433651,366.945
1776450000437883,366.353
1776450000441833,366.165
1776450000445581,366.548
1776450000449628,367.009
1776450000453741,366.455
1776450000458570,366.217
1776450000461633,366.574
1776450000465597,366.988
1776450000469635,366.502
1776450000473644,366.339
1776450000477759,366.74
1776450000481673,367.149
1776450000485671,366.621
1776450000489598,366.414
1776450000493806,366.821
1776450000497705,367.211
1776450000501655,367.282
1776450000505745,366.532
1776450000509790,366.946
1776450000514004,367.321
1776450000517676,367.339
1776450000521575,366.8
1776450000525602,366.58
1776450000529631,367.367
1776450000533590,367.427
1776450000537606,366.865
1776450000541983,366.604
1776450000545605,367.011
1776450000549671,367.399
1776450000553579,366.834
1776450000557600,366.599
1776450000561620,366.993
1776450000565594,367.395
1776450000569666,366.818
1776450000574106,366.57
1776450000577560,366.952
1776450000581856,367.322
1776450000586080,366.783
1776450000589544,366.543
1776450000593592,366.898
1776450000597600,367.261
1776450000601586,367.295
1776450000605617,366.702
1776450000611344,366.834
1776450000615552,367.205
1776450000619569,366.649
1776450000623579,366.394
1776450000627582,366.778
1776450000631545,367.159
1776450000635539,366.58
1776450000639594,366.349
1776450000643516,366.753
1776450000647555,367.13
1776450000651709,367.143
1776450000655534,366.572
1776450000659540,366.736
1776450000663542,367.099
1776450000667646,367.144
1776450000672299,366.601
1776450000675572,366.357
1776450000680026,367.177
1776450000684615,367.176
1776450000688396,366.623
1776450000691764,366.402
1776450000695573,366.811
1776450000699528,367.237
1776450000703704,366.675
1776450000707565,366.461
1776450000711577,366.872
1776450000715668,367.237
1776450000719545,366.696
1776450000723567,366.501
1776450000727785,366.909
1776450000731587,367.26
1776450000735542,367.318
1776450000739546,366.534
1776450000743547,366.929
1776450000747570,367.313
1776450000751946,367.309
1776450000755531,366.767
1776450000759642,366.956
1776450000763600,367.329
1776450000768473,367.368
1776450000771520,366.801
1776450000775546,366.556
1776450000779548,367.298
1776450000783599,367.316
1776450000788243,366.775
1776450000791516,366.572
1776450000795530,366.935
1776450000799601,367.308
1776450000803578,366.758
1776450000808221,366.5
1776450000811569,366.882
1776450000815542,367.253
1776450000819543,366.686
1776450000823775,366.461
1776450000827939,366.838
1776450000831535,367.178
1776450000835513,367.191
1776450000839758,366.367
1776450000843548,366.753
1776450000847561,367.1
1776450000851546,367.118
1776450000857062,366.587
1776450000859506,366.695
1776450000863541,367.056
1776450000869495,366.525
1776450000873555,366.267
1776450000878629,366.652
1776450000881524,367.026
1776450000885688,367.026
1776450000889833,366.203
1776450000893597,366.619
1776450000898186,366.975
1776450000901549,366.991
1776450000905577,366.214
1776450000909561,366.615
1776450000913597,366.976
1776450000917663,366.953
1776450000921570,366.399
1776450000925632,366.185
1776450000929679,366.936
1776450000933708,366.971
1776450000937745,366.425
1776450000941536,366.211
1776450000945625,366.61
1776450000949497,366.98
1776450000953839,366.47
1776450000957544,366.225
1776450000961559,366.643
1776450000965973,367.022
1776450000969711,366.528
1776450000973541,366.29
1776450000977690,366.69
1776450000981523,367.088
1776450000985553,366.56
1776450000990253,366.351
1776450000993709,366.772
1776450000997512,367.116
1776450001002028,367.163
1776450001006006,366.617
1776450001009466,366.779
1776450001014890,367.134
1776450001017830,367.133
1776450001022357,366.605
1776450001025539,366.757
1776450001029605,367.124
1776450001033631,367.137
1776450001037492,366.577
1776450001041769,366.373
1776450001045666,367.094
1776450001049798,367.136
1776450001054434,366.589
1776450001058405,366.342
1776450001061510,366.747
1776450001066221,367.09
1776450001069669,366.56
1776450001073550,366.307
1776450001078335,366.699
1776450001082058,367.06
1776450001086845,366.508
1776450001089550,366.277
1776450001093541,366.66
1776450001097740,366.998
1776450001102930,367.015
1776450001105676,366.258
1776450001109502,366.659
1776450001113662,366.99
1776450001117548,366.989
1776450001121532,366.465
1776450001125632,366.224
1776450001129563,366.979
1776450001133533,367.005
1776450001137742,366.513
1776450001141571,366.278
1776450001145512,366.641
1776450001150408,367.05
1776450001153561,366.52
1776450001157582,366.275
1776450001162073,366.695
1776450001165479,367.051
1776450001169481,366.604
1776450001174000,366.324
1776450001177664,366.696
1776450001181601,367.086
1776450001185544,367.1
1776450001189522,366.377
1776450001194069,366.745
1776450001197524,367.09
1776450001202102,367.123
1776450001205693,366.593
1776450001209753,366.756
1776450001213700,367.099
1776450001218167,367.138
1776450001221603,366.634
1776450001225622,366.394
1776450001229737,367.115
1776450001233725,367.129
1776450001238183,366.638
1776450001241863,366.411
1776450001245614,367.122
1776450001249651,367.183
1776450001253684,366.677
1776450001257484,366.406
1776450001261816,366.759
1776450001265872,367.098
1776450001269647,366.67
1776450001273492,366.399
1776450001277637,366.771
1776450001281496,367.119
1776450001286211,367.176
1776450001289481,366.354
1776450001293573,366.735
1776450001297519,367.076
1776450001301589,367.111
1776450001305506,366.607
1776450001309471,366.736
1776450001313538,367.06
1776450001317420,367.107
1776450001321523,366.582
1776450001325516,366.309
1776450001329569,367.003
1776450001333822,367.078
1776450001337735,366.607
1776450001341545,366.318
1776450001345676,366.648
1776450001349547,367.052
1776450001353498,366.569
1776450001357479,366.252
1776450001361509,366.635
1776450001365587,367.008
1776450001369409,366.56
1776450001373472,366.264
1776450001377467,366.619
1776450001381433,366.989
1776450001385485,367.061
1776450001389399,366.24
1776450001393489,366.638
1776450001397521,366.981
1776450001401405,367.013
1776450001405418,366.507
1776450001409417,366.604
1776450001413474,366.961
1776450001417480,366.993
1776450001421403,366.502
1776450001425471,366.244
1776450001430174,366.968
1776450001434125,367.021
1776450001437463,366.528
1776450001441403,366.276
1776450001445466,367.009
1776450001449392,367.067
1776450001453561,366.572
1776450001457463,366.292
1776450001461507,366.69
1776450001465550,367.073
1776450001469464,366.637
1776450001473417,366.358
1776450001477467,366.712
1776450001481405,367.077
1776450001485420,367.124
1776450001489478,366.398
1776450001493468,366.723
1776450001497526,367.072
1776450001501400,367.155
1776450001505478,366.655
1776450001509391,366.782
1776450001514040,367.131
1776450001517392,367.203
1776450001521626,366.72
1776450001525450,366.365
1776450001529487,367.139
1776450001533456,367.209
1776450001537469,366.744
1776450001541419,366.469
1776450001545383,366.833
1776450001549462,367.247
1776450001553389,366.689
1776450001557447,366.388
1776450001561469,366.785
1776450001565494,367.151
1776450001569366,366.809
1776450001573418,366.474
1776450001577410,366.856
1776450001581377,367.199
1776450001586655,367.162
1776450001589629,366.413
1776450001593404,366.789
1776450001597389,367.202
1776450001601524,367.25
1776450001605426,366.726
1776450001609391,366.747
1776450001613617,367.054
1776450001617483,367.149
1776450001621422,366.661
1776450001625383,366.331
1776450001629605,367.08
1776450001633403,367.083
1776450001637429,366.602
1776450001641404,366.22
1776450001645975,366.572
1776450001649400,367.02
1776450001653547,366.504
1776450001657379,366.221
1776450001661453,366.542
1776450001666248,366.903
1776450001669457,366.399
1776450001673417,366.106
1776450001677415,366.532
1776450001681633,366.885
1776450001685432,366.907
1776450001689407,366.046
1776450001693435,366.448
1776450001697651,366.869
1776450001701482,366.861
1776450001705414,366.394
1776450001709436,366.449
1776450001713471,366.855
1776450001717369,366.897
1776450001721430,366.35
1776450001725400,366.089
1776450001729379,366.857
1776450001733392,366.956
1776450001737430,366.444
1776450001741395,366.082
1776450001745441,366.514
1776450001749432,366.903
1776450001753484,366.443
1776450001757363,366.156
1776450001761418,366.995
1776450001765478,366.995
1776450001769452,366.489
1776450001773353,366.204
1776450001777605,366.607
1776450001781380,366.986
1776450001785440,367.059
1776450001790267,366.265
1776450001793915,366.723
1776450001797691,367.07
1776450001802078,367.105
1776450001805394,366.632
1776450001809766,366.72
1776450001813340,367.152
1776450001818160,367.136
1776450001821481,366.637
1776450001825498,366.369
1776450001829607,367.119
1776450001833399,367.147
1776450001837446,366.583
1776450001841367,366.312
1776450001845344,366.754
1776450001849407,367.138
1776450001853359,366.611
1776450001857545,366.271
1776450001861425,366.682
1776450001865430,367.065
1776450001869406,366.52
1776450001873369,366.249
1776450001877413,366.643
1776450001881370,367.051
1776450001885586,366.439
1776450001889328,366.203
1776450001893327,366.609
1776450001897328,366.955
1776450001901366,366.985
1776450001906007,366.462
1776450001909556,366.611
1776450001913431,366.969
1776450001917765,366.938
1776450001921456,366.433
1776450001925572,366.159
1776450001929330,366.966
1776450001933511,366.991
1776450001937917,366.466
1776450001941417,366.2
1776450001945916,366.597
1776450001949379,366.994
1776450001953309,366.429
1776450001957414,366.178
1776450001961446,366.653
1776450001965306,367.035
1776450001969424,366.516
1776450001973403,366.235
1776450001978124,366.67
1776450001981450,367.08
1776450001985466,367.09
1776450001989331,366.332
1776450001993443,366.793
1776450001997380,367.158
1776450002001414,367.156
1776450002005403,366.571
1776450002009335,366.856
1776450002013530,367.207
1776450002017483,367.193
1776450002021280,366.637
1776450002026583,366.435
1776450002029427,367.274
1776450002033365,367.197
1776450002037360,366.659
1776450002042111,366.497
1776450002045744,366.91
1776450002049400,367.236
1776450002053282,366.67
1776450002057397,366.468
1776450002061380,366.896
1776450002065407,367.205
1776450002069372,366.637
1776450002073319,366.409
1776450002077676,366.817
1776450002081299,367.175
1776450002085288,367.136
1776450002089290,366.363
1776450002093301,366.754
1776450002097708,367.076
1776450002101320,367.08
1776450002105324,366.266
1776450002109370,366.709
1776450002113389,367.036
1776450002117833,366.991
1776450002121363,366.401
1776450002125465,366.152
1776450002129301,366.949
1776450002133299,366.88
1776450002137521,366.33
1776450002141568,366.144
1776450002145375,366.538
1776450002149646,366.857
1776450002153399,366.252
1776450002157342,366.08
1776450002161406,366.54
1776450002165370,366.852
1776450002169274,366.294
1776450002173674,366.053
1776450002177617,366.524
1776450002181278,366.873
1776450002185535,366.835
1776450002189565,366.136
1776450002193681,366.596
