ts,ts.1,board_temp,cap_fill_base,cap_fill_actual
1775847600008199,1886377190,18,100,136.0165405273438
1775847600031026,1886407167,17,100,136.0165405273438
1775847600073224,1886437187,17,100,136.0165405273438
1775847600099744,1886467189,18,100,136.0165405273438
1775847600124974,1886497189,17,100,136.0165405273438
1775847600145562,1886527189,18,100,136.0165405273438
1775847600169598,1886557189,18,100,136.0165405273438
1775847600202763,1886587189,18,100,136.0165405273438
1775847600229576,1886617162,18,100,136.0165405273438
1775847600258391,1886647190,18,100,136.0165405273438
1775847600278757,1886677185,17,100,136.0165405273438
1775847600301024,1886707191,17,100,136.0165405273438
1775847600338995,1886737167,17,100,136.0165405273438
1775847600360614,1886767188,17,100,136.0165405273438
1775847600401065,1886797190,17,100,136.0165405273438
1775847600427260,1886827179,17,100,136.0165405273438
1775847600450476,1886857189,17,100,136.0165405273438
1775847600478581,1886887189,17,100,136.0165405273438
1775847600515162,1886917190,18,100,136.0165405273438
1775847600544590,1886947449,17,100,136.0165405273438
1775847600573705,1886977194,17,100,136.0165405273438
1775847600616234,1887006605,18,100,136.0165405273438
1775847600641335,1887037198,17,100,136.0165405273438
1775847600667706,1887067190,17,100,136.0165405273438
1775847600691666,1887097190,18,100,136.0165405273438
1775847600715139,1887127190,17,100,136.0165405273438
1775847600759693,1887157190,17,100,136.0165405273438
1775847600793672,1887187190,17,100,136.0165405273438
1775847600818419,1887217189,17,100,136.0165405273438
1775847600840109,1887247189,18,100,136.0165405273438
1775847600863696,1887277174,18,100,136.0165405273438
1775847600905958,1887307191,17,100,136.0165405273438
1775847600928407,1887337186,18,100,136.0165405273438
1775847600960697,1887367189,17,100,136.0165405273438
1775847600990921,1887397189,18,100,136.0165405273438
1775847601014193,1887427189,17,100,136.0165405273438
1775847601063337,1887456189,17,100,136.0165405273438
1775847601086413,1887486183,17,100,136.0165405273438
1775847601108033,1887516190,17,100,136.0165405273438
1775847601132385,1887546159,17,100,136.0165405273438
1775847601160210,1887576189,18,100,136.0165405273438
1775847601208222,1887606181,17,100,136.0165405273438
1775847601228521,1887636190,17,100,136.0165405273438
1775847601256807,1887666167,17,100,136.0165405273438
1775847601283790,1887696187,18,100,136.0165405273438
1775847601311222,1887726189,17,100,136.0165405273438
1775847601341907,1887756189,17,100,136.0165405273438
1775847601367021,1887786189,18,100,136.0165405273438
1775847601390713,1887816189,18,100,136.0165405273438
1775847601423523,1887846189,17,100,136.0165405273438
1775847601448212,1887876162,17,100,136.0165405273438
1775847601511145,1887905219,18,100,136.0165405273438
1775847601531663,1887935185,18,100,136.0165405273438
1775847601553597,1887965226,18,100,136.0165405273438
1775847601588393,1887995177,18,100,136.0165405273438
1775847601614861,1888024195,18,100,136.0165405273438
1775847601645752,1888054197,17,100,136.0165405273438
1775847601670515,1888084179,18,100,136.0165405273438
1775847601706570,1888114189,18,100,136.0165405273438
1775847601726052,1888144189,18,100,136.0165405273438
1775847601778810,1888174190,18,100,136.0165405273438
1775847601807771,1888204174,17,100,136.0165405273438
1775847601832220,1888234190,18,100,136.0165405273438
1775847601860430,1888264190,17,100,136.0165405273438
1775847601886128,1888294190,17,100,136.0165405273438
1775847601921136,1888324190,18,100,136.0165405273438
1775847601940661,1888354190,18,100,136.0165405273438
1775847601967516,1888384190,18,100,136.0165405273438
1775847601992288,1888414190,17,100,136.0165405273438
1775847602022243,1888444190,18,100,136.0165405273438
1775847602056966,1888474189,17,100,136.0165405273438
1775847602081834,1888504189,18,100,136.0165405273438
1775847602107664,1888534174,18,100,136.0165405273438
1775847602132534,1888564191,18,100,136.0165405273438
1775847602159955,1888594186,17,100,136.0165405273438
1775847602203807,1888624189,17,100,136.0165405273438
1775847602217851,1888654189,18,100,136.0165405273438
1775847602241974,1888684189,18,100,136.0165405273438
1775847602263428,1888714189,17,100,136.0165405273438
1775847602290383,1888744183,18,100,136.0165405273438
1775847602345350,1888774190,18,100,136.0165405273438
1775847602361765,1888804159,18,100,136.0165405273438
1775847602378207,1888834189,18,100,136.0165405273438
1775847602401209,1888864181,18,100,136.0165405273438
1775847602444621,1888894190,18,100,136.0165405273438
1775847602459894,1888924167,17,100,136.0165405273438
1775847602490772,1888954223,18,100,136.0165405273438
1775847602523879,1888984194,18,100,136.0165405273438
1775847602548238,1889013192,18,100,136.0165405273438
1775847602593708,1889043197,18,100,136.0165405273438
1775847602620679,1889073189,18,100,136.0165405273438
1775847602669414,1889101877,18,100,136.0165405273438
1775847602688923,1889133162,18,100,136.0165405273438
1775847602718249,1889163190,18,100,136.0165405273438
1775847602752423,1889193185,18,100,136.0165405273438
1775847602814671,1889223190,18,100,136.0165405273438
1775847602832594,1889253167,17,100,136.0165405273438
1775847602873593,1889283188,18,100,136.0165405273438
1775847602902071,1889313190,18,100,136.0165405273438
1775847602936537,1889343179,18,100,136.0165405273438
1775847602964082,1889373189,18,100,136.0165405273438
1775847602988459,1889403189,17,100,136.0165405273438
1775847603015006,1889433190,18,100,136.0165405273438
1775847603043013,1889463174,18,100,136.0165405273438
1775847603075630,1889493190,18,100,136.0165405273438
1775847603104458,1889523190,17,100,136.0165405273438
1775847603130958,1889553190,18,100,136.0165405273438
1775847603157792,1889583190,18,100,136.0165405273438
1775847603196612,1889613190,18,100,136.0165405273438
1775847603254251,1889643190,18,100,136.0165405273438
1775847603264929,1889671194,18,100,136.0165405273438
1775847603302605,1889701190,17,100,136.0165405273438
1775847603329661,1889731216,18,100,136.0165405273438
1775847603372657,1889761189,18,100,136.0165405273438
1775847603403766,1889791201,18,100,136.0165405273438
1775847603418350,1889821191,18,100,136.0165405273438
1775847603448785,1889851186,18,100,136.0165405273438
1775847603470469,1889881189,18,100,136.0165405273438
1775847603542849,1889911189,18,100,136.0165405273438
1775847603592188,1889941189,18,100,136.0165405273438
1775847603606715,1889971225,18,100,136.0165405273438
1775847603618603,1890001191,18,100,136.0165405273438
1775847603646032,1890031199,18,100,136.0165405273438
1775847603688328,1890061166,18,100,136.0165405273438
1775847603719518,1890091189,18,100,136.0165405273438
1775847603746065,1890121181,18,100,136.0165405273438
1775847603769300,1890151190,18,100,136.0165405273438
1775847603797671,1890181166,18,100,136.0165405273438
1775847603834909,1890211187,18,100,136.0165405273438
1775847603855840,1890241189,18,100,136.0165405273438
1775847603883818,1890271189,18,100,136.0165405273438
1775847603914901,1890301189,18,100,136.0165405273438
1775847603955798,1890331189,18,100,136.0165405273438
1775847603981569,1890361189,18,100,136.0165405273438
1775847604010422,1890391162,18,100,136.0165405273438
1775847604037214,1890421190,18,100,136.0165405273438
1775847604067064,1890451185,18,100,136.0165405273438
1775847604105174,1890481190,18,100,136.0165405273438
1775847604125672,1890511167,18,100,136.0165405273438
1775847604149299,1890541188,18,100,136.0165405273438
1775847604178080,1890571190,18,100,136.0165405273438
1775847604205710,1890601179,18,100,136.0165405273438
1775847604247809,1890631189,18,100,136.0165405273438
1775847604274269,1890661189,18,100,136.0165405273438
1775847604298362,1890691190,18,100,136.0165405273438
1775847604323800,1890721174,17,100,136.0165405273438
1775847604351983,1890751190,17,100,136.0165405273438
1775847604385880,1890781219,18,100,136.0165405273438
1775847604410849,1890811190,18,100,136.0165405273438
1775847604434826,1890841190,17,100,136.0165405273438
1775847604456022,1890871190,17,100,136.0165405273438
1775847604478638,1890901190,18,100,136.0165405273438
1775847604518820,1890931190,18,100,136.0165405273438
1775847604547052,1890961224,18,100,136.0165405273438
1775847604575496,1890991197,18,100,136.0165405273438
1775847604604921,1891020193,18,100,136.0165405273438
1775847604642401,1891050183,18,100,136.0165405273438
1775847604661808,1891080191,17,100,136.0165405273438
1775847604686077,1891110186,18,100,136.0165405273438
1775847604726930,1891140189,18,100,136.0165405273438
1775847604741639,1891170189,18,100,136.0165405273438
1775847604776791,1891200189,18,100,136.0165405273438
1775847604805293,1891230189,17,100,136.0165405273438
