ts,run,state,depress,igniter,gn2_fill,lox_fill,gn2_drain,ereg_power,press_pilot,ms_since_boot,lox_disconnect
1773430200052495,False,"""CUSTOM""",False,False,False,True,False,False,False,9804467,False
1773430200157283,False,"""CUSTOM""",False,False,False,True,False,False,False,9804561,False
1773430200265555,False,"""CUSTOM""",False,False,False,True,False,False,False,9804641,False
1773430200363965,False,"""CUSTOM""",False,False,False,True,False,False,False,9804774,False
1773430200581360,False,"""CUSTOM""",False,False,False,True,False,False,False,9804995,False
1773430200684465,False,"""CUSTOM""",False,False,False,True,False,False,False,9805099,False
1773430200783175,False,"""CUSTOM""",False,False,False,True,False,False,False,9805193,False
1773430200883883,False,"""CUSTOM""",False,False,False,True,False,False,False,9805296,False
1773430201088167,False,"""CUSTOM""",False,False,False,True,False,False,False,9805500,False
1773430201306303,False,"""CUSTOM""",False,False,False,True,False,False,False,9805713,False
1773430201420000,False,"""CUSTOM""",False,False,False,True,False,False,False,9805822,False
1773430201531940,False,"""CUSTOM""",False,False,False,True,False,False,False,9805937,False
1773430201998929,False,"""CUSTOM""",False,False,False,True,False,False,False,9806384,False
1773430202117355,False,"""CUSTOM""",False,False,False,True,False,False,False,9806524,False
1773430202237362,False,"""CUSTOM""",False,False,False,True,False,False,False,9806645,False
1773430202377612,False,"""CUSTOM""",False,False,False,True,False,False,False,9806789,False
1773430202599478,False,"""CUSTOM""",False,False,False,True,False,False,False,9807009,False
1773430202704654,False,"""CUSTOM""",False,False,False,True,False,False,False,9807117,False
1773430202826297,False,"""CUSTOM""",False,False,False,True,False,False,False,9807230,False
1773430202929555,False,"""CUSTOM""",False,False,False,True,False,False,False,9807348,False
1773430203173312,False,"""CUSTOM""",False,False,False,True,False,False,False,9807582,False
1773430203361808,False,"""CUSTOM""",False,False,False,True,False,False,False,9807772,False
1773430203476308,False,"""CUSTOM""",False,False,False,True,False,False,False,9807885,False
1773430203617722,False,"""CUSTOM""",False,False,False,True,False,False,False,9808031,False
1773430203726209,False,"""CUSTOM""",False,False,False,True,False,False,False,9808135,False
1773430203863382,False,"""CUSTOM""",False,False,False,True,False,False,False,9808276,False
1773430204015097,False,"""CUSTOM""",False,False,False,True,False,False,False,9808415,False
1773430204140036,False,"""CUSTOM""",False,False,False,True,False,False,False,9808551,False
1773430204239222,False,"""CUSTOM""",False,False,False,True,False,False,False,9808644,False
1773430204605511,False,"""CUSTOM""",False,False,False,True,False,False,False,9809017,False
1773430204707774,False,"""CUSTOM""",False,False,False,True,False,False,False,9809126,False
1773430204812206,False,"""CUSTOM""",False,False,False,True,False,False,False,9809224,False
1773430204909983,False,"""CUSTOM""",False,False,False,True,False,False,False,9809320,False
1773430205063896,False,"""CUSTOM""",False,False,False,True,False,False,False,9809475,False
1773430205288534,False,"""CUSTOM""",False,False,False,True,False,False,False,9809701,False
1773430205389117,False,"""CUSTOM""",False,False,False,True,False,False,False,9809791,False
1773430205489209,False,"""CUSTOM""",False,False,False,True,False,False,False,9809905,False
1773430205596903,False,"""CUSTOM""",False,False,False,True,False,False,False,9810014,False
1773430205703567,False,"""CUSTOM""",False,False,False,True,False,False,False,9810119,False
1773430205809240,False,"""CUSTOM""",False,False,False,True,False,False,False,9810216,False
1773430205917774,False,"""CUSTOM""",False,False,False,True,False,False,False,9810326,False
1773430206254112,False,"""CUSTOM""",False,False,False,True,False,False,False,9810655,False
1773430206354246,False,"""CUSTOM""",False,False,False,True,False,False,False,9810767,False
1773430206455468,False,"""CUSTOM""",False,False,False,True,False,False,False,9810861,False
1773430206571875,False,"""CUSTOM""",False,False,False,True,False,False,False,9810967,False
1773430206792324,False,"""CUSTOM""",False,False,False,True,False,False,False,9811199,False
1773430206908855,False,"""CUSTOM""",False,False,False,True,False,False,False,9811316,False
1773430207012230,False,"""CUSTOM""",False,False,False,True,False,False,False,9811423,False
1773430207148237,False,"""CUSTOM""",False,False,False,True,False,False,False,9811555,False
1773430207246249,False,"""CUSTOM""",False,False,False,True,False,False,False,9811643,False
1773430207402590,False,"""CUSTOM""",False,False,False,True,False,False,False,9811788,False
1773430207515229,False,"""CUSTOM""",False,False,False,True,False,False,False,9811895,False
1773430207653177,False,"""CUSTOM""",False,False,False,True,False,False,False,9812041,False
1773430207761427,False,"""CUSTOM""",False,False,False,True,False,False,False,9812166,False
1773430207882745,False,"""CUSTOM""",False,False,False,True,False,False,False,9812295,False
1773430208036847,False,"""CUSTOM""",False,False,False,True,False,False,False,9812407,False
1773430208145221,False,"""CUSTOM""",False,False,False,True,False,False,False,9812534,False
1773430208247270,False,"""CUSTOM""",False,False,False,True,False,False,False,9812651,False
1773430208592182,False,"""CUSTOM""",False,False,False,True,False,False,False,9812997,False
1773430208713529,False,"""CUSTOM""",False,False,False,True,False,False,False,9813093,False
1773430208818037,False,"""CUSTOM""",False,False,False,True,False,False,False,9813201,False
1773430209294038,False,"""CUSTOM""",False,False,False,True,False,False,False,9813714,False
1773430209402153,False,"""CUSTOM""",False,False,False,True,False,False,False,9813804,False
1773430209509420,False,"""CUSTOM""",False,False,False,True,False,False,False,9813898,False
1773430209613300,False,"""CUSTOM""",False,False,False,True,False,False,False,9813997,False
1773430209725970,False,"""CUSTOM""",False,False,False,True,False,False,False,9814086,False
1773430209899941,False,"""CUSTOM""",False,False,False,True,False,False,False,9814283,False
1773430210084099,False,"""CUSTOM""",False,False,False,True,False,False,False,9814445,False
1773430210206113,False,"""CUSTOM""",False,False,False,True,False,False,False,9814567,False
1773430210311431,False,"""CUSTOM""",False,False,False,True,False,False,False,9814683,False
1773430210430249,False,"""CUSTOM""",False,False,False,True,False,False,False,9814784,False
1773430210532508,False,"""CUSTOM""",False,False,False,True,False,False,False,9814892,False
1773430210640483,False,"""CUSTOM""",False,False,False,True,False,False,False,9815012,False
1773430210795061,False,"""CUSTOM""",False,False,False,True,False,False,False,9815149,False
1773430210915695,False,"""CUSTOM""",False,False,False,True,False,False,False,9815251,False
1773430211056199,False,"""CUSTOM""",False,False,False,True,False,False,False,9815397,False
1773430211181182,False,"""CUSTOM""",False,False,False,True,False,False,False,9815561,False
1773430211280350,False,"""STANDBY""",False,False,False,False,False,False,False,9815661,False
1773430211448066,False,"""STANDBY""",False,False,False,False,False,False,False,9815803,False
1773430211567981,False,"""STANDBY""",False,False,False,False,False,False,False,9815922,False
1773430211692625,False,"""STANDBY""",False,False,False,False,False,False,False,9816046,False
1773430211800780,False,"""STANDBY""",False,False,False,False,False,False,False,9816146,False
1773430211901270,False,"""STANDBY""",False,False,False,False,False,False,False,9816260,False
1773430212013043,False,"""STANDBY""",False,False,False,False,False,False,False,9816366,False
1773430212124092,False,"""STANDBY""",False,False,False,False,False,False,False,9816495,False
1773430212250298,False,"""STANDBY""",False,False,False,False,False,False,False,9816601,False
1773430212349815,False,"""STANDBY""",False,False,False,False,False,False,False,9816742,False
1773430212458442,False,"""STANDBY""",False,False,False,False,False,False,False,9816843,False
1773430212589429,False,"""STANDBY""",False,False,False,False,False,False,False,9816939,False
1773430212703471,False,"""STANDBY""",False,False,False,False,False,False,False,9817075,False
1773430212963709,False,"""STANDBY""",False,False,False,False,False,False,False,9817373,False
1773430213074892,False,"""STANDBY""",False,False,False,False,False,False,False,9817486,False
1773430213198152,False,"""STANDBY""",False,False,False,False,False,False,False,9817613,False
1773430213306988,False,"""STANDBY""",False,False,False,False,False,False,False,9817721,False
1773430213699633,False,"""STANDBY""",False,False,False,False,False,False,False,9818109,False
