ts,data
1775840800633344,-0.732475
1775840800637780,-0.762232
1775840800641547,-0.733047
1775840800645592,-0.737625
1775840800649579,-0.746209
1775840800653536,-0.77196
1775840800657562,-0.751359
1775840800661559,-0.781688
1775840800665559,-0.792561
1775840800670172,-0.826896
1775840800673550,-0.79485
1775840800678489,-0.762232
1775840800681571,-0.802861
1775840800685545,-0.824607
1775840800689916,-0.802861
1775840800693603,-0.774249
1775840800697543,-0.804578
1775840800702564,-0.804578
1775840800706023,-0.788555
1775840800709645,-0.750787
1775840800713518,-0.797139
1775840800718861,-0.793133
1775840800721720,-0.766237
1775840800725573,-0.723319
1775840800729510,-0.760515
1775840800733581,-0.754793
1775840800737954,-0.775393
1775840800741622,-0.740486
1775840800746672,-0.755937
1775840800749803,-0.737053
1775840800753675,-0.738197
1775840800758979,-0.699857
1775840800761502,-0.683834
1775840800765568,-0.707296
1775840800769494,-0.730186
1775840800773937,-0.701574
1775840800777980,-0.675823
1775840800781603,-0.712446
1775840800786045,-0.727897
1775840800789569,-0.699285
1775840800793582,-0.667811
1775840800797724,-0.70329
1775840800801697,-0.727325
1775840800805787,-0.712446
1775840800809567,-0.705007
1775840800813828,-0.741631
1775840800817778,-0.713591
1775840800822057,-0.733047
1775840800825492,-0.723891
1775840800829561,-0.738197
1775840800833517,-0.72103
1775840800837494,-0.774249
1775840800841576,-0.764521
1775840800845663,-0.789127
1775840800849495,-0.785694
1775840800853991,-0.810873
1775840800858310,-0.794278
1775840800862820,-0.770815
1775840800865828,-0.807439
1775840800870061,-0.826896
1775840800873917,-0.803433
1775840800877470,-0.762804
1775840800881906,-0.795422
1775840800886091,-0.828612
1775840800890580,-0.781116
1775840800893680,-0.758226
1775840800897528,-0.785122
1775840800902252,-0.778827
1775840800905533,-0.768526
1775840800909510,-0.742203
1775840800915550,-0.770815
1775840800919510,-0.775966
1775840800923564,-0.730186
1775840800927618,-0.717024
1775840800931489,-0.731903
1775840800935985,-0.718741
1775840800939630,-0.686695
1775840800943491,-0.686123
1775840800947932,-0.707296
1775840800951529,-0.69814
1775840800956093,-0.658083
1775840800959531,-0.657511
1775840800963503,-0.702718
1775840800967576,-0.690129
1775840800971882,-0.69299
1775840800975489,-0.648927
1775840800979552,-0.662089
1775840800983513,-0.670672
1775840800988150,-0.70329
1775840800991514,-0.667239
1775840800995845,-0.686695
1775840801000345,-0.695851
1775840801004297,-0.718741
1775840801007745,-0.695279
1775840801011516,-0.697568
1775840801015709,-0.714735
1775840801019500,-0.757082
1775840801023494,-0.727897
1775840801027496,-0.723319
1775840801031585,-0.744492
1775840801035515,-0.778827
1775840801039524,-0.767954
1775840801043691,-0.767954
1775840801047491,-0.779971
1775840801051533,-0.77711
1775840801055512,-0.772532
1775840801059496,-0.774821
1775840801063498,-0.797139
1775840801067553,-0.812017
1775840801071446,-0.826896
1775840801075497,-0.785122
1775840801079488,-0.805722
1775840801083544,-0.808011
1775840801087646,-0.804006
1775840801091466,-0.758798
1775840801095512,-0.801144
1775840801099441,-0.795994
1775840801103475,-0.790272
1775840801107516,-0.751359
1775840801111439,-0.753076
1775840801115488,-0.759943
1775840801119462,-0.763376
1775840801123481,-0.718169
1775840801127492,-0.717024
1775840801131461,-0.729614
1775840801135480,-0.739914
1775840801139497,-0.682117
1775840801143474,-0.68784
1775840801147473,-0.702718
1775840801151433,-0.721602
1775840801156060,-0.672389
1775840801159545,-0.694134
1775840801163462,-0.707868
1775840801167412,-0.711874
1775840801171466,-0.706152
1775840801175446,-0.688412
1775840801180324,-0.703863
1775840801183663,-0.718169
1775840801187444,-0.72103
1775840801191469,-0.691273
1775840801195443,-0.707868
1775840801199457,-0.734764
1775840801203470,-0.738197
1775840801207465,-0.709013
1775840801211409,-0.724464
1775840801215451,-0.759943
1775840801219448,-0.777682
1775840801223446,-0.741059
1775840801227463,-0.753076
1775840801231474,-0.74907
1775840801235444,-0.794278
1775840801239491,-0.783977
1775840801243529,-0.808584
1775840801247451,-0.807439
1775840801251440,-0.82804
1775840801255447,-0.795994
1775840801259412,-0.813734
1775840801263443,-0.806295
1775840801267435,-0.820029
1775840801271460,-0.827468
1775840801275488,-0.82804
1775840801279473,-0.806295
1775840801283410,-0.815451
1775840801287494,-0.815451
1775840801291483,-0.77196
1775840801295459,-0.797711
1775840801299473,-0.803433
1775840801303780,-0.778827
1775840801307458,-0.741059
1775840801311501,-0.76166
1775840801315470,-0.778827
1775840801319616,-0.747926
1775840801323408,-0.711874
1775840801327432,-0.751931
1775840801331514,-0.747926
1775840801335401,-0.745064
1775840801339444,-0.694134
1775840801343574,-0.717597
1775840801347442,-0.725036
1775840801351556,-0.743348
1775840801355845,-0.676967
1775840801359425,-0.711302
1775840801363442,-0.737053
1775840801367360,-0.737053
1775840801372418,-0.717024
1775840801376368,-0.717597
1775840801380522,-0.724464
1775840801383653,-0.748498
1775840801387450,-0.699285
1775840801391618,-0.699285
1775840801395971,-0.730758
1775840801399451,-0.769099
1775840801403625,-0.770815
1775840801407477,-0.773677
1775840801412054,-0.773677
1775840801417741,-0.775393
1775840801421426,-0.775393
1775840801425610,-0.785122
1775840801429495,-0.77711
1775840801433554,-0.813734
1775840801437665,-0.787983
1775840801441633,-0.757654
1775840801445713,-0.7897
1775840801450829,-0.811445
1775840801453445,-0.799428
1775840801457404,-0.791416
1775840801461411,-0.792561
1775840801465422,-0.806295
1775840801469495,-0.790272
1775840801473759,-0.76681
1775840801477447,-0.797711
1775840801481433,-0.790844
1775840801485390,-0.779399
1775840801489460,-0.741059
1775840801493597,-0.770815
1775840801497439,-0.765665
1775840801501548,-0.786838
1775840801505935,-0.716452
1775840801509592,-0.75422
1775840801513512,-0.732475
1775840801517488,-0.745064
1775840801521585,-0.712446
1775840801525604,-0.720458
1775840801529607,-0.70329
1775840801533475,-0.739914
1775840801537402,-0.71588
1775840801541516,-0.694134
1775840801545699,-0.711874
1775840801549478,-0.740486
1775840801554049,-0.711302
1775840801557659,-0.683262
1775840801561431,-0.733047
1775840801565815,-0.739342
1775840801569900,-0.71588
1775840801573386,-0.706724
1775840801577702,-0.747926
1775840801581466,-0.74907
1775840801585472,-0.759371
1775840801590524,-0.743348
1775840801594308,-0.788555
1775840801597749,-0.779399
1775840801601599,-0.772532
1775840801605615,-0.756509
1775840801609588,-0.812589
1775840801613886,-0.820029
1775840801618368,-0.831474
1775840801621422,-0.806295
1775840801625346,-0.825751
1775840801629491,-0.824034
1775840801634450,-0.849213
1775840801638122,-0.824034
1775840801641805,-0.812017
1775840801645355,-0.837196
1775840801649386,-0.858941
1775840801654598,-0.836624
1775840801657420,-0.807439
1775840801661373,-0.818884
1775840801665353,-0.846924
1775840801669385,-0.840629
1775840801673410,-0.822318
1775840801677953,-0.821745
1775840801681836,-0.809156
1775840801686026,-0.798856
1775840801689446,-0.790272
1775840801693387,-0.80515
1775840801699778,-0.807439
1775840801703359,-0.765093
1775840801707440,-0.776538
1775840801713741,-0.787411
1775840801717382,-0.751359
1775840801721324,-0.751359
1775840801725351,-0.780544
1775840801729350,-0.76166
1775840801733374,-0.774249
1775840801737408,-0.747353
1775840801741328,-0.746781
1775840801745367,-0.760515
1775840801749344,-0.767382
1775840801753371,-0.750215
1775840801757338,-0.737053
1775840801761316,-0.751359
1775840801765371,-0.786838
1775840801769378,-0.746209
1775840801773328,-0.749642
1775840801777410,-0.789127
1775840801781351,-0.795994
1775840801785374,-0.783977
1775840801789303,-0.771388
1775840801793391,-0.801144
1775840801797348,-0.829185
1775840801801384,-0.834907
1775840801805403,-0.808011
1775840801809361,-0.830901
1775840801813306,-0.841202
1775840801817343,-0.839485
1775840801821413,-0.823462
1775840801825362,-0.85608
1775840801829329,-0.857797
1775840801833331,-0.865236
1775840801837330,-0.840629
1775840801841444,-0.840057
1775840801845308,-0.863519
1775840801849321,-0.864092
1775840801853306,-0.822318
1775840801857381,-0.820029
1775840801861329,-0.820601
1775840801865354,-0.825751
1775840801869359,-0.8
1775840801873370,-0.814878
1775840801877301,-0.815451
1775840801881330,-0.825751
1775840801885307,-0.789127
1775840801889495,-0.788555
1775840801893495,-0.790844
1775840801897366,-0.793705
1775840801901658,-0.798856
1775840801905356,-0.773104
1775840801910047,-0.764521
1775840801913525,-0.774821
1775840801917356,-0.785122
1775840801921449,-0.751359
1775840801925554,-0.765665
1775840801929346,-0.78226
1775840801933954,-0.783405
1775840801937389,-0.746781
1775840801941566,-0.743348
1775840801945364,-0.799428
1775840801952283,-0.791416
1775840801955343,-0.763948
1775840801959312,-0.783977
1775840801963341,-0.811445
1775840801968293,-0.814306
1775840801971902,-0.790272
1775840801975587,-0.801144
1775840801979582,-0.82289
1775840801983398,-0.827468
1775840801987318,-0.786838
1775840801992097,-0.818312
1775840801995309,-0.860658
1775840801999313,-0.848641
1775840802003318,-0.840057
1775840802007329,-0.840057
1775840802011361,-0.863519
1775840802015370,-0.862947
1775840802021301,-0.842346
1775840802025510,-0.838913
1775840802029394,-0.868097
1775840802034250,-0.860086
1775840802037305,-0.816595
1775840802042119,-0.826896
1775840802045619,-0.850358
1775840802049724,-0.835479
1775840802054017,-0.79485
1775840802057298,-0.801717
1775840802061515,-0.801717
1775840802065298,-0.82289
1775840802070508,-0.770243
1775840802073320,-0.787983
1775840802077340,-0.785122
1775840802081361,-0.7897
1775840802085764,-0.738197
1775840802089322,-0.737053
1775840802093487,-0.723891
1775840802097387,-0.746209
1775840802101742,-0.733047
1775840802106373,-0.719886
1775840802110083,-0.725036
1775840802114948,-0.751931
1775840802119821,-0.683262
1775840802123294,-0.719886
1775840802128344,-0.71588
1775840802131345,-0.747926
1775840802135302,-0.688412
1775840802139316,-0.707296
1775840802143696,-0.713019
1775840802147406,-0.737053
1775840802151263,-0.714163
1775840802155318,-0.72618
1775840802159566,-0.713019
1775840802163541,-0.741631
1775840802167271,-0.735336
1775840802171340,-0.706724
1775840802175320,-0.750215
1775840802179385,-0.777682
1775840802183296,-0.76166
1775840802187422,-0.723319
1775840802191250,-0.751931
1775840802195284,-0.787411
1775840802199361,-0.745064
1775840802203276,-0.725608
1775840802207237,-0.781116
1775840802211414,-0.764521
1775840802215264,-0.754793
1775840802219479,-0.723319
1775840802223247,-0.769099
1775840802227511,-0.763948
1775840802231469,-0.778827
1775840802235487,-0.71588
1775840802239632,-0.749642
1775840802243297,-0.728469
1775840802247251,-0.750215
1775840802251255,-0.695279
1775840802255272,-0.713019
1775840802259408,-0.693562
