ts,ts.1,lox_lower_celsius,lox_upper_celsius,gn2_external_celsius,gn2_internal_celsius
1775839200205261,3500995305,-36.9375,30.1875,0,-15.3125
1775839201297355,3502092405,-36.875,30.1875,0,-15.375
1775839203494941,3504268637,-36.9375,30.125,0,-15.25
1775839205658479,3506439432,-36.75,30.25,0,-15.0625
1775839212216209,3513013810,-36.4375,30.375,0,-14.75
1775839218706518,3519513396,-36.0625,30.4375,0,-14.5
1775839224165127,3524931425,-35.8125,30.5625,0,-14.4375
1775839230703861,3531467912,-35.5625,30.625,0,-14.25
1775839233908306,3534711337,-35.1875,30.8125,0,-13.9375
1775839244802690,3545604561,-34.875,30.8125,0,-13.9375
1775839249138406,3549939513,-34.75,30.75,0,-13.875
1775839251326179,3552101343,-34.5625,30.8125,0,-13.8125
1775839257838562,3558608400,-34.0,31.0,0,-13.4375
1775839264292473,3565097396,-33.8125,30.875,0,-13.4375
1775839265386547,3566185216,-33.875,30.875,0,-13.375
1775839277420316,3578177848,-33.8125,30.5625,0,-13.4375
1775839283935039,3584701410,-33.5,30.5,0,-13.0625
1775839284995030,3585794304,-33.4375,30.4375,0,-13.0625
1775839288266876,3589066401,-33.3125,30.5,0,-12.8125
1775839292652266,3593414917,-33.3125,30.4375,0,-12.8125
1775839293699615,3594503796,-33.1875,30.5625,0,-12.875
1775839296981366,3597775435,-33.25,30.375,0,-12.9375
1775839306746432,3607536458,-32.875,30.4375,0,-12.5625
1775839307847717,3608629944,-32.8125,30.3125,0,-12.4375
1775839323081787,3623885219,-31.625,31.0625,0,-11.5
1775839337212796,3637954957,-31.0625,31.0625,0,-11.0
1775839346939908,3647741644,-30.6875,31.375,0,-10.875
1775839354577254,3655356201,-30.6875,31.0625,0,-10.875
1775839362300264,3662994853,-30.4375,31.125,0,-10.875
1775839383983289,3684774440,-29.4375,31.5,0,-10.125
1775839389426289,3690201724,-29.3125,31.375,0,-10.125
1775839390487574,3691286415,-29.3125,31.5625,0,-10.0625
1775839391624912,3692377179,-29.25,31.4375,0,-10.0
1775839395925752,3696731076,-29.0,31.5625,0,-9.875
1775839400341871,3701113403,-28.875,31.5,0,-9.75
1775839401424391,3702210039,-28.8125,31.5,0,-9.6875
1775839404680755,3705476719,-28.6875,31.4375,0,-9.5
1775839409214214,3709845327,-28.75,31.375,0,-9.6875
1775839410262067,3710934416,-28.625,31.4375,0,-9.5625
1775839415598895,3716372912,-28.625,31.1875,0,-9.625
1775839418850384,3719646147,-28.6875,31.125,0,-9.5625
1775839422195265,3722928214,-28.625,31.0,0,-9.75
1775839425381889,3726185931,-28.3125,31.125,0,-9.5
1775839428632422,3729438317,-28.1875,31.3125,0,-9.3125
1775839436252423,3737046312,-27.8125,31.1875,0,-9.0625
1775839440626403,3741403554,-27.5,31.375,0,-8.875
1775839442774372,3743577396,-27.5,31.375,0,-8.8125
1775839446043755,3746838131,-27.5625,31.1875,0,-8.875
1775839461269612,3762063313,-27.25,31.1875,0,-8.5625
1775839473232137,3774021937,-26.6875,31.3125,0,-8.1875
1775839476500400,3777261210,-26.75,31.1875,0,-8.25
1775839477619049,3778347897,-26.75,31.25,0,-8.3125
1775839484103577,3784912975,-26.375,31.3125,0,-8.0
1775839486294981,3787098009,-26.3125,31.375,0,-8.0
1775839491772583,3792556410,-26.125,31.375,0,-7.8125
1775839497205440,3797993379,-26.0,31.3125,0,-7.75
1775839498303779,3799077735,-26.0625,31.25,0,-7.8125
1775839510296756,3811037398,-25.4375,31.4375,0,-7.375
1775839512434354,3813229537,-25.375,31.625,0,-7.125
1775839514633712,3815425925,-25.1875,31.6875,0,-7.125
1775839520092771,3820875868,-24.9375,31.5625,0,-6.875
1775839522268031,3823066462,-24.875,31.625,0,-6.875
1775839523349984,3824153776,-24.9375,31.5625,0,-6.8125
1775839524440028,3825246406,-24.875,31.5625,0,-6.9375
1775839525545406,3826342708,-25.0625,31.5625,0,-7.0
1775839527722158,3828526405,-25.125,31.3125,0,-6.9375
1775839545171061,3845958263,-24.8125,31.125,0,-6.9375
1775839546311822,3847048736,-24.75,31.0625,0,-6.8125
1775839547350581,3848133904,-24.75,31.0,0,-6.8125
1775839553871469,3854639653,-24.375,31.25,0,-6.5
1775839557135368,3857925624,-24.0625,31.375,0,-6.25
1775839563677008,3864434396,-23.9375,31.3125,0,-6.1875
1775839565868702,3866620413,-23.6875,31.375,0,-6.0625
1775839566988773,3867699813,-23.6875,31.4375,0,-6.0
1775839569080514,3869868425,-23.6875,31.4375,0,-6.0625
1775839571264806,3872054673,-23.75,31.25,0,-6.1875
1775839573435999,3874233681,-23.8125,31.25,0,-6.25
1775839575631208,3876407509,-23.75,31.375,0,-5.9375
1775839581177414,3881870406,-23.625,31.375,0,-5.875
1775839590895748,3891682160,-23.0625,31.4375,0,-5.4375
1775839597416583,3898210980,-22.75,31.625,0,-5.1875
1775839600671497,3901472626,-22.5625,31.6875,0,-5.0625
1775839609422899,3910212410,-22.1875,31.6875,0,-4.75
1775839623553558,3924345182,-22.0,31.5625,0,-4.75
1775839631151524,3931941889,-21.625,31.875,0,-4.4375
1775839642057025,3942853342,-21.0625,31.9375,0,-4.0625
1775839646404420,3947194195,-21.0625,31.9375,0,-4.0
1775839648574635,3949370918,-21.0,32.0,0,-3.8125
1775839649691894,3950460324,-21.0,32.0625,0,-3.8125
1775839658393412,3959179397,-20.625,32.25,0,-3.5625
1775839663847823,3964621626,-20.375,32.1875,0,-3.5625
1775839668202185,3968976389,-20.5,32.125,0,-3.4375
1775839678009776,3978768399,-20.125,32.0625,0,-3.25
1775839680183037,3980950907,-20.0625,32.0625,0,-3.0625
1775839684539728,3985328229,-19.875,32.125,0,-2.75
1775839685642527,3986415771,-19.875,32.25,0,-2.875
1775839694359869,3995120412,-19.5,32.25,0,-2.5625
1775839696517631,3997305107,-19.4375,32.25,0,-2.625
1775839704141633,4004922354,-19.5,32.0625,0,-2.5625
1775839708502859,4009299518,-19.375,32.0,0,-2.625
1775839710691819,4011483760,-19.3125,32.0625,0,-2.4375
1775839713976076,4014776425,-19.125,32.125,0,-2.375
1775839721631197,4022416398,-18.75,32.4375,0,-1.875
1775839723795193,4024599979,-18.5625,32.4375,0,-1.8125
1775839728162392,4028963422,-18.5625,32.375,0,-1.8125
1775839733616070,4034413805,-18.4375,32.3125,0,-1.8125
1775839740197480,4040973050,-18.1875,32.3125,0,-1.6875
1775839751046285,4051843002,-18.0,32.4375,0,-1.3125
1775839764088601,4064862409,-17.5,32.4375,0,-1.1875
1775839771705004,4072493419,-17.25,32.4375,0,-0.6875
1775839773914198,4074682900,-17.25,32.3125,0,-0.8125
1775839776094885,4076861711,-17.25,32.4375,0,-0.625
1775839781517963,4082303974,-17.0625,32.4375,0,-0.5
1775839786951018,4087751733,-17.0625,32.4375,0,-0.5625
1775839801230298,4101958415,-16.5,32.375,0,0.125
1775839804429435,4105208278,-16.5625,32.3125,0,0.125
1775839807759751,4108447328,-16.4375,32.4375,0,0.125
1775839833773017,4134523885,-16.0625,32.3125,0,0.1875
1775839835992571,4136729835,-16.1875,32.25,0,0.125
1775839839236114,4139986226,-16.0,32.25,0,0.125
1775839843524781,4144321429,-16.0625,32.25,0,0.125
1775839847932070,4148664416,-16.0,32.1875,0,0.125
1775839856595204,4157358325,-15.75,32.1875,0,0.375
1775839857651868,4158447280,-15.75,32.1875,0,0.375
1775839861996266,4162791486,-15.75,32.25,0,0.4375
1775839863098283,4163886422,-15.75,32.125,0,0.5
