ts,run,state,depress,igniter,gn2_fill,lox_fill,gn2_drain,ereg_power,press_pilot,ms_since_boot,lox_disconnect
1774636800797508,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3054958,False
1774636802160979,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3056318,False
1774636802235093,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3056406,False
1774636804197955,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3058329,False
1774636804747432,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3058890,False
1774636806342928,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3060496,False
1774636806877518,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3061049,False
1774636807029204,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3061178,False
1774636807434472,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3061592,False
1774636808857767,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3063020,False
1774636808950163,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3063098,False
1774636809289667,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3063449,False
1774636809329604,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3063479,False
1774636809465662,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3063633,False
1774636810461284,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3064635,False
1774636812368529,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3066526,False
1774636813649501,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3067818,False
1774636813745222,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3067916,False
1774636815095650,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3069267,False
1774636817395157,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3071535,False
1774636818302793,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3072455,False
1774636818344737,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3072513,False
1774636818518549,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3072609,False
1774636820901746,False,"""GN2_PULSE_FILL_C""",False,False,True,False,False,False,False,3075054,False
1774636821106564,False,"""GN2_PULSE_FILL_C""",False,False,True,False,False,False,False,3075257,False
1774636821257224,False,"""GN2_PULSE_FILL_C""",True,False,True,False,False,False,False,3075418,False
1774636821359375,False,"""GN2_PULSE_FILL_C""",True,False,True,False,False,False,False,3075529,False
1774636823320119,False,"""GN2_PULSE_FILL_C""",False,False,True,False,False,False,False,3077469,False
1774636823629553,False,"""GN2_PULSE_FILL_C""",False,False,True,False,False,False,False,3077786,False
1774636823827137,False,"""GN2_PULSE_FILL_C""",False,False,True,False,False,False,False,3077994,False
1774636823901377,False,"""GN2_PULSE_FILL_C""",False,False,True,False,False,False,False,3078073,False
1774636823940254,False,"""GN2_PULSE_FILL_C""",False,False,True,False,False,False,False,3078094,False
1774636824433818,False,"""GN2_PULSE_FILL_C""",False,False,True,False,False,False,False,3078606,False
1774636824643547,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3078787,False
1774636824940474,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3079074,False
1774636824966446,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3079125,False
1774636826272025,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3080431,False
1774636827919022,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3082078,False
1774636828063180,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3082230,False
1774636828444352,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3082607,False
1774636829273528,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3083435,False
1774636830358355,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3084514,False
1774636831977382,False,"""GN2_STANDBY""",True,False,False,False,False,False,False,3086133,False
1774636832858921,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3086982,False
1774636833977706,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3088136,False
1774636834192995,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3088358,False
1774636834669423,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3088796,False
1774636834869245,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3089007,False
1774636835596594,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3089769,False
1774636835758792,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3089932,False
1774636835789889,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3089949,False
1774636836191996,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3090294,False
1774636836929964,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3091102,False
1774636837506690,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3091591,False
1774636837548476,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3091717,False
1774636838927392,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3093099,False
1774636839864606,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3094036,False
1774636840331108,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3094487,False
1774636841205397,False,"""GN2_STANDBY""",True,False,False,False,False,False,False,3095364,False
1774636841409388,False,"""GN2_STANDBY""",True,False,False,False,False,False,False,3095574,False
1774636841507514,False,"""GN2_STANDBY""",True,False,False,False,False,False,False,3095663,False
1774636841925881,False,"""GN2_STANDBY""",True,False,False,False,False,False,False,3096092,False
1774636843235731,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3097391,False
1774636843456791,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3097617,False
1774636843942668,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3098097,False
1774636844752644,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3098920,False
1774636845175135,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3099344,False
1774636846037430,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3100144,False
1774636846702230,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3100862,False
1774636847083633,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3101219,False
1774636847360966,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3101531,False
1774636848095792,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3102265,False
1774636848114882,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3102286,False
1774636848280682,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3102395,False
1774636848305271,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3102466,False
1774636849264815,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3103405,False
1774636850641110,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3104773,False
1774636850751808,False,"""GN2_STANDBY""",False,False,False,False,False,False,False,3104892,False
