ts,data
1774640400002938,24.9465
1774640400007165,24.9551
1774640400011623,24.9934
1774640400014996,25.0249
1774640400019029,24.9785
1774640400023445,24.9814
1774640400027106,24.9797
1774640400034597,25.0621
1774640400037396,25.0398
1774640400041091,25.0381
1774640400044980,25.0867
1774640400048988,25.1187
1774640400054984,25.0913
1774640400059039,25.0999
1774640400062988,25.1536
1774640400067069,25.1634
1774640400070932,25.1313
1774640400075040,25.1359
1774640400079167,25.1845
1774640400082996,25.2057
1774640400086942,25.176
1774640400091480,25.1565
1774640400095286,25.2206
1774640400099396,25.2486
1774640400103059,25.2034
1774640400108984,25.1931
1774640400113182,25.2498
1774640400119007,25.2069
1774640400123436,25.1765
1774640400127044,25.1948
1774640400131019,25.1897
1774640400136525,25.1348
1774640400141529,25.0684
1774640400144929,25.1044
1774640400148979,25.0421
1774640400154946,25.0226
1774640400158939,25.0175
1774640400164924,24.9991
1774640400169139,24.9557
1774640400173687,24.9179
1774640400178202,24.9047
1774640400181557,24.9225
1774640400184904,24.8595
1774640400190303,24.8275
1774640400194015,24.8132
1774640400196939,24.8526
1774640400201524,24.8406
1774640400206668,24.8063
1774640400211348,24.8177
1774640400218402,24.8217
1774640400221373,24.8252
1774640400225540,24.8086
1774640400228964,24.8309
1774640400234635,24.8389
1774640400236955,24.8343
1774640400243037,24.8401
1774640400247281,24.8761
1774640400250948,24.8933
1774640400254919,24.9156
1774640400259204,24.9522
1774640400262914,24.9928
1774640400267125,24.9791
1774640400270949,24.9991
1774640400274931,25.0295
1774640400278979,25.0924
1774640400283226,25.0867
1774640400286936,25.0684
1774640400290934,25.0987
1774640400294931,25.1565
1774640400298973,25.1416
1774640400302959,25.1285
1774640400306962,25.1348
1774640400310971,25.1668
1774640400315006,25.1536
1774640400318933,25.133
1774640400324920,25.1439
1774640400329225,25.1966
1774640400332992,25.1554
1774640400338332,25.1279
1774640400342732,25.176
1774640400351005,25.1073
1774640400354943,25.0976
1774640400358944,25.1227
1774640400363030,25.1771
1774640400366974,25.1456
1774640400370981,25.0793
1774640400374998,25.0976
1774640400378931,25.1502
1774640400383826,25.1119
1774640400386971,25.0815
1774640400393614,25.1519
1774640400397114,25.1176
1774640400400990,25.1062
1774640400406884,25.1079
1774640400410884,25.1708
1774640400414948,25.1582
1774640400420342,25.1462
1774640400422988,25.1325
1774640400427233,25.1548
1774640400430874,25.1874
1774640400436290,25.1886
1774640400438867,25.1811
1774640400445400,25.2475
1774640400448945,25.2166
1774640400453982,25.2
1774640400457569,25.1983
1774640400461070,25.2624
1774640400465656,25.2549
1774640400468872,25.2332
1774640400473093,25.1971
1774640400477003,25.2481
1774640400480888,25.2046
1774640400485190,25.1777
1774640400489641,25.1554
1774640400494514,25.1639
1774640400497923,25.1908
1774640400500864,25.1325
1774640400504902,25.1062
1774640400508858,25.1113
1774640400512866,25.1233
1774640400516842,25.0649
1774640400520962,25.0175
1774640400524892,25.0255
1774640400529044,24.9883
1774640400536419,24.9591
1774640400540505,24.9373
1774640400545892,24.9528
1774640400549073,24.8847
1774640400552838,24.8378
1774640400556987,24.8481
1774640400563042,24.8835
1774640400567703,24.8378
1774640400571402,24.7886
1774640400575835,24.8109
1774640400578859,24.8258
1774640400584855,24.7903
1774640400588861,24.7708
1774640400594652,24.8435
1774640400598979,24.8137
1774640400602965,24.8246
1774640400607226,24.8092
1774640400611062,24.8881
1774640400614970,24.871
1774640400619506,24.8916
1774640400624929,24.9385
1774640400628906,24.9888
1774640400632934,24.9608
1774640400640439,24.9728
1774640400642852,25.0226
1774640400647006,25.0443
1774640400651065,25.0461
1774640400655325,25.0518
1774640400658809,25.105
1774640400663275,25.1559
1774640400666872,25.1388
1774640400671077,25.1393
1774640400675211,25.2034
1774640400678816,25.2361
1774640400682861,25.2097
1774640400686939,25.208
1774640400691837,25.2401
1774640400694859,25.2635
1774640400699231,25.2034
1774640400705223,25.2006
1774640400709559,25.2515
1774640400713749,25.2698
1774640400717486,25.2172
1774640400720863,25.176
1774640400724806,25.2183
1774640400729324,25.2498
1774640400732853,25.212
1774640400736870,25.1508
1774640400744635,25.2029
1774640400748834,25.1462
1774640400752835,25.1302
1774640400757190,25.1153
1774640400760905,25.1531
1774640400764831,25.1062
1774640400770868,25.0684
1774640400774977,25.1039
1774640400778820,25.1193
1774640400784750,25.0712
1774640400790078,25.0375
1774640400793033,25.0747
1774640400796846,25.0827
1774640400800841,25.0323
1774640400805786,25.0083
1774640400810974,25.0495
1774640400814786,25.0083
1774640400820235,25.0031
1774640400822810,24.99
1774640400826797,25.034
1774640400830852,25.0009
1774640400835314,25.0037
1774640400840174,24.998
1774640400843023,25.0312
1774640400847321,25.0318
1774640400850846,24.9763
1774640400854777,24.9785
1774640400858857,25.0197
1774640400865376,24.9539
1774640400868816,24.9339
1774640400874767,24.982
1774640400879067,24.9642
1774640400886181,24.9099
1774640400888829,24.9019
1774640400893757,24.9276
1774640400897996,24.9041
1774640400900805,24.8401
1774640400905140,24.8326
1774640400908789,24.8555
1774640400914782,24.8086
1774640400918792,24.7897
1774640400922810,24.7908
1774640400926824,24.828
1774640400930789,24.7714
1774640400935910,24.7531
1774640400938850,24.7393
1774640400942861,24.784
1774640400947379,24.7227
1774640400951012,24.7142
1774640400955021,24.7302
1774640400959616,24.78
1774640400964766,24.7348
1774640400968796,24.7405
1774640400972779,24.7657
1774640400978124,24.808
1774640400983231,24.7794
1774640400986968,24.7977
1774640400990740,24.8584
1774640400995427,24.8687
1774640400998812,24.8555
1774640401002821,24.8486
1774640401007281,24.8904
1774640401010945,24.9665
1774640401015050,24.966
1774640401019054,24.9991
1774640401026790,25.0644
1774640401031017,25.0621
1774640401035091,25.0667
1774640401038768,25.0884
1774640401042761,25.1519
1774640401047331,25.1411
1774640401050730,25.129
1774640401054790,25.1491
1774640401059017,25.204
1774640401062727,25.176
1774640401067987,25.1571
1774640401071999,25.1622
1774640401074757,25.1966
1774640401078770,25.168
1774640401082815,25.1571
1774640401086940,25.1382
1774640401090759,25.1851
1774640401099000,25.1159
1774640401103474,25.0775
1774640401106764,25.0775
1774640401111026,25.0575
1774640401114742,25.0318
1774640401118820,24.9951
1774640401122730,25.0077
1774640401128764,24.9602
1774640401132763,24.9202
1774640401137834,24.8944
1774640401140789,24.9328
1774640401147212,24.8887
1774640401151028,24.8195
1774640401154862,24.8286
1774640401158785,24.867
1774640401162764,24.8258
1774640401166957,24.8011
1774640401171965,24.784
1774640401174951,24.8126
1774640401178752,24.7737
1774640401182745,24.7674
1774640401186771,24.7599
1774640401191040,24.8349
1774640401194762,24.8092
1774640401198759,24.7943
1774640401202785,24.7731
1774640401207050,24.7845
1774640401211228,24.7954
1774640401215947,24.7994
1774640401218721,24.7783
1774640401222736,24.7994
1774640401226947,24.8498
1774640401231417,24.7931
1774640401234765,24.7777
1774640401238880,24.8011
1774640401243946,24.8366
1774640401246865,24.8017
1774640401251031,24.7817
1774640401254712,24.8023
1774640401258742,24.7708
1774640401265477,24.7451
1774640401268703,24.7359
1774640401274727,24.7725
1774640401278729,24.7176
1774640401282955,24.7084
1774640401286936,24.6947
1774640401290728,24.7113
1774640401295103,24.6661
1774640401298702,24.6489
1774640401302793,24.6226
1774640401306738,24.6564
1774640401310740,24.6438
1774640401314963,24.6409
1774640401318865,24.6146
1774640401322740,24.6564
1774640401327671,24.6896
1774640401331547,24.6398
1774640401334699,24.6461
1774640401339421,24.6907
1774640401344118,24.7393
1774640401346753,24.7113
1774640401350857,24.7239
1774640401355380,24.7783
1774640401359065,24.8252
1774640401363335,24.8137
1774640401366770,24.828
1774640401370700,24.8881
1774640401374844,24.9471
1774640401380164,24.9316
1774640401383514,24.9562
1774640401386946,25.0129
1774640401390734,25.0438
1774640401395379,25.0283
1774640401399033,25.0403
1774640401402731,25.0466
1774640401406800,25.0987
1774640401410704,25.1096
1774640401415006,25.1273
1774640401418671,25.1285
1774640401422703,25.1577
1774640401426710,25.1891
1774640401430783,25.1336
1774640401435160,25.1205
1774640401439906,25.1565
1774640401442701,25.1737
1774640401448424,25.0587
1774640401452847,25.0335
1774640401457166,25.0587
1774640401461786,25.0009
1774640401465004,24.9631
1774640401468784,24.923
1774640401474394,24.9459
1774640401478974,24.8664
1774640401482706,24.7926
1774640401488651,24.8097
1774640401492986,24.7937
1774640401496722,24.6987
1774640401502982,24.6695
1774640401506671,24.6878
1774640401510818,24.6289
1774640401514754,24.622
1774640401518700,24.6037
1774640401522709,24.6323
1774640401527057,24.6203
1774640401531145,24.5436
1774640401534745,24.5534
1774640401538683,24.6014
1774640401543728,24.5877
1774640401546677,24.5425
1774640401550818,24.5579
1774640401556126,24.5997
1774640401559074,24.6049
1774640401563819,24.5768
1774640401566666,24.5791
1774640401570703,24.6398
1774640401574874,24.6581
1774640401578678,24.6506
1774640401582721,24.6546
1774640401586831,24.6581
1774640401590711,24.7376
1774640401595032,24.7165
1774640401598629,24.7147
1774640401602973,24.7227
1774640401606653,24.768
1774640401610650,24.7491
1774640401615260,24.7399
1774640401619386,24.7468
1774640401622699,24.796
1774640401626645,24.7937
1774640401630787,24.7519
1774640401636725,24.8011
1774640401641449,24.7771
1774640401644822,24.7559
1774640401648658,24.7456
1774640401652678,24.7428
1774640401656701,24.772
1774640401661026,24.7182
1774640401665007,24.7119
1774640401668996,24.7102
1774640401672751,24.7336
1774640401677451,24.6987
1774640401682006,24.6764
1774640401685537,24.6821
1774640401690284,24.7153
1774640401692659,24.693
1774640401697348,24.6678
1774640401700942,24.6672
1774640401704766,24.7136
1774640401709013,24.6999
1774640401712942,24.6833
1774640401716783,24.6861
1774640401720860,24.7508
1774640401724792,24.7393
1774640401728636,24.7256
1774640401732683,24.7279
1774640401737188,24.7622
1774640401740764,24.7977
1774640401744622,24.7891
1774640401748629,24.796
1774640401752768,24.8338
1774640401756651,24.8921
1774640401760655,24.8704
1774640401764668,24.871
1774640401768644,24.9082
1774640401774673,24.9385
1774640401781219,24.9219
1774640401784640,24.9339
1774640401789381,24.9808
1774640401793048,24.9482
1774640401796596,24.9082
1774640401801679,24.9213
1774640401805657,24.9722
1774640401808897,24.9391
1774640401813872,24.9024
1774640401816953,24.8778
1774640401820679,24.9019
1774640401824813,24.8589
1774640401831002,24.792
1774640401834677,24.7823
1774640401839079,24.8097
1774640401842670,24.7582
1774640401848799,24.6913
1774640401852603,24.6976
1774640401857332,24.6993
1774640401860848,24.6077
1774640401864609,24.5803
1774640401868639,24.5717
1774640401872816,24.59
1774640401876675,24.5425
1774640401880666,24.4881
1774640401886136,24.4956
1774640401888618,24.5207
1774640401892680,24.4584
1774640401897734,24.4475
1774640401902765,24.4612
1774640401906956,24.4578
1774640401910624,24.4401
1774640401914605,24.4361
1774640401919846,24.4715
1774640401922906,24.5333
1774640401926639,24.4927
1774640401931808,24.4675
1774640401934654,24.5133
1774640401938682,24.5602
1774640401943087,24.5328
1774640401946604,24.5431
1774640401952089,24.5928
1774640401954858,24.6455
1774640401958701,24.61
1774640401962873,24.6237
1774640401967048,24.669
1774640401970695,24.7182
1774640401974698,24.6924
1774640401978960,24.7016
1774640401983257,24.7514
1774640401989390,24.7914
1774640401992888,24.7565
1774640401996829,24.7588
1774640402000710,24.7886
1774640402005168,24.8052
1774640402008663,24.7737
1774640402013014,24.7811
1774640402016672,24.7725
1774640402021339,24.8097
1774640402024653,24.7639
1774640402029677,24.7468
1774640402032651,24.7411
1774640402036660,24.7634
1774640402040673,24.7342
1774640402044905,24.7371
1774640402049111,24.7285
1774640402052746,24.7571
1774640402056676,24.7857
1774640402060690,24.7325
1774640402064903,24.7165
1774640402068650,24.7559
1774640402072703,24.768
1774640402076661,24.7268
1774640402080637,24.7187
1774640402084912,24.7599
1774640402088673,24.78
1774640402092675,24.7336
1774640402096697,24.7348
1774640402100971,24.7714
1774640402104635,24.788
1774640402108733,24.7617
1774640402112639,24.7577
1774640402116656,24.7559
1774640402120647,24.8258
1774640402124678,24.7851
1774640402129175,24.7783
1774640402132786,24.7691
1774640402137831,24.8155
1774640402141530,24.8172
1774640402144606,24.8052
1774640402148857,24.7989
1774640402152627,24.8395
1774640402157335,24.8595
1774640402160539,24.7914
1774640402164770,24.7828
1774640402169179,24.8149
1774640402172850,24.8189
1774640402176668,24.7731
1774640402180658,24.7371
1774640402184968,24.7445
1774640402188582,24.7468
1774640402192947,24.6993
1774640402196528,24.6758
1774640402200599,24.6569
1774640402206072,24.6867
1774640402208640,24.6209
1774640402212978,24.5854
1774640402216583,24.5705
1774640402221074,24.6037
1774640402224685,24.5333
1774640402229108,24.5001
1774640402232598,24.4835
1774640402236587,24.5173
1774640402240519,24.5076
1774640402248066,24.4063
1774640402250536,24.4412
1774640402254541,24.4235
1774640402258751,24.3834
1774640402263004,24.3754
1774640402270542,24.4023
1774640402274525,24.3674
1774640402280528,24.3954
1774640402285814,24.4435
1774640402288877,24.416
1774640402294587,24.4069
1774640402302975,24.5047
1774640402306532,24.5196
1774640402310541,24.4927
