ts,data
1776448800003667,-23.0808
1776448800008180,-23.383
1776448800011496,-22.8029
1776448800015560,-22.4412
1776448800019552,-23.1075
1776448800023965,-23.3649
1776448800027512,-22.7264
1776448800031475,-22.1616
1776448800035531,-22.3147
1776448800039492,-23.2838
1776448800043850,-22.6181
1776448800047919,-21.9682
1776448800051449,-22.1644
1776448800055449,-22.7837
1776448800059536,-22.4604
1776448800063493,-21.8236
1776448800067483,-21.928
1776448800071464,-22.5824
1776448800075544,-22.8982
1776448800079605,-21.6751
1776448800083742,-21.8418
1776448800087497,-22.4712
1776448800091508,-22.8024
1776448800095631,-22.2155
1776448800099467,-21.7857
1776448800103431,-22.461
1776448800107472,-22.7956
1776448800111468,-22.2217
1776448800115661,-21.6456
1776448800120005,-22.5069
1776448800123501,-22.8755
1776448800127436,-22.2767
1776448800131561,-21.6921
1776448800135470,-21.8571
1776448800139541,-22.9362
1776448800143721,-22.3635
1776448800147576,-21.7579
1776448800151482,-21.9529
1776448800156071,-22.6425
1776448800160005,-22.4383
1776448800163474,-21.8407
1776448800167484,-22.0074
1776448800172083,-22.7275
1776448800175446,-23.0632
1776448800180099,-21.9251
1776448800183785,-22.1287
1776448800187751,-22.8052
1776448800191484,-23.1778
1776448800196104,-22.5722
1776448800199910,-22.2194
1776448800203462,-22.9379
1776448800207443,-23.2691
1776448800211466,-22.7321
1776448800216038,-22.1123
1776448800219572,-22.9957
1776448800223576,-23.3388
1776448800227443,-22.7496
1776448800231465,-22.1945
1776448800235547,-22.3465
1776448800239619,-23.3156
1776448800243514,-22.7179
1776448800247492,-22.1032
1776448800251483,-23.0014
1776448800257526,-23.2521
1776448800261484,-22.6493
1776448800265500,-22.1803
1776448800269497,-22.926
1776448800273520,-23.2458
1776448800278272,-22.5665
1776448800281475,-21.9518
1776448800285505,-22.1299
1776448800289430,-23.1829
1776448800293563,-22.5551
1776448800297482,-21.8979
1776448800302104,-22.0998
1776448800305480,-22.812
1776448800309497,-22.5257
1776448800313500,-21.8855
1776448800318408,-22.0386
1776448800321540,-22.7803
1776448800325600,-23.0933
1776448800329513,-21.865
1776448800333591,-22.0346
1776448800337490,-22.7241
1776448800342080,-23.091
1776448800345489,-22.4355
1776448800350081,-21.9983
1776448800353900,-22.7009
1776448800357504,-23.0162
1776448800361515,-22.4315
1776448800365704,-21.9473
1776448800369498,-22.7117
1776448800374166,-23.0275
1776448800377644,-22.3822
1776448800382163,-21.8146
1776448800385971,-21.9892
1776448800389424,-23.0921
1776448800393613,-22.4599
1776448800397377,-21.8667
1776448800401395,-22.1213
1776448800405902,-22.8064
1776448800409407,-22.5585
1776448800413488,-21.9495
1776448800417436,-22.1514
1776448800421416,-22.9356
1776448800425621,-23.2084
1776448800429734,-22.0714
1776448800434074,-22.254
1776448800437411,-22.9668
1776448800441572,-23.3468
1776448800446972,-22.6901
1776448800449405,-22.3141
1776448800453415,-23.0099
1776448800457613,-23.315
1776448800461681,-22.757
1776448800465448,-22.1537
1776448800469420,-23.0712
1776448800473476,-23.3246
1776448800477391,-22.6827
1776448800481397,-22.1599
1776448800485656,-22.4145
1776448800489424,-23.3706
1776448800493466,-22.6708
1776448800497468,-22.076
1776448800501398,-22.364
1776448800505409,-23.1046
