ts,ts.1,lox_lower_celsius,lox_upper_celsius,gn2_external_celsius,gn2_internal_celsius
1776448801343830,2249619884,-81.5,35.75,0,28.6875
1776448802418614,2250694468,-81.8125,35.625,0,28.75
1776448803486728,2251775322,-81.6875,35.5625,0,28.625
1776448818608771,2266934470,-81.4375,35.4375,0,28.625
1776448823984745,2272281475,-81.3125,35.3125,0,28.8125
1776448829521065,2277695791,-81.25,35.3125,0,28.9375
1776448844799669,2292792382,-81.3125,35.0,0,29.1875
1776448850203891,2298204852,-81.3125,34.9375,0,29.25
1776448854499158,2302524470,-81.3125,34.875,0,29.3125
1776448858845181,2306868754,-81.3125,34.8125,0,29.4375
1776448861021183,2309027369,-81.1875,34.75,0,29.4375
1776448863139709,2311180411,-81.125,34.75,0,29.5625
1776448866434517,2314419660,-81.0625,34.75,0,29.625
1776448880096986,2328397010,-80.875,34.75,0,29.875
1776448881141292,2329465514,-80.875,34.625,0,29.875
1776448882266939,2330547632,-81.0,34.625,0,29.875
1776448885448364,2333779958,-81.0,34.6875,0,30.0
1776448890901465,2339213180,-80.8125,34.75,0,30.1875
1776448898440694,2346767265,-80.9375,34.5625,0,30.1875
1776448908187594,2356521638,-80.8125,34.625,0,30.5
1776448909296551,2357601471,-80.8125,34.5625,0,30.5
1776448917013537,2365144683,-80.9375,34.5,0,30.5625
1776448919177978,2367296810,-80.75,34.5,0,30.625
1776448927806649,2375889744,-80.9375,34.375,0,30.625
1776448928891551,2376973950,-80.875,34.25,0,30.5625
1776448932241623,2380224770,-81.125,33.9375,0,30.375
1776448938714238,2386701467,-81.125,33.875,0,30.3125
1776448948302997,2396411933,-81.1875,33.8125,0,30.25
1776448960282619,2408280266,-80.75,33.8125,0,30.375
1776448971031315,2419124748,-80.9375,33.75,0,30.4375
1776448972119861,2420205474,-80.9375,33.75,0,30.375
1776448984087909,2432091687,-81.0625,33.5,0,30.1875
1776448987337799,2435339602,-81.25,33.4375,0,30.1875
1776448994800024,2442916174,-81.375,33.1875,0,30.0
1776448998001852,2446153940,-81.4375,33.25,0,29.9375
1776448999114004,2447241852,-81.25,33.25,0,30.0
1776449014278818,2462390030,-81.6875,32.875,0,29.6875
1776449018592747,2466730470,-81.75,32.8125,0,29.625
1776449028370884,2476437427,-81.875,32.625,0,29.5
1776449029518262,2477526614,-81.875,32.6875,0,29.4375
1776449031716522,2479692477,-81.8125,32.6875,0,29.5
1776449038007451,2486189946,-81.9375,32.6875,0,29.375
1776449050022775,2498028463,-82.125,32.3125,0,29.125
1776449054346371,2502352451,-82.125,32.25,0,29.1875
1776449059803082,2507786318,-82.25,32.25,0,29.125
1776449060882618,2508859395,-82.25,32.25,0,29.1875
1776449071545934,2519653904,-82.375,32.25,0,29.0625
1776449072638373,2520733613,-82.4375,32.1875,0,29.0625
1776449076937937,2525035501,-82.3125,32.1875,0,29.125
1776449082467031,2530478461,-82.25,32.25,0,29.125
1776449086797935,2534791469,-82.25,32.1875,0,29.1875
1776449098710737,2546704391,-82.0,32.25,0,29.3125
1776449099753902,2547785363,-82.0,32.25,0,29.3125
