ts,ts.1,lox_lower_celsius,lox_upper_celsius,gn2_external_celsius,gn2_internal_celsius
1775838001795585,2302597388,-73.1875,28.8125,0,-72.8125
1775838011583420,2312372368,-84.75,28.8125,0,-82.5625
1775838014851493,2315635409,-84.875,28.8125,0,-85.5625
1775838018102485,2318918128,-84.75,28.875,0,-85.8125
1775838030088631,2330904230,-84.8125,28.5625,0,-85.8125
1775838033363622,2334157968,-84.6875,28.75,0,-85.6875
1775838039939329,2340710728,-84.5625,28.75,0,-85.75
1775838043321763,2343953418,-84.875,28.5625,0,-86.125
1775838053189589,2353747230,-85.3125,28.375,0,-86.3125
1775838061986322,2362470426,-85.1875,28.25,0,-85.4375
1775838065197172,2365707410,-84.8125,28.25,0,-85.0625
1775838067297573,2367877636,-84.5625,28.375,0,-84.625
1775838068393241,2368955798,-84.4375,28.25,0,-84.375
1775838069492471,2370059333,-84.25,28.375,0,-84.3125
1775838070595861,2371163881,-84.25,28.3125,0,-84.1875
1775838077166708,2377698256,-83.5,28.3125,0,-83.0625
1775838080319614,2380964478,-83.125,28.4375,0,-82.5
1775838088924394,2389658409,-82.375,27.4375,0,-80.875
1775838092224430,2392918345,-81.9375,26.3125,0,-80.3125
1775838093341686,2393995402,-81.75,25.875,0,-80.125
1775838106292884,2407013918,-80.625,21.8125,0,-78.0625
1775838113966853,2414649658,-79.9375,21.0625,0,-76.875
1775838119332391,2420062662,-79.625,21.125,0,-75.9375
1775838120378160,2421146418,-79.5,21.25,0,-75.75
1775838121446669,2422255761,-79.3125,21.1875,0,-75.625
1775838125813073,2426608918,-79.1875,21.3125,0,-74.9375
1775838129060167,2429865395,-78.8125,21.5,0,-74.375
1775838138901816,2439688970,-78.0,21.75,0,-73.1875
1775838141043228,2441853774,-77.3125,21.8125,0,-73.0
1775838142145271,2442935364,-77.0,21.9375,0,-72.875
1775838145372446,2446188406,-77.3125,22.0,0,-72.6875
1775838146465432,2447271289,-77.875,22.0625,0,-73.1875
1775838148674605,2449449484,-78.8125,22.125,0,-74.0
1775838154102377,2454902399,-83.5,22.1875,0,-79.0625
