ts,run,state,depress,igniter,gn2_fill,lox_fill,gn2_drain,ereg_power,press_pilot,ms_since_boot,lox_disconnect
1773431400065620,False,"""STANDBY""",False,False,False,False,False,False,False,11004476,False
1773431400172675,False,"""STANDBY""",False,False,False,False,False,False,False,11004584,False
1773431400275269,False,"""STANDBY""",False,False,False,False,False,False,False,11004687,False
1773431400483819,False,"""STANDBY""",False,False,False,False,False,False,False,11004899,False
1773431400591370,False,"""STANDBY""",False,False,False,False,False,False,False,11004993,False
1773431400690051,False,"""STANDBY""",False,False,False,False,False,False,False,11005102,False
1773431400905773,False,"""STANDBY""",False,False,False,False,False,False,False,11005321,False
1773431401012516,False,"""STANDBY""",False,False,False,False,False,False,False,11005394,False
1773431401109380,False,"""STANDBY""",False,False,False,False,False,False,False,11005523,False
1773431401225483,False,"""STANDBY""",False,False,False,False,False,False,False,11005606,False
1773431401333100,False,"""STANDBY""",False,False,False,False,False,False,False,11005740,False
1773431401441344,False,"""STANDBY""",False,False,False,False,False,False,False,11005853,False
1773431401577537,False,"""STANDBY""",False,False,False,False,False,False,False,11005986,False
1773431401681423,False,"""STANDBY""",False,False,False,False,False,False,False,11006089,False
1773431401780189,False,"""STANDBY""",False,False,False,False,False,False,False,11006188,False
1773431401881867,False,"""STANDBY""",False,False,False,False,False,False,False,11006285,False
1773431402000603,False,"""STANDBY""",False,False,False,False,False,False,False,11006379,False
1773431402103569,False,"""STANDBY""",False,False,False,False,False,False,False,11006495,False
1773431402218478,False,"""STANDBY""",False,False,False,False,False,False,False,11006621,False
1773431402679657,False,"""STANDBY""",False,False,False,False,False,False,False,11007097,False
1773431402861521,False,"""STANDBY""",False,False,False,False,False,False,False,11007225,False
1773431402983307,False,"""STANDBY""",False,False,False,False,False,False,False,11007375,False
1773431403366266,False,"""STANDBY""",False,False,False,False,False,False,False,11007764,False
1773431403505807,False,"""STANDBY""",False,False,False,False,False,False,False,11007914,False
1773431403597319,False,"""STANDBY""",False,False,False,False,False,False,False,11008017,False
1773431403712168,False,"""STANDBY""",False,False,False,False,False,False,False,11008115,False
1773431403810609,False,"""STANDBY""",False,False,False,False,False,False,False,11008218,False
1773431403902047,False,"""STANDBY""",False,False,False,False,False,False,False,11008319,False
1773431404006644,False,"""STANDBY""",False,False,False,False,False,False,False,11008415,False
1773431404264114,False,"""STANDBY""",False,False,False,False,False,False,False,11008675,False
1773431404605289,False,"""STANDBY""",False,False,False,False,False,False,False,11009010,False
1773431404711505,False,"""STANDBY""",False,False,False,False,False,False,False,11009122,False
1773431404814437,False,"""STANDBY""",False,False,False,False,False,False,False,11009227,False
1773431404919610,False,"""STANDBY""",False,False,False,False,False,False,False,11009333,False
1773431405168513,False,"""STANDBY""",False,False,False,False,False,False,False,11009580,False
1773431405286980,False,"""STANDBY""",False,False,False,False,False,False,False,11009701,False
1773431405404046,False,"""STANDBY""",False,False,False,False,False,False,False,11009796,False
1773431405654392,False,"""STANDBY""",False,False,False,False,False,False,False,11010063,False
1773431405758580,False,"""STANDBY""",False,False,False,False,False,False,False,11010161,False
1773431405878563,False,"""STANDBY""",False,False,False,False,False,False,False,11010295,False
1773431406050401,False,"""STANDBY""",False,False,False,False,False,False,False,11010420,False
1773431406163803,False,"""STANDBY""",False,False,False,False,False,False,False,11010561,False
1773431406286156,False,"""STANDBY""",False,False,False,False,False,False,False,11010689,False
1773431406390733,False,"""STANDBY""",False,False,False,False,False,False,False,11010792,False
1773431406592480,False,"""STANDBY""",False,False,False,False,False,False,False,11011004,False
1773431406689385,False,"""STANDBY""",False,False,False,False,False,False,False,11011100,False
1773431406801355,False,"""STANDBY""",False,False,False,False,False,False,False,11011209,False
1773431406933539,False,"""STANDBY""",False,False,False,False,False,False,False,11011347,False
1773431407163252,False,"""STANDBY""",False,False,False,False,False,False,False,11011568,False
1773431407273787,False,"""STANDBY""",False,False,False,False,False,False,False,11011684,False
1773431407373628,False,"""STANDBY""",False,False,False,False,False,False,False,11011771,False
1773431407620030,False,"""STANDBY""",False,False,False,False,False,False,False,11012030,False
1773431407745213,False,"""STANDBY""",False,False,False,False,False,False,False,11012143,False
1773431407867086,False,"""STANDBY""",False,False,False,False,False,False,False,11012282,False
1773431407959065,False,"""STANDBY""",False,False,False,False,False,False,False,11012376,False
1773431408077665,False,"""STANDBY""",False,False,False,False,False,False,False,11012483,False
1773431408180695,False,"""STANDBY""",False,False,False,False,False,False,False,11012588,False
1773431408286413,False,"""STANDBY""",False,False,False,False,False,False,False,11012682,False
1773431408408540,False,"""STANDBY""",False,False,False,False,False,False,False,11012817,False
1773431408509374,False,"""STANDBY""",False,False,False,False,False,False,False,11012921,False
1773431408614115,False,"""STANDBY""",False,False,False,False,False,False,False,11013025,False
1773431408717055,False,"""STANDBY""",False,False,False,False,False,False,False,11013135,False
1773431408837619,False,"""STANDBY""",False,False,False,False,False,False,False,11013247,False
1773431408947590,False,"""STANDBY""",False,False,False,False,False,False,False,11013357,False
1773431409045637,False,"""STANDBY""",False,False,False,False,False,False,False,11013457,False
1773431409155581,False,"""STANDBY""",False,False,False,False,False,False,False,11013562,False
1773431409273378,False,"""STANDBY""",False,False,False,False,False,False,False,11013681,False
1773431409382086,False,"""STANDBY""",False,False,False,False,False,False,False,11013785,False
1773431409509848,False,"""STANDBY""",False,False,False,False,False,False,False,11013900,False
1773431409621172,False,"""STANDBY""",False,False,False,False,False,False,False,11013989,False
1773431409741041,False,"""STANDBY""",False,False,False,False,False,False,False,11014121,False
1773431409857286,False,"""STANDBY""",False,False,False,False,False,False,False,11014275,False
1773431410025089,False,"""STANDBY""",False,False,False,False,False,False,False,11014398,False
1773431410275967,False,"""STANDBY""",False,False,False,False,False,False,False,11014686,False
1773431410398364,False,"""STANDBY""",False,False,False,False,False,False,False,11014756,False
1773431410661331,False,"""STANDBY""",False,False,False,False,False,False,False,11015062,False
1773431410771718,False,"""STANDBY""",False,False,False,False,False,False,False,11015174,False
1773431410888309,False,"""STANDBY""",False,False,False,False,False,False,False,11015270,False
1773431411006763,False,"""STANDBY""",False,False,False,False,False,False,False,11015380,False
1773431411137449,False,"""STANDBY""",False,False,False,False,False,False,False,11015553,False
1773431411258010,False,"""STANDBY""",False,False,False,False,False,False,False,11015635,False
1773431411380450,False,"""STANDBY""",False,False,False,False,False,False,False,11015751,False
1773431411485349,False,"""STANDBY""",False,False,False,False,False,False,False,11015899,False
1773431411603165,False,"""STANDBY""",False,False,False,False,False,False,False,11015992,False
1773431411705680,False,"""STANDBY""",False,False,False,False,False,False,False,11016117,False
1773431411835435,False,"""STANDBY""",False,False,False,False,False,False,False,11016243,False
1773431411933452,False,"""STANDBY""",False,False,False,False,False,False,False,11016346,False
1773431412045258,False,"""STANDBY""",False,False,False,False,False,False,False,11016457,False
1773431412293939,False,"""STANDBY""",False,False,False,False,False,False,False,11016662,False
1773431412397012,False,"""STANDBY""",False,False,False,False,False,False,False,11016807,False
1773431412507859,False,"""STANDBY""",False,False,False,False,False,False,False,11016917,False
1773431412644461,False,"""STANDBY""",False,False,False,False,False,False,False,11017015,False
1773431412748762,False,"""STANDBY""",False,False,False,False,False,False,False,11017120,False
1773431412998162,False,"""STANDBY""",False,False,False,False,False,False,False,11017379,False
1773431413237067,False,"""STANDBY""",False,False,False,False,False,False,False,11017617,False
1773431413353528,False,"""STANDBY""",False,False,False,False,False,False,False,11017726,False
1773431413627962,False,"""STANDBY""",False,False,False,False,False,False,False,11017972,False
1773431413777738,False,"""STANDBY""",False,False,False,False,False,False,False,11018190,False
1773431413920438,False,"""STANDBY""",False,False,False,False,False,False,False,11018326,False
1773431414140720,False,"""STANDBY""",False,False,False,False,False,False,False,11018547,False
1773431414242018,False,"""STANDBY""",False,False,False,False,False,False,False,11018645,False
1773431414350678,False,"""STANDBY""",False,False,False,False,False,False,False,11018760,False
1773431414562566,False,"""STANDBY""",False,False,False,False,False,False,False,11018978,False
1773431414665022,False,"""STANDBY""",False,False,False,False,False,False,False,11019068,False
1773431414786417,False,"""STANDBY""",False,False,False,False,False,False,False,11019192,False
1773431414898807,False,"""STANDBY""",False,False,False,False,False,False,False,11019299,False
1773431415061266,False,"""STANDBY""",False,False,False,False,False,False,False,11019463,False
