ts,run,state,depress,igniter,gn2_fill,lox_fill,gn2_drain,ereg_power,press_pilot,ms_since_boot,lox_disconnect
1774639200517172,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5454667,False
1774639201288732,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5455374,False
1774639201723095,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5455867,False
1774639201841155,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5455927,False
1774639202592965,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5456747,False
1774639203261926,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5457367,False
1774639203373967,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5457517,False
1774639203539370,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5457697,False
1774639203689845,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5457837,False
1774639204627622,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5458787,False
1774639206003115,False,"""GN2_STANDBY""",True,False,False,True,False,False,False,5460152,False
1774639206231167,False,"""GN2_STANDBY""",True,False,False,True,False,False,False,5460387,False
1774639207285914,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5461442,False
1774639207420427,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5461556,False
1774639208821977,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5462960,False
1774639208898226,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5463057,False
1774639209745855,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5463896,False
1774639211984156,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5466113,False
1774639212208334,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5466366,False
1774639212304822,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5466460,False
1774639212932786,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5467093,False
1774639213597392,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5467730,False
1774639214127710,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5468254,False
1774639215215796,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5469364,False
1774639215303510,False,"""GN2_STANDBY""",True,False,False,True,False,False,False,5469462,False
1774639215639772,False,"""GN2_STANDBY""",True,False,False,True,False,False,False,5469767,False
1774639216269408,False,"""GN2_STANDBY""",True,False,False,True,False,False,False,5470412,False
1774639216301058,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5470460,False
1774639216608027,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5470749,False
1774639216954225,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5471111,False
1774639217007717,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5471167,False
1774639217121107,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5471278,False
1774639217609775,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5471762,False
1774639218666106,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5472823,False
1774639220227072,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5474386,False
1774639220561468,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5474683,False
1774639220730380,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5474890,False
1774639221537147,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5475689,False
1774639222009893,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5476161,False
1774639223021279,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5477115,False
1774639223139908,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5477276,False
1774639223716862,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5477873,False
1774639225028684,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5479159,False
1774639225167888,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5479318,False
1774639227485353,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5481619,False
1774639227695878,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5481855,False
1774639227855133,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5481993,False
1774639230535880,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5484672,False
1774639231301981,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5485460,False
1774639231803177,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5485940,False
1774639232787633,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5486900,False
1774639232857676,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5487011,False
1774639232897904,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5487032,False
1774639233051612,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5487211,False
1774639233746969,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5487900,False
1774639236275000,False,"""GN2_STANDBY""",True,False,False,True,False,False,False,5490427,False
1774639237613728,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5491758,False
1774639239245717,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5493380,False
1774639240259578,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5494408,False
1774639240753152,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5494891,False
1774639241634447,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5495773,False
1774639242732170,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5496888,False
1774639243083064,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5497232,False
1774639243531437,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5497661,False
1774639247026904,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5501167,False
1774639247082078,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5501239,False
1774639247357727,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5501505,False
1774639247607085,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5501722,False
1774639248624245,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5502781,False
1774639248792061,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5502916,False
1774639248814062,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5502966,False
1774639249260439,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5503399,False
1774639249668132,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5503790,False
1774639250787962,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5504927,False
1774639251472768,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5505608,False
1774639252840217,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5506998,False
1774639253079160,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5507230,False
1774639255206960,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5509352,False
1774639256074492,False,"""GN2_STANDBY""",True,False,False,True,False,False,False,5510142,False
1774639256295690,False,"""GN2_STANDBY""",True,False,False,True,False,False,False,5510424,False
1774639256388887,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5510516,False
1774639256521842,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5510675,False
1774639257143536,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5511292,False
1774639257263861,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5511415,False
1774639257766767,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5511884,False
1774639257936314,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5512093,False
1774639258281707,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5512409,False
1774639259037371,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5513149,False
1774639259625837,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5513773,False
1774639261724905,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5515856,False
1774639262117880,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5516266,False
1774639262339351,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5516471,False
1774639262534679,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5516676,False
1774639263274991,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5517338,False
1774639263731157,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5517834,False
1774639263895627,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5518047,False
1774639265979973,False,"""GN2_STANDBY""",True,False,False,True,False,False,False,5520114,False
1774639267377101,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5521512,False
1774639267507920,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5521649,False
1774639271046231,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5525193,False
1774639271474369,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5525622,False
1774639272172018,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5526276,False
1774639272866278,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5527015,False
1774639273334130,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5527455,False
1774639276296177,False,"""GN2_STANDBY""",True,False,False,True,False,False,False,5530414,False
1774639276476627,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5530592,False
1774639277302061,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5531441,False
1774639277397242,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5531552,False
1774639277684139,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5531833,False
1774639277786298,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5531945,False
1774639278525466,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5532667,False
1774639279056630,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5533121,False
1774639279533936,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5533690,False
1774639279701780,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5533838,False
1774639280199183,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5534358,False
1774639280472295,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5534613,False
1774639280791480,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5534922,False
1774639281096526,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5535241,False
1774639281480235,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5535637,False
1774639282366784,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5536488,False
1774639283860975,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5538008,False
1774639284663729,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5538815,False
1774639285749325,False,"""GN2_STANDBY""",True,False,False,True,False,False,False,5539891,False
1774639286930862,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5541084,False
1774639286965078,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5541106,False
1774639287642197,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5541783,False
1774639288257748,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5542392,False
1774639288676024,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5542792,False
1774639288876928,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5543034,False
1774639288925961,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5543050,False
1774639289329968,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5543481,False
1774639291508229,False,"""GN2_PULSE_FILL_C""",False,False,True,True,False,False,False,5545663,False
1774639292574856,False,"""GN2_PULSE_FILL_C""",False,False,True,True,False,False,False,5546725,False
1774639293390405,False,"""GN2_PULSE_FILL_C""",False,False,True,True,False,False,False,5547478,False
1774639293805325,False,"""GN2_PULSE_FILL_C""",False,False,True,True,False,False,False,5547919,False
1774639295433786,False,"""GN2_PULSE_FILL_C""",True,False,True,True,False,False,False,5549574,False
1774639295939878,False,"""GN2_STANDBY""",True,False,False,True,False,False,False,5550072,False
1774639295989852,False,"""GN2_STANDBY""",True,False,False,True,False,False,False,5550134,False
1774639296758940,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5550847,False
1774639299404100,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5553552,False
1774639299502850,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5553646,False
1774639299999272,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5554151,False
1774639300310858,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5554464,False
1774639300428593,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5554582,False
1774639300503854,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5554656,False
1774639300559514,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5554704,False
1774639301906973,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5556029,False
1774639304537853,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5558647,False
1774639305711982,False,"""GN2_STANDBY""",True,False,False,True,False,False,False,5559844,False
1774639306952362,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5561098,False
1774639308086681,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5562170,False
1774639308237444,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5562370,False
1774639308410548,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5562505,False
1774639311023177,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5565178,False
1774639311264030,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5565343,False
1774639311698407,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5565855,False
1774639312045124,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5566195,False
1774639312158819,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5566285,False
1774639312863633,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5567023,False
1774639312881145,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5567042,False
1774639314026850,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5568186,False
1774639315169352,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5569303,False
1774639316500275,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5570656,False
1774639316729482,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5570888,False
1774639317293055,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5571420,False
1774639317410621,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5571566,False
1774639317778796,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5571932,False
1774639319016657,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5573172,False
1774639319736610,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5573888,False
1774639321136946,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5575283,False
1774639321160178,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5575316,False
1774639321276884,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5575425,False
1774639321636251,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5575780,False
1774639322147045,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5576267,False
1774639323209844,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5577350,False
1774639323263687,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5577388,False
1774639323509718,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5577666,False
1774639323644998,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5577782,False
1774639324524782,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5578681,False
1774639324761927,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5578904,False
1774639325065894,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5579217,False
1774639326226074,False,"""GN2_STANDBY""",True,False,False,True,False,False,False,5580377,False
1774639327758296,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5581858,False
1774639328109456,False,"""GN2_STANDBY""",False,False,False,True,False,False,False,5582269,False
