ts,data
1774640400002745,21.3434
1774640400006786,21.3564
1774640400011831,21.3643
1774640400017015,21.3972
1774640400022087,21.3734
1774640400026901,21.3944
1774640400030843,21.4233
1774640400037435,21.4029
1774640400043075,21.4012
1774640400050951,21.395
1774640400056140,21.3547
1774640400058808,21.3541
1774640400062822,21.3609
1774640400067132,21.3547
1774640400070842,21.3269
1774640400074813,21.3144
1774640400079213,21.3388
1774640400082856,21.3252
1774640400086812,21.2538
1774640400090807,21.2538
1774640400095129,21.2583
1774640400100879,21.2248
1774640400106602,21.1829
1774640400110793,21.1732
1774640400116689,21.1766
1774640400121264,21.1523
1774640400125008,21.1307
1774640400129161,21.1528
1774640400133302,21.154
1774640400138560,21.1199
1774640400143058,21.1177
1774640400146862,21.1489
1774640400151005,21.1653
1774640400154812,21.1307
1774640400161327,21.1301
1774640400164846,21.1562
1774640400168753,21.1642
1774640400173586,21.1335
1774640400178144,21.1165
1774640400181511,21.1579
1774640400184786,21.15
1774640400190167,21.1318
1774640400192973,21.1262
1774640400196764,21.1608
1774640400201401,21.1698
1774640400206449,21.1188
1774640400209023,21.0921
1774640400213942,21.1109
1774640400217032,21.1211
1774640400221505,21.1233
1774640400226141,21.0581
1774640400230106,21.0757
1774640400232796,21.0785
1774640400239025,21.0581
1774640400247487,21.0354
1774640400250802,21.0105
1774640400254792,21.0026
1774640400258793,20.9821
1774640400262802,20.9674
1774640400267083,20.9464
1774640400270875,20.9339
1774640400274783,20.9232
1774640400279151,20.9277
1774640400283012,20.9073
1774640400286745,20.9056
1774640400290869,20.9203
1774640400294824,20.9249
1774640400298852,20.9039
1774640400302913,20.9062
1774640400306797,20.9169
1774640400310776,20.9629
1774640400314770,20.9595
1774640400318968,20.9742
1774640400325884,21.0196
1774640400328874,21.053
1774640400332807,21.0451
1774640400337470,21.0502
1774640400340753,21.0706
1774640400344757,21.1483
1774640400348921,21.1432
1774640400353322,21.1398
1774640400357490,21.1568
1774640400360815,21.1914
1774640400364912,21.2118
1774640400368867,21.2073
1774640400373303,21.209
1774640400376772,21.2305
1774640400380777,21.277
1774640400384771,21.2742
1774640400388826,21.2776
1774640400394096,21.3071
1774640400396865,21.3275
1774640400400791,21.3025
1774640400404836,21.2753
1774640400409725,21.2747
1774640400412773,21.2946
1774640400417258,21.2713
1774640400420777,21.2373
1774640400424734,21.2158
1774640400428737,21.2231
1774640400432752,21.1851
1774640400436829,21.1693
1774640400440794,21.1443
1774640400445038,21.1545
1774640400448900,21.1188
1774640400453765,21.0961
1774640400456809,21.0604
1774640400460836,21.0593
1774640400465216,21.0201
1774640400468798,21.0054
